"Municipal","Fiscal_Year","Residential","Open_Space","Commercial","Industrial","Personal_Property","Total_Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property"
"Canton",2012,36489190,0,10483208,8091524,3010563,58074485,38956725,0,11192122,8638703,3214148,62001698,62.83,0,18.05,13.93,5.18
"Canton",2013,37895052,0,10840500,8257008,3162707,60155267,39873604,0,11406497,8688118,3327836,63296055,63,0,18.02,13.73,5.26
"Canton",2014,38246152,0,11342456,9110641,3765880,62465129,39600639,0,11744149,9433294,3899249,64677330,61.23,0,18.16,14.59,6.03
"Canton",2015,40384128,0,11098804,9119714,4026975,64629621,41764757,0,11478243,9431494,4164647,66839141,62.49,0,17.17,14.11,6.23
"Canton",2016,43070958,0,11687134,9208323,4229914,68196329,50272387,0,13641213,10747947,4937152,79598700,63.16,0,17.14,13.5,6.2
"Canton",2017,44874696,0,12094965,9452246,4524864,70946771,44874696,0,12094965,9452246,4524864,70946771,63.25,0,17.05,13.32,6.38
"Carlisle",2003,14548526,7498,89221,35083,124991,14805319,19381167,9989,118858,46737,166510,19723260,98.27,0.05,0.6,0.24,0.84
"Carlisle",2004,15412464,6185,87272,36194,111871,15653986,19999487,8026,113246,46966,145166,20312891,98.46,0.04,0.56,0.23,0.71
"Carlisle",2005,15801697,6260,83659,36630,122622,16050868,19832627,7857,105000,45974,153902,20145360,98.45,0.04,0.52,0.23,0.76
"Carlisle",2006,16488587,6443,85643,37704,133684,16752061,20048028,7834,104131,45843,162543,20368379,98.43,0.04,0.51,0.23,0.8
"Carlisle",2007,17070260,6519,118854,16770,128572,17340975,20180485,7707,140509,19826,151998,20500525,98.44,0.04,0.69,0.1,0.74
"Carlisle",2008,18517692,7010,128642,18032,145357,18816733,21082180,7981,146457,20529,165487,21422635,98.41,0.04,0.68,0.1,0.77
"Carlisle",2009,19167655,6178,122756,19687,176140,19492416,21900071,7059,140255,22493,201249,22271128,98.33,0.03,0.63,0.1,0.9
"Carlisle",2010,19903018,0,144139,19309,193075,20259541,22373279,0,162029,21706,217038,22774052,98.24,0,0.71,0.1,0.95
"Carlisle",2011,20573085,0,148261,20185,248200,20989731,22418854,0,161563,21996,270468,22872880,98.02,0,0.71,0.1,1.18
"Carlisle",2012,21118300,0,149057,20685,269068,21557110,22546398,0,159137,22084,287263,23014882,97.96,0,0.69,0.1,1.25
"Carlisle",2013,21284512,0,120942,20636,282258,21708348,22395805,0,127257,21713,296995,22841770,98.05,0,0.56,0.1,1.3
"Carlisle",2014,22652515,0,127507,21757,291727,23093506,23454753,0,132023,22528,302059,23911362,98.09,0,0.55,0.09,1.26
"Carlisle",2015,23505244,0,140404,22177,297600,23965425,24308828,0,145204,22935,307774,24784741,98.08,0,0.59,0.09,1.24
"Carlisle",2016,24256211,0,137314,20251,284433,24698209,28311830,0,160273,23637,331990,28827730,98.21,0,0.56,0.08,1.15
"Carlisle",2017,25203990,0,136149,20746,305561,25666446,25203990,0,136149,20746,305561,25666446,98.2,0,0.53,0.08,1.19
"Carver",2003,10044637,0,1368214,312394,462689,12187934,13381203,0,1822699,416163,616382,16236448,82.41,0,11.23,2.56,3.8
"Carver",2004,10617822,0,1123593,362670,500674,12604759,13777875,0,1457994,470607,649683,16356159,84.24,0,8.91,2.88,3.97
"Carver",2005,11096408,0,1300708,385707,442800,13225623,13927043,0,1632512,484099,555756,16599410,83.9,0,9.83,2.92,3.35
"Carver",2006,12119190,0,1364697,387083,452914,14323884,14735396,0,1659298,470644,550686,17416024,84.61,0,9.53,2.7,3.16
"Carver",2007,12771996,0,1633393,441517,519932,15366838,15099071,0,1930999,521962,614664,18166697,83.11,0,10.63,2.87,3.38
"Carver",2008,12862458,0,1574295,461397,647726,15545876,14643761,0,1792317,525295,737429,17698802,82.74,0,10.13,2.97,4.17
"Carver",2009,13145641,0,1751386,498712,778602,16174341,15019598,0,2001052,569805,889594,18480050,81.27,0,10.83,3.08,4.81
"Carver",2010,13483976,0,1790033,597471,833561,16705041,15157538,0,2012203,671626,937018,18778386,80.72,0,10.72,3.58,4.99
"Carver",2011,14001562,0,1884817,622797,1397680,17906856,15257749,0,2053918,678673,1523077,19513417,78.19,0,10.53,3.48,7.81
"Carver",2012,14399076,0,2018716,625040,1458139,18500971,15372795,0,2155229,667308,1556744,19752075,77.83,0,10.91,3.38,7.88
"Carver",2013,14748693,0,2074111,638254,1668368,19129426,15518742,0,2182403,671578,1755476,20128199,77.1,0,10.84,3.34,8.72
"Carver",2014,15415151,0,2085426,709157,1809065,20018799,15961078,0,2159281,734272,1873133,20727764,77,0,10.42,3.54,9.04
"Carver",2015,15619071,0,2273719,765946,2290666,20949402,16153047,0,2351452,792132,2368978,21665608,74.56,0,10.85,3.66,10.93
"Carver",2016,16138235,0,2353712,779764,2623851,21895562,18836535,0,2747251,910140,3062557,25556482,73.71,0,10.75,3.56,11.98
"Carver",2017,17650649,0,2554285,877380,2913355,23995669,17650649,0,2554285,877380,2913355,23995669,73.56,0,10.64,3.66,12.14
"Charlemont",2003,1342761,0,140889,15482,75691,1574823,1788791,0,187689,20625,100834,2097938,85.26,0,8.95,0.98,4.81
"Charlemont",2004,1459937,0,146662,14589,76393,1697581,1894440,0,190311,18931,99129,2202811,86,0,8.64,0.86,4.5
"Charlemont",2005,1563274,0,147829,14118,63266,1788487,1962057,0,185539,17719,79405,2244721,87.41,0,8.27,0.79,3.54
"Charlemont",2006,1624263,0,156062,14424,74045,1868794,1974898,0,189752,17538,90029,2272216,86.92,0,8.35,0.77,3.96
"Charlemont",2007,1783559,0,154056,14433,66256,2018304,2108526,0,182125,17063,78328,2386042,88.37,0,7.63,0.72,3.28
"Charlemont",2008,1687900,0,141672,11691,62781,1904044,1921655,0,161292,13310,71475,2167732,88.65,0,7.44,0.61,3.3
"Charlemont",2009,1810925,0,154138,12479,89397,2066939,2069079,0,176111,14258,102141,2361588,87.61,0,7.46,0.6,4.33
"Charlemont",2010,1835343,0,153054,12583,90651,2091631,2063136,0,172050,14145,101902,2351234,87.75,0,7.32,0.6,4.33
"Charlemont",2011,1828215,0,148898,12078,107096,2096287,1992238,0,162257,13162,116704,2284361,87.21,0,7.1,0.58,5.11
"Charlemont",2012,1841568,0,154571,12161,106580,2114880,1966102,0,165024,12983,113787,2257896,87.08,0,7.31,0.58,5.04
"Charlemont",2013,1897930,0,158771,12881,118538,2188120,1997023,0,167061,13554,124727,2302365,86.74,0,7.26,0.59,5.42
"Charlemont",2014,1863631,0,146328,12867,107657,2130483,1929631,0,151510,13323,111470,2205934,87.47,0,6.87,0.6,5.05
"Charlemont",2015,1942812,0,179592,13376,116794,2252574,2009232,0,185732,13833,120787,2329584,86.25,0,7.97,0.59,5.18
"Charlemont",2016,2132654,0,200700,14663,181408,2529425,2489232,0,234257,17115,211739,2952343,84.31,0,7.93,0.58,7.17
"Charlemont",2017,2337418,0,212002,15267,186119,2750806,2337418,0,212002,15267,186119,2750806,84.97,0,7.71,0.56,6.77
"Charlton",2003,8786030,0,600075,465575,518115,10369795,11704520,0,799404,620227,690219,13814370,84.73,0,5.79,4.49,5
"Charlton",2004,9390212,0,656867,481462,624811,11153352,12184906,0,852362,624754,810766,14472788,84.19,0,5.89,4.32,5.6
"Charlton",2005,10208843,0,588413,436138,414717,11648111,12813065,0,738514,547395,520509,14619483,87.64,0,5.05,3.74,3.56
"Charlton",2006,11034074,0,579502,431516,408280,12453372,13416033,0,704601,524669,496417,15141719,88.6,0,4.65,3.47,3.28
"Charlton",2007,12186395,0,615393,452776,382026,13636590,14406773,0,727518,535272,451632,16121196,89.37,0,4.51,3.32,2.8
"Charlton",2008,12770902,0,715618,460528,399670,14346718,14539526,0,814723,524306,455020,16333574,89.02,0,4.99,3.21,2.79
"Charlton",2009,12734546,0,737951,484455,462134,14419086,14549900,0,843148,553516,528013,16474577,88.32,0,5.12,3.36,3.21
"Charlton",2010,13277698,0,838457,545852,514849,15176856,14925658,0,942522,613600,578749,17060530,87.49,0,5.52,3.6,3.39
"Charlton",2011,13839856,0,958025,623574,588339,16009794,15081535,0,1043977,679520,641123,17446155,86.45,0,5.98,3.89,3.67
"Charlton",2012,14348000,0,979122,637407,623355,16587884,15318265,0,1045334,680511,665509,17709618,86.5,0,5.9,3.84,3.76
"Charlton",2013,14740687,0,1017821,672378,670143,17101029,15510318,0,1070963,707484,705132,17993897,86.2,0,5.95,3.93,3.92
"Charlton",2014,15252596,0,1090415,663599,681844,17688454,15792766,0,1129032,687100,705991,18314890,86.23,0,6.16,3.75,3.85
"Charlton",2015,16072887,0,1023311,657952,783481,18537631,16622378,0,1058295,680446,810266,19171385,86.7,0,5.52,3.55,4.23
"Charlton",2016,16514128,0,1047047,745677,1094056,19400908,19275277,0,1222112,870354,1276981,22644724,85.12,0,5.4,3.84,5.64
"Charlton",2017,16985557,0,1083680,795888,1091973,19957098,16985557,0,1083680,795888,1091973,19957098,85.11,0,5.43,3.99,5.47
"Chatham",2003,17713277,0,1369909,67786,160967,19311939,23597166,0,1824957,90303,214436,25726861,91.72,0,7.09,0.35,0.83
"Chatham",2004,18835877,0,1092260,61838,142884,20132859,24441769,0,1417336,80242,185409,26124756,93.56,0,5.43,0.31,0.71
"Chatham",2005,19537473,0,1013269,62279,146949,20759970,24521379,0,1271749,78166,184435,26055729,94.11,0,4.88,0.3,0.71
"Chatham",2006,20335732,0,1079957,65285,169411,21650385,24725668,0,1313091,79378,205982,26324119,93.93,0,4.99,0.3,0.78
"Chatham",2007,21256036,0,1094319,91932,77856,22520143,25128915,0,1293705,108682,92041,26623344,94.39,0,4.86,0.41,0.35
"Chatham",2008,21986623,0,1177904,111703,92684,23368914,25031519,0,1341030,127173,105520,26605241,94.08,0,5.04,0.48,0.4
"Chatham",2009,22456174,0,1299960,115497,108117,23979748,25657380,0,1485274,131962,123529,27398145,93.65,0,5.42,0.48,0.45
"Chatham",2010,22728602,0,1328971,133916,119179,24310668,25549560,0,1493916,150537,133971,27327984,93.49,0,5.47,0.55,0.49
"Chatham",2011,23283480,0,1466827,153960,142620,25046887,25372419,0,1598427,167773,155416,27294035,92.96,0,5.86,0.61,0.57
"Chatham",2012,24295700,0,1508838,162177,155203,26121918,25938666,0,1610871,173144,165698,27888379,93.01,0,5.78,0.62,0.59
"Chatham",2013,27065857,0,1789099,103823,174423,29133202,28479002,0,1882510,109244,183530,30654286,92.9,0,6.14,0.36,0.6
"Chatham",2014,27293671,0,1773223,105492,181191,29353577,28260276,0,1836022,109228,187608,30393133,92.98,0,6.04,0.36,0.62
"Chatham",2015,27653413,0,1737332,104055,192691,29687491,28598812,0,1796727,107612,199279,30702430,93.15,0,5.85,0.35,0.65
"Chatham",2016,29010239,0,1802378,126444,201588,31140649,33860727,0,2103734,147585,235293,36347340,93.16,0,5.79,0.41,0.65
"Chatham",2017,30170629,0,1865928,129812,219719,32386088,30170629,0,1865928,129812,219719,32386088,93.16,0,5.76,0.4,0.68
"Chelmsford",2003,42997688,0,4195850,3971046,2111362,53275946,57280398,0,5589602,5290124,2812701,70972825,80.71,0,7.88,7.45,3.96
"Chelmsford",2004,46308374,0,4262080,3858728,1784207,56213389,60090570,0,5530551,5007154,2315219,72943493,82.38,0,7.58,6.86,3.17
"Chelmsford",2005,49551743,0,4620934,4014347,1855565,60042589,62192131,0,5799710,5038386,2328910,75359137,82.53,0,7.7,6.69,3.09
"Chelmsford",2006,52354292,0,4718614,4075834,1935199,63083939,63656171,0,5737235,4955697,2352956,76702059,82.99,0,7.48,6.46,3.07
"Chelmsford",2007,55417891,0,5072809,4946572,1779830,67217102,65515108,0,5997082,5847844,2104117,79464151,82.45,0,7.55,7.36,2.65
"Chelmsford",2008,57763735,0,5751253,5502269,1833567,70850824,65763351,0,6547736,6264270,2087495,80662852,81.53,0,8.12,7.77,2.59
"Chelmsford",2009,57440012,0,5967783,5748335,2193109,71349239,65628287,0,6818511,6567780,2505744,81520323,80.51,0,8.36,8.06,3.07
"Chelmsford",2010,59292285,0,6057811,5934966,2274688,73559750,66651341,0,6809676,6671584,2557011,82689611,80.6,0,8.24,8.07,3.09
"Chelmsford",2011,61119814,0,6322803,6119162,2799364,76361143,66603340,0,6890070,6668159,3050516,83212086,80.04,0,8.28,8.01,3.67
"Chelmsford",2012,63524613,0,6321055,6047850,3072456,78965974,67820384,0,6748508,6456828,3280227,84305947,80.45,0,8,7.66,3.89
"Chelmsford",2013,64690331,0,6339750,6001737,3360298,80392116,68067901,0,6670757,6315096,3535744,84589497,80.47,0,7.89,7.47,4.18
"Chelmsford",2014,67943923,0,7084270,6448639,2739594,84216426,70350155,0,7335159,6677017,2836617,87198949,80.68,0,8.41,7.66,3.25
"Chelmsford",2015,70159055,0,7142171,6699987,2999301,87000514,72557612,0,7386343,6929042,3101839,89974837,80.64,0,8.21,7.7,3.45
"Chelmsford",2016,72386744,0,7504189,6733944,3093358,89718235,84489749,0,8758883,7859854,3610565,104719051,80.68,0,8.36,7.51,3.45
"Chelmsford",2017,76620743,0,7589216,6861715,3038073,94109747,76620743,0,7589216,6861715,3038073,94109747,81.42,0,8.06,7.29,3.23
"Chelsea",2003,11332253,0,7801986,3199079,1070389,23403707,15096532,0,10393602,4261730,1425944,31177808,48.42,0,33.34,13.67,4.57
"Chelsea",2004,12320464,0,8933528,3115001,1110622,25479615,15987253,0,11592305,4042081,1441163,33062802,48.35,0,35.06,12.23,4.36
"Chelsea",2005,13843934,0,8711875,3219170,1106157,26881136,17375449,0,10934228,4040363,1388332,33738372,51.5,0,32.41,11.98,4.11
"Chelsea",2006,15640006,0,8332564,3228824,1126870,28328264,19016261,0,10131340,3925840,1370131,34443572,55.21,0,29.41,11.4,3.98
"Chelsea",2007,16303459,0,9140740,3368032,1136503,29948734,19273972,0,10806196,3981692,1343575,35405435,54.44,0,30.52,11.25,3.79
"Chelsea",2008,17255237,0,9699196,3067886,1471882,31494201,19644890,0,11042424,3492753,1675721,35855787,54.79,0,30.8,9.74,4.67
"Chelsea",2009,16551251,0,11276423,3522281,1913074,33263029,18910690,0,12883917,4024394,2185789,38004790,49.76,0,33.9,10.59,5.75
"Chelsea",2010,15525256,0,13131486,4199557,2465961,35322260,17452172,0,14761299,4720785,2772024,39706279,43.95,0,37.18,11.89,6.98
"Chelsea",2011,16368114,0,13301745,4244808,2837676,36752343,17836623,0,14495146,4625642,3092266,40049677,44.54,0,36.19,11.55,7.72
"Chelsea",2012,17023700,0,13966417,4358055,3157555,38505727,18174906,0,14910878,4652763,3371081,41109627,44.21,0,36.27,11.32,8.2
"Chelsea",2013,17863195,0,15101505,4442416,3801172,41208288,18795857,0,15889975,4674361,3999636,43359828,43.35,0,36.65,10.78,9.22
"Chelsea",2014,18981835,0,15776311,4665508,4217960,43641614,19654076,0,16335029,4830737,4367339,45187181,43.49,0,36.15,10.69,9.66
"Chelsea",2015,21417245,0,15841272,4659317,3939137,45856971,22149445,0,16382844,4818607,4073806,47424703,46.7,0,34.54,10.16,8.59
"Chelsea",2016,23728966,0,15856398,4513852,4219687,48318903,27696430,0,18507575,5268564,4925215,56397784,49.11,0,32.82,9.34,8.73
"Chelsea",2017,27038199,0,16193671,4340527,4401968,51974365,27038199,0,16193671,4340527,4401968,51974365,52.02,0,31.16,8.35,8.47
"Cheshire",2003,1827649,2812,127211,8220,40365,2006257,2434746,3746,169467,10950,53773,2672683,91.1,0.14,6.34,0.41,2.01
"Cheshire",2004,1887573,3372,134506,8435,42366,2076252,2449348,4376,174537,10945,54975,2694182,90.91,0.16,6.48,0.41,2.04
"Cheshire",2005,1967737,2908,137051,8046,34521,2150263,2469696,3650,172012,10098,43327,2698784,91.51,0.14,6.37,0.37,1.61
"Cheshire",2006,1979053,2700,142180,7576,29955,2161464,2406277,3283,172873,9211,36421,2628066,91.56,0.12,6.58,0.35,1.39
"Cheshire",2007,2186029,0,135382,13450,29469,2364330,2584327,0,160049,15901,34838,2795114,92.46,0,5.73,0.57,1.25
"Cheshire",2008,2222534,0,132854,12159,33029,2400576,2530330,0,151253,13843,37603,2733028,92.58,0,5.53,0.51,1.38
"Cheshire",2009,2409659,0,156892,13262,58275,2638088,2753164,0,179258,15153,66582,3014157,91.34,0,5.95,0.5,2.21
"Cheshire",2010,2585410,0,174254,14446,70449,2844559,2906298,0,195882,16239,79193,3197611,90.89,0,6.13,0.51,2.48
"Cheshire",2011,2624738,0,172945,15339,68432,2881454,2860223,0,188461,16715,74572,3139971,91.09,0,6,0.53,2.37
"Cheshire",2012,2686424,0,175002,15597,76032,2953055,2868090,0,186836,16652,81174,3152752,90.97,0,5.93,0.53,2.57
"Cheshire",2013,2833112,0,189661,18793,89379,3130945,2981033,0,199563,19774,94046,3294416,90.49,0,6.06,0.6,2.85
"Cheshire",2014,2981354,0,202947,19748,87151,3291200,3086939,0,210134,20447,90237,3407758,90.59,0,6.17,0.6,2.65
"Cheshire",2015,3202113,0,223441,21129,82077,3528760,3311585,0,231080,21851,84883,3649399,90.74,0,6.33,0.6,2.33
"Cheshire",2016,3358457,0,237396,24899,91153,3711905,3919988,0,277088,29062,106394,4332533,90.48,0,6.4,0.67,2.46
"Cheshire",2017,3407432,0,239909,25041,98154,3770536,3407432,0,239909,25041,98154,3770536,90.37,0,6.36,0.66,2.6
"Chester",2003,1359300,0,72511,8983,33372,1474166,1810824,0,96597,11967,44457,1963845,92.21,0,4.92,0.61,2.26
"Chester",2004,1469622,0,71458,9401,43932,1594413,1907008,0,92725,12199,57007,2068939,92.17,0,4.48,0.59,2.76
"Chester",2005,1493606,0,73147,9386,30931,1607070,1874617,0,91806,11780,38821,2017025,92.94,0,4.55,0.58,1.92
"Chester",2006,1655601,0,73866,10717,35277,1775461,2013001,0,89812,13031,42892,2158735,93.25,0,4.16,0.6,1.99
"Chester",2007,1749553,0,76827,10635,28556,1865571,2068324,0,90825,12573,33759,2205481,93.78,0,4.12,0.57,1.53
"Chester",2008,1888450,0,74501,9712,27797,2000460,2149979,0,84819,11057,31647,2277501,94.4,0,3.72,0.49,1.39
"Chester",2009,1923063,0,86528,9331,56933,2075855,2197202,0,98863,10661,65049,2371775,92.64,0,4.17,0.45,2.74
"Chester",2010,1985926,0,80871,9565,58561,2134923,2232409,0,90908,10752,65829,2399899,93.02,0,3.79,0.45,2.74
"Chester",2011,2052129,0,87830,10651,65641,2216251,2236241,0,95710,11607,71530,2415088,92.59,0,3.96,0.48,2.96
"Chester",2012,2094893,0,85102,16350,64995,2261340,2236557,0,90857,17456,69390,2414260,92.64,0,3.76,0.72,2.87
"Chester",2013,2183147,0,89272,19693,73918,2366030,2297132,0,93933,20721,77777,2489564,92.27,0,3.77,0.83,3.12
"Chester",2014,2257474,0,95310,23980,82034,2458798,2337422,0,98685,24829,84939,2545876,91.81,0,3.88,0.98,3.34
"Chester",2015,2088899,0,88351,25340,71776,2274366,2160313,0,91371,26206,74230,2352121,91.85,0,3.88,1.11,3.16
"Chester",2016,2128733,0,90923,33378,102116,2355150,2484655,0,106125,38959,119190,2748929,90.39,0,3.86,1.42,4.34
"Chester",2017,2147725,0,93278,33643,104167,2378813,2147725,0,93278,33643,104167,2378813,90.29,0,3.92,1.41,4.38
"Chesterfield",2003,1477867,0,32688,25208,46904,1582667,1968776,0,43546,33581,62484,2108388,93.38,0,2.07,1.59,2.96
"Chesterfield",2004,1599014,0,26699,26590,44303,1696606,2074909,0,34645,34504,57488,2201546,94.25,0,1.57,1.57,2.61
"Chesterfield",2005,1653531,0,26759,26749,40445,1747484,2075338,0,33585,33573,50762,2193258,94.62,0,1.53,1.53,2.31
"Chesterfield",2006,1722909,0,31799,29308,32115,1816131,2094839,0,38664,35635,39048,2208185,94.87,0,1.75,1.61,1.77
"Chesterfield",2007,1809362,0,29805,29688,30861,1899716,2139030,0,35236,35097,36484,2245847,95.24,0,1.57,1.56,1.62
"Chesterfield",2008,1877237,0,37136,30091,32038,1976502,2137213,0,42279,34258,36475,2250225,94.98,0,1.88,1.52,1.62
"Chesterfield",2009,1985235,0,44112,30548,50580,2110475,2268237,0,50400,34903,57790,2411331,94.07,0,2.09,1.45,2.4
"Chesterfield",2010,2076501,0,39122,33772,55260,2204655,2334226,0,43978,37964,62119,2478286,94.19,0,1.77,1.53,2.51
"Chesterfield",2011,2164819,0,40695,34821,58203,2298538,2359041,0,44346,37945,63425,2504757,94.18,0,1.77,1.51,2.53
"Chesterfield",2012,2178578,0,38382,31720,58123,2306803,2325902,0,40978,33865,62053,2462798,94.44,0,1.66,1.38,2.52
"Chesterfield",2013,2354838,0,33578,31006,71242,2490664,2477787,0,35331,32625,74962,2620705,94.55,0,1.35,1.24,2.86
"Chesterfield",2014,2451859,0,32788,21881,70480,2577008,2538692,0,33949,22656,72976,2668273,95.14,0,1.27,0.85,2.73
"Chesterfield",2015,2541344,0,35818,22076,75379,2674617,2628226,0,37043,22831,77956,2766055,95.02,0,1.34,0.83,2.82
"Chesterfield",2016,2612974,0,41345,16223,71128,2741670,3049861,0,48258,18935,83021,3200075,95.31,0,1.51,0.59,2.59
"Chesterfield",2017,2681943,0,41762,16534,70022,2810261,2681943,0,41762,16534,70022,2810261,95.43,0,1.49,0.59,2.49
"Chicopee",2003,29229724,0,8265012,6312559,2762917,46570212,38939076,0,11010433,8409426,3680686,62039622,62.76,0,17.75,13.55,5.93
"Chicopee",2004,30273857,0,8762753,6696970,3036952,48770532,39283895,0,11370704,8690107,3940803,63285510,62.07,0,17.97,13.73,6.23
"Chicopee",2005,31189081,0,9350041,6818969,2752983,50111074,39145251,0,11735187,8558452,3455254,62894145,62.24,0,18.66,13.61,5.49
"Chicopee",2006,32936821,0,9526916,6758862,2802325,52024924,40046992,0,11583520,8217918,3407271,63255701,63.31,0,18.31,12.99,5.39
"Chicopee",2007,35793728,0,9369729,6511188,2831351,54505996,42315395,0,11076907,7697535,3347227,64437064,65.67,0,17.19,11.95,5.19
"Chicopee",2008,37818226,0,9014265,6088348,2770325,55691164,43055617,0,10262637,6931514,3153983,63403752,67.91,0,16.19,10.93,4.97
"Chicopee",2009,39966624,0,10009145,6795538,3474696,60246003,45664006,0,11435984,7764266,3970026,68834282,66.34,0,16.61,11.28,5.77
"Chicopee",2010,39832584,0,10621250,7080328,3806084,61340246,44776401,0,11939505,7959102,4278476,68953485,64.94,0,17.32,11.54,6.2
"Chicopee",2011,42373343,0,11234507,7296404,3672579,64576833,46174980,0,12242441,7951020,4002074,70370515,65.62,0,17.4,11.3,5.69
"Chicopee",2012,43299528,0,11462608,7441079,3651121,65854336,46227603,0,12237752,7944272,3898023,70307651,65.75,0,17.41,11.3,5.54
"Chicopee",2013,43733929,0,11844572,7567783,5906228,69052512,46017337,0,12462993,7962907,6214600,72657837,63.33,0,17.15,10.96,8.55
"Chicopee",2014,45090993,0,11589178,7138904,7697204,71516279,46687889,0,11999608,7391728,7969800,74049026,63.05,0,16.2,9.98,10.76
"Chicopee",2015,48081355,0,12567925,7394410,9455418,77499108,49725133,0,12997590,7647206,9778674,80148603,62.04,0,16.22,9.54,12.2
"Chicopee",2016,47156202,0,12433641,7329449,9548651,76467943,55040681,0,14512536,8554927,11145178,89253321,61.67,0,16.26,9.58,12.49
"Chicopee",2017,48423732,0,13137033,7570915,9509420,78641100,48423732,0,13137033,7570915,9509420,78641100,61.58,0,16.71,9.63,12.09
"Chilmark",2003,4101672,0,41209,1469,32643,4176993,5464140,0,54898,1957,43486,5564481,98.2,0,0.99,0.04,0.78
"Chilmark",2004,4450526,0,45206,1614,37408,4534754,5775082,0,58660,2094,48541,5884377,98.14,0,1,0.04,0.82
"Chilmark",2005,4880509,0,49714,1716,47631,4979570,6125501,0,62396,2154,59781,6249832,98.01,0,1,0.03,0.96
"Chilmark",2006,5066412,0,57802,1785,43489,5169488,6160114,0,70280,2170,52877,6285441,98.01,0,1.12,0.03,0.84
"Chilmark",2007,5325627,0,57431,2117,46458,5431633,6295964,0,67895,2503,54923,6421284,98.05,0,1.06,0.04,0.86
"Chilmark",2008,5609164,0,60112,2224,53155,5724655,6385969,0,68437,2532,60516,6517454,97.98,0,1.05,0.04,0.93
"Chilmark",2009,6030533,0,57951,2256,61113,6151853,6890207,0,66212,2578,69825,7028821,98.03,0,0.94,0.04,0.99
"Chilmark",2010,6076455,0,57629,2302,76600,6212986,6830634,0,64782,2588,86107,6984110,97.8,0,0.93,0.04,1.23
"Chilmark",2011,6404406,0,61586,2415,84628,6553035,6978994,0,67111,2632,92221,7140958,97.73,0,0.94,0.04,1.29
"Chilmark",2012,6507230,0,65347,2424,73289,6648290,6947273,0,69766,2588,78245,7097872,97.88,0,0.98,0.04,1.1
"Chilmark",2013,7045555,0,67325,2520,85049,7200449,7413413,0,70840,2652,89490,7576394,97.85,0,0.94,0.03,1.18
"Chilmark",2014,7617475,0,62399,2185,102000,7784059,7887248,0,64609,2262,105612,8059731,97.86,0,0.8,0.03,1.31
"Chilmark",2015,8007002,0,65749,2191,116182,8191124,8280741,0,67997,2266,120154,8471157,97.75,0,0.8,0.03,1.42
"Chilmark",2016,8283447,0,67402,2249,120955,8474053,9668433,0,78672,2625,141179,9890908,97.75,0,0.8,0.03,1.43
"Chilmark",2017,8268726,0,70324,2224,126075,8467349,8268726,0,70324,2224,126075,8467349,97.65,0,0.83,0.03,1.49
"Clarksburg",2003,825921,0,15176,9785,13213,864095,1100270,0,20217,13035,17602,1151125,95.58,0,1.76,1.13,1.53
"Clarksburg",2004,901667,0,15912,9998,12387,939964,1170019,0,20648,12974,16074,1219714,95.93,0,1.69,1.06,1.32
"Clarksburg",2005,935237,0,15676,10192,11574,972679,1173811,0,19675,12792,14526,1220804,96.15,0,1.61,1.05,1.19
"Clarksburg",2006,971806,0,17065,9747,10670,1009288,1181593,0,20749,11851,12973,1227166,96.29,0,1.69,0.97,1.06
"Clarksburg",2007,1054958,0,19867,8722,8928,1092475,1247173,0,23487,10311,10555,1291525,96.57,0,1.82,0.8,0.82
"Clarksburg",2008,1107977,0,19215,9091,9801,1146084,1261419,0,21876,10350,11158,1304804,96.68,0,1.68,0.79,0.86
"Clarksburg",2009,1165565,0,20010,9518,15473,1210566,1331720,0,22862,10875,17679,1383136,96.28,0,1.65,0.79,1.28
"Clarksburg",2010,1192839,0,20127,9156,17152,1239274,1340888,0,22625,10292,19281,1393086,96.25,0,1.62,0.74,1.38
"Clarksburg",2011,1317466,0,21809,10071,18350,1367696,1435666,0,23766,10975,19996,1490402,96.33,0,1.59,0.74,1.34
"Clarksburg",2012,1370498,0,22587,10452,23218,1426755,1463176,0,24114,11159,24788,1523237,96.06,0,1.58,0.73,1.63
"Clarksburg",2013,1491271,0,23372,11467,21940,1548050,1569132,0,24592,12066,23086,1628876,96.33,0,1.51,0.74,1.42
"Clarksburg",2014,1526895,0,23938,11749,24305,1586887,1580970,0,24786,12165,25166,1643087,96.22,0,1.51,0.74,1.53
"Clarksburg",2015,1639539,0,25314,12391,27458,1704702,1695591,0,26179,12815,28397,1762981,96.18,0,1.48,0.73,1.61
"Clarksburg",2016,1654766,0,15067,16729,31873,1718435,1931442,0,17586,19526,37202,2005756,96.29,0,0.88,0.97,1.85
"Clarksburg",2017,1737444,0,15822,23103,36001,1812370,1737444,0,15822,23103,36001,1812370,95.87,0,0.87,1.27,1.99
"Clinton",2003,9098483,0,1116310,1419517,436094,12070404,12120762,0,1487119,1891044,580953,16079877,75.38,0,9.25,11.76,3.61
"Clinton",2004,9468637,0,1226607,1490325,446387,12631956,12286672,0,1591667,1933872,579240,16391451,74.96,0,9.71,11.8,3.53
