"Municipal","Fiscal_Year","Residential","Open_Space","Commercial","Industrial","Personal_Property","Total_Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Levy_Pct_Change","Total_Levy_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Fall River",2005,30742800,0,10832294,5856221,2105941,49537256,38585126,0,13595555,7350112,2643155,62173949,62.06,0,21.87,11.82,4.25,8.8,62.17,38.59,0,13.6,7.35,2.64
"Fall River",2006,32882617,0,11071195,5930647,1923614,51808073,39981087,0,13461167,7210914,2338870,62992038,63.47,0,21.37,11.45,3.71,10.2,62.99,39.98,0,13.46,7.21,2.34
"Fall River",2007,38054297,0,12173613,6465278,1964901,58658089,44987843,0,14391662,7643261,2322909,69345674,64.87,0,20.75,11.02,3.35,21.4,69.35,44.99,0,14.39,7.64,2.32
"Fall River",2008,41683792,0,12335506,6320611,2253938,62593847,47456520,0,14043832,7195943,2566083,71262378,66.59,0,19.71,10.1,3.6,24.7,71.26,47.46,0,14.04,7.2,2.57
"Fall River",2009,41191489,0,13176621,7010884,2878892,64257886,47063480,0,15054994,8010310,3289288,73418072,64.1,0,20.51,10.91,4.48,28.5,73.42,47.06,0,15.05,8.01,3.29
"Fall River",2010,43640696,0,14493570,7717239,3309043,69160548,49057157,0,16292438,8675063,3719745,77744403,63.1,0,20.96,11.16,4.78,36,77.74,49.06,0,16.29,8.68,3.72
"Fall River",2011,46233638,0,15032967,7816295,3497139,72580039,50381612,0,16381690,8517555,3810894,79091750,63.7,0,20.71,10.77,4.82,38.4,79.09,50.38,0,16.38,8.52,3.81
"Fall River",2012,46661107,0,16443448,8350809,4771525,76226889,49816505,0,17555415,8915522,5094193,81381635,61.21,0,21.57,10.96,6.26,42.4,81.38,49.82,0,17.56,8.92,5.09
"Fall River",2013,49146488,0,17540540,8741603,4005083,79433714,51712493,0,18456355,9198014,4214194,83581056,61.87,0,22.08,11,5.04,46.3,83.58,51.71,0,18.46,9.2,4.21
"Fall River",2014,50866955,0,18720614,8891701,4147121,82626391,52668407,0,19383604,9206600,4293991,85552603,61.56,0,22.66,10.76,5.02,49.7,85.55,52.67,0,19.38,9.21,4.29
"Fall River",2015,51789423,0,20102229,9128801,5371038,86391491,53559970,0,20789472,9440891,5554660,89344993,59.95,0,23.27,10.57,6.22,56.3,89.34,53.56,0,20.79,9.44,5.55
"Fall River",2016,54500068,0,20676185,9325959,5331928,89834140,63612435,0,24133226,10885252,6223422,104854335,60.67,0,23.02,10.38,5.94,83.5,104.85,63.61,0,24.13,10.89,6.22
"Fall River",2017,56712069,0,21466753,9589449,5843824,93612095,56712069,0,21466753,9589449,5843824,93612095,60.58,0,22.93,10.24,6.24,63.8,93.61,56.71,0,21.47,9.59,5.84
"Falmouth",2003,49868870,9969,2934611,325009,838198,53976657,66434008,13280,3909412,432969,1116626,71906294,92.39,0.02,5.44,0.6,1.55,0,71.91,66.43,0.01,3.91,0.43,1.12
"Falmouth",2004,52627154,9266,3027413,333431,912979,56910243,68289931,12024,3928425,432666,1184698,73847744,92.47,0.02,5.32,0.59,1.6,2.7,73.85,68.29,0.01,3.93,0.43,1.18
"Falmouth",2005,55268192,10672,3378730,391012,794638,59843244,69366816,13394,4240626,490757,997346,75108940,92.35,0.02,5.65,0.65,1.33,4.5,75.11,69.37,0.01,4.24,0.49,1
"Falmouth",2006,56790602,13740,3343268,384287,829571,61361468,69050161,16706,4064989,467244,1008653,74607753,92.55,0.02,5.45,0.63,1.35,3.8,74.61,69.05,0.02,4.06,0.47,1.01
"Falmouth",2007,59984828,14580,3360251,394341,854549,64608549,70914147,17236,3972493,466190,1010249,76380316,92.84,0.02,5.2,0.61,1.32,6.2,76.38,70.91,0.02,3.97,0.47,1.01
"Falmouth",2008,63887384,32389,3832062,468734,1011925,69232494,72735055,36875,4362759,533648,1152065,78820402,92.28,0.05,5.54,0.68,1.46,9.6,78.82,72.74,0.04,4.36,0.53,1.15
"Falmouth",2009,66266852,32326,4074294,489592,1173743,72036807,75713424,36934,4655099,559385,1341064,82305906,91.99,0.04,5.66,0.68,1.63,14.5,82.31,75.71,0.04,4.66,0.56,1.34
"Falmouth",2010,69449717,26174,4127059,515284,1318097,75436331,78069462,29423,4639289,579238,1481692,84799104,92.06,0.03,5.47,0.68,1.75,17.9,84.8,78.07,0.03,4.64,0.58,1.48
"Falmouth",2011,73411389,25229,4252219,518809,1318279,79525925,79997687,27492,4633718,565355,1436552,86660805,92.31,0.03,5.35,0.65,1.66,20.5,86.66,80,0.03,4.63,0.57,1.44
"Falmouth",2012,75921637,25790,4423859,550577,1389462,82311325,81055740,27534,4723017,587809,1483423,87877523,92.24,0.03,5.37,0.67,1.69,22.2,87.88,81.06,0.03,4.72,0.59,1.48
"Falmouth",2013,78657215,26445,4622844,583202,1454421,85344127,82764015,27826,4864209,613652,1530358,89800059,92.16,0.03,5.42,0.68,1.7,24.9,89.8,82.76,0.03,4.86,0.61,1.53
"Falmouth",2014,80900138,26478,4717033,601816,1454886,87700351,83765215,27416,4884087,623129,1506411,90806257,92.25,0.03,5.38,0.69,1.66,26.3,90.81,83.77,0.03,4.88,0.62,1.51
"Falmouth",2015,83240699,28052,4960357,650227,1583291,90462626,86086484,29011,5129939,672457,1637420,93555310,92.02,0.03,5.48,0.72,1.75,30.1,93.56,86.09,0.03,5.13,0.67,1.64
"Falmouth",2016,85951189,27053,5061805,650212,2007280,93697539,100322158,31576,5908135,758927,2342896,109363691,91.73,0.03,5.4,0.69,2.14,52.1,109.36,100.32,0.03,5.91,0.76,2.34
"Falmouth",2017,88582767,27732,5181302,683976,2084575,96560352,88582767,27732,5181302,683976,2084575,96560352,91.74,0.03,5.37,0.71,2.16,34.3,96.56,88.58,0.03,5.18,0.68,2.08
"Fitchburg",2003,20034069,0,3651258,2135719,1318376,27139422,26688864,0,4864111,2845149,1756306,36154430,73.82,0,13.45,7.87,4.86,0,36.15,26.69,0,4.86,2.85,1.76
"Fitchburg",2004,21260336,0,3603597,2125834,1359880,28349647,27587790,0,4676092,2758520,1764604,36787006,74.99,0,12.71,7.5,4.8,1.7,36.79,27.59,0,4.68,2.76,1.76
"Fitchburg",2005,23008256,0,3543575,1959124,1239452,29750407,28877541,0,4447522,2458886,1555630,37339579,77.34,0,11.91,6.59,4.17,3.3,37.34,28.88,0,4.45,2.46,1.56
"Fitchburg",2006,24624399,0,3581624,1950768,1259673,31416464,29940142,0,4354800,2371886,1531602,38198431,78.38,0,11.4,6.21,4.01,5.7,38.2,29.94,0,4.35,2.37,1.53
"Fitchburg",2007,26175846,0,3887260,1983665,1316970,33363741,30945121,0,4595524,2345092,1556924,39442661,78.46,0,11.65,5.95,3.95,9.1,39.44,30.95,0,4.6,2.35,1.56
"Fitchburg",2008,27473948,0,4073883,2051149,1419512,35018492,31278775,0,4638069,2335210,1616098,39868152,78.46,0,11.63,5.86,4.05,10.3,39.87,31.28,0,4.64,2.34,1.62
"Fitchburg",2009,28259805,0,4375359,2215581,1680356,36531101,32288339,0,4999082,2531420,1919897,41738737,77.36,0,11.98,6.06,4.6,15.4,41.74,32.29,0,5,2.53,1.92
"Fitchburg",2010,28785470,0,4750126,2368021,1938912,37842529,32358176,0,5339687,2661928,2179560,42539351,76.07,0,12.55,6.26,5.12,17.7,42.54,32.36,0,5.34,2.66,2.18
"Fitchburg",2011,29498838,0,4918310,2465720,2427284,39310152,32145405,0,5359569,2686939,2645054,42836967,75.04,0,12.51,6.27,6.17,18.5,42.84,32.15,0,5.36,2.69,2.65
"Fitchburg",2012,30273150,0,5181304,2613298,2715552,40783304,32320333,0,5531683,2790019,2899188,43541223,74.23,0,12.7,6.41,6.66,20.4,43.54,32.32,0,5.53,2.79,2.9
"Fitchburg",2013,31142760,0,5354599,2774394,3040423,42312176,32768766,0,5634170,2919249,3199168,44521352,73.6,0,12.65,6.56,7.19,23.1,44.52,32.77,0,5.63,2.92,3.2
"Fitchburg",2014,32168089,0,5515740,2919762,3238458,43842049,33307321,0,5711080,3023165,3353148,45394714,73.37,0,12.58,6.66,7.39,25.6,45.39,33.31,0,5.71,3.02,3.35
"Fitchburg",2015,33532599,0,6129385,3015887,3282339,45960210,34678992,0,6338933,3118992,3394554,47531471,72.96,0,13.34,6.56,7.14,31.5,47.53,34.68,0,6.34,3.12,3.39
"Fitchburg",2016,34912844,0,6147649,3044688,3499827,47605008,40750243,0,7175531,3553757,4084995,55564527,73.34,0,12.91,6.4,7.35,53.7,55.56,40.75,0,7.18,3.55,4.08
"Fitchburg",2017,36532761,0,6252517,3127323,3682161,49594762,36532761,0,6252517,3127323,3682161,49594762,73.66,0,12.61,6.31,7.42,37.2,49.59,36.53,0,6.25,3.13,3.68
"Florida",2003,325745,1212,9366,868090,118883,1323296,433949,1615,12477,1156447,158373,1762860,24.62,0.09,0.71,65.6,8.98,0,1.76,0.43,0,0.01,1.16,0.16
"Florida",2004,335941,1215,9424,865803,120374,1332757,435923,1577,12229,1123481,156199,1729409,25.21,0.09,0.71,64.96,9.03,-1.9,1.73,0.44,0,0.01,1.12,0.16
"Florida",2005,346841,1229,11277,927924,127253,1414524,435318,1543,14154,1164633,159715,1775362,24.52,0.09,0.8,65.6,9,0.7,1.78,0.44,0,0.01,1.16,0.16
"Florida",2006,382142,0,22497,992838,267139,1664616,464636,0,27353,1207165,324807,2023962,22.96,0,1.35,59.64,16.05,14.8,2.02,0.46,0,0.03,1.21,0.32
"Florida",2007,390781,0,24498,1000804,295842,1711925,461982,0,28962,1183152,349745,2023840,22.83,0,1.43,58.46,17.28,14.8,2.02,0.46,0,0.03,1.18,0.35
"Florida",2008,433743,0,22663,1027496,298162,1782064,493811,0,25802,1169792,339454,2028859,24.34,0,1.27,57.66,16.73,15.1,2.03,0.49,0,0.03,1.17,0.34
"Florida",2009,431938,0,22904,1010931,309516,1775289,493512,0,26169,1155043,353639,2028363,24.33,0,1.29,56.94,17.43,15.1,2.03,0.49,0,0.03,1.16,0.35
"Florida",2010,496482,0,25487,1069598,332149,1923716,558103,0,28650,1202351,373374,2162478,25.81,0,1.32,55.6,17.27,22.7,2.16,0.56,0,0.03,1.2,0.37
"Florida",2011,487759,0,27205,1097588,339328,1951880,531520,0,29646,1196061,369772,2126998,24.99,0,1.39,56.23,17.38,20.7,2.13,0.53,0,0.03,1.2,0.37
"Florida",2012,487581,0,23631,1313738,208153,2033103,520553,0,25229,1402578,222229,2170589,23.98,0,1.16,64.62,10.24,23.1,2.17,0.52,0,0.03,1.4,0.22
"Florida",2013,517728,0,27069,1323873,220707,2089377,544759,0,28482,1392994,232230,2198466,24.78,0,1.3,63.36,10.56,24.7,2.2,0.54,0,0.03,1.39,0.23
"Florida",2014,531822,0,33743,1346734,220720,2133019,550656,0,34938,1394429,228537,2208560,24.93,0,1.58,63.14,10.35,25.3,2.21,0.55,0,0.03,1.39,0.23
"Florida",2015,545082,0,35203,1441934,233077,2255296,563717,0,36406,1491230,241045,2332399,24.17,0,1.56,63.94,10.33,32.3,2.33,0.56,0,0.04,1.49,0.24
"Florida",2016,561489,0,35873,1492807,241932,2332101,655370,0,41871,1742403,282383,2722026,24.08,0,1.54,64.01,10.37,54.4,2.72,0.66,0,0.04,1.74,0.28
"Florida",2017,573032,0,36191,1505935,241742,2356900,573032,0,36191,1505935,241742,2356900,24.31,0,1.54,63.89,10.26,33.7,2.36,0.57,0,0.04,1.51,0.24
"Foxborough",2003,17598791,0,3159592,802478,535363,22096224,23444650,0,4209126,1069040,713197,29436013,79.65,0,14.3,3.63,2.42,0,29.44,23.44,0,4.21,1.07,0.71
"Foxborough",2004,18062586,0,3665803,788203,482271,22998863,23438333,0,4756811,1022786,625803,29843734,78.54,0,15.94,3.43,2.1,1.4,29.84,23.44,0,4.76,1.02,0.63
"Foxborough",2005,18989952,0,3689372,797718,620547,24097589,23834189,0,4630511,1001212,778845,30244757,78.8,0,15.31,3.31,2.58,2.7,30.24,23.83,0,4.63,1,0.78
"Foxborough",2006,20749986,0,3835608,768978,578107,25932679,25229348,0,4663612,934980,702905,31530845,80.01,0,14.79,2.97,2.23,7.1,31.53,25.23,0,4.66,0.93,0.7
"Foxborough",2007,21425418,0,4331728,818512,591246,27166904,25329159,0,5120975,967646,698972,32116752,78.87,0,15.94,3.01,2.18,9.1,32.12,25.33,0,5.12,0.97,0.7
"Foxborough",2008,22366864,0,4606301,874083,706823,28554071,25464419,0,5244221,995133,804710,32508483,78.33,0,16.13,3.06,2.48,10.4,32.51,25.46,0,5.24,1,0.8
"Foxborough",2009,22655311,0,5489689,900031,781083,29826114,25884905,0,6272263,1028334,892429,34077931,75.96,0,18.41,3.02,2.62,15.8,34.08,25.88,0,6.27,1.03,0.89
"Foxborough",2010,23946318,0,7174549,763480,1007233,32891580,26918413,0,8065017,858239,1132246,36973915,72.8,0,21.81,2.32,3.06,25.6,36.97,26.92,0,8.07,0.86,1.13
"Foxborough",2011,25652373,0,6958331,804365,1179869,34594938,27953844,0,7582616,876531,1285724,37698715,74.15,0,20.11,2.33,3.41,28.1,37.7,27.95,0,7.58,0.88,1.29
"Foxborough",2012,26520139,0,7594905,883369,1409745,36408158,28313529,0,8108501,943106,1505077,38870213,72.84,0,20.86,2.43,3.87,32,38.87,28.31,0,8.11,0.94,1.51
"Foxborough",2013,28105874,0,7750754,895112,1508317,38260057,29573320,0,8155431,941847,1587068,40257666,73.46,0,20.26,2.34,3.94,36.8,40.26,29.57,0,8.16,0.94,1.59
"Foxborough",2014,29128838,0,7958587,994471,1570635,39652531,30160435,0,8240440,1029690,1626259,41056824,73.46,0,20.07,2.51,3.96,39.5,41.06,30.16,0,8.24,1.03,1.63
"Foxborough",2015,30110819,0,8203999,1032345,2015275,41362438,31140230,0,8484473,1067638,2084172,42776513,72.8,0,19.83,2.5,4.87,45.3,42.78,31.14,0,8.48,1.07,2.08
"Foxborough",2016,31717322,0,8497093,1077254,2041024,43332693,37020433,0,9917800,1257370,2382282,50577884,73.19,0,19.61,2.49,4.71,71.8,50.58,37.02,0,9.92,1.26,2.38
"Foxborough",2017,33124301,0,8911034,1030621,2079630,45145586,33124301,0,8911034,1030621,2079630,45145586,73.37,0,19.74,2.28,4.61,53.4,45.15,33.12,0,8.91,1.03,2.08
"Framingham",2003,64387263,0,37629697,7228498,5625600,114871058,85775032,0,50129301,9629616,7494278,153028227,56.05,0,32.76,6.29,4.9,0,153.03,85.78,0,50.13,9.63,7.49
"Framingham",2004,67689993,0,38549632,7329874,7059619,120629118,87835739,0,50022688,9511375,9160687,156530489,56.11,0,31.96,6.08,5.85,2.3,156.53,87.84,0,50.02,9.51,9.16
"Framingham",2005,70865677,0,40835502,7528195,6313392,125542766,88943137,0,51252423,9448598,7923905,157568064,56.45,0,32.53,6,5.03,3,157.57,88.94,0,51.25,9.45,7.92
"Framingham",2006,75641991,0,41708749,7580455,6590375,131521570,91971056,0,50712542,9216871,8013059,159913528,57.51,0,31.71,5.76,5.01,4.5,159.91,91.97,0,50.71,9.22,8.01
"Framingham",2007,80600383,0,40796516,7629202,6681657,135707758,95285885,0,48229698,9019253,7899064,160433900,59.39,0,30.06,5.62,4.92,4.8,160.43,95.29,0,48.23,9.02,7.9
"Framingham",2008,85320578,0,41135118,7780739,7041917,141278352,97136501,0,46831861,8858282,8017142,160843786,60.39,0,29.12,5.51,4.98,5.1,160.84,97.14,0,46.83,8.86,8.02
"Framingham",2009,85088579,0,46044064,8446157,7426904,147005704,97218254,0,52607806,9650186,8485635,167961881,57.88,0,31.32,5.75,5.05,9.8,167.96,97.22,0,52.61,9.65,8.49
"Framingham",2010,86852254,0,48238246,8388683,9088866,152568049,97631913,0,54225331,9429844,10216930,171504018,56.93,0,31.62,5.5,5.96,12.1,171.5,97.63,0,54.23,9.43,10.22
"Framingham",2011,90230017,0,48731956,9316718,9892008,158170699,98325243,0,53104073,10152592,10779496,172361403,57.05,0,30.81,5.89,6.25,12.6,172.36,98.33,0,53.1,10.15,10.78
"Framingham",2012,98528855,0,46247317,9498304,9448992,163723468,105191743,0,49374733,10140615,10087968,174795058,60.18,0,28.25,5.8,5.77,14.2,174.8,105.19,0,49.37,10.14,10.09
"Framingham",2013,99574028,0,48155839,9589795,9705846,167025508,104772923,0,50670120,10090491,10212601,175746136,59.62,0,28.83,5.74,5.81,14.8,175.75,104.77,0,50.67,10.09,10.21
"Framingham",2014,101864369,0,49116297,10017916,9291860,170290442,105471893,0,50855750,10372700,9620931,176321274,59.82,0,28.84,5.88,5.46,15.2,176.32,105.47,0,50.86,10.37,9.62
"Framingham",2015,103688723,0,50682023,10440957,8700596,173512299,107233573,0,52414711,10797906,8998047,179444237,59.76,0,29.21,6.02,5.01,17.3,179.44,107.23,0,52.41,10.8,9
"Framingham",2016,105702068,0,51159016,9930247,9674832,176466163,123375368,0,59712762,11590576,11292456,205971162,59.9,0,28.99,5.63,5.48,34.6,205.97,123.38,0,59.71,11.59,11.29
"Framingham",2017,107736628,0,55045915,9852667,9768635,182403845,107736628,0,55045915,9852667,9768635,182403845,59.06,0,30.18,5.4,5.36,19.2,182.4,107.74,0,55.05,9.85,9.77
"Franklin",2003,29224719,0,2443303,4748638,775496,37192156,38932408,0,3254905,6326012,1033096,49546420,78.58,0,6.57,12.77,2.09,0,49.55,38.93,0,3.25,6.33,1.03
"Franklin",2004,29887605,0,2497339,4926910,1011717,38323571,38782688,0,3240592,6393246,1312822,49729347,77.99,0,6.52,12.86,2.64,0.4,49.73,38.78,0,3.24,6.39,1.31
"Franklin",2005,31651605,0,2998418,4789726,769247,40208996,39725763,0,3763299,6011560,965478,50466099,78.72,0,7.46,11.91,1.91,1.9,50.47,39.73,0,3.76,6.01,0.97
"Franklin",2006,33885538,0,3064779,4766718,812301,42529336,41200511,0,3726382,5795724,987655,51710272,79.68,0,7.21,11.21,1.91,4.4,51.71,41.2,0,3.73,5.8,0.99
"Franklin",2007,35367762,0,3076433,4671028,1112451,44227674,41811817,0,3636963,5522096,1315141,52286018,79.97,0,6.96,10.56,2.52,5.5,52.29,41.81,0,3.64,5.52,1.32
"Franklin",2008,38551083,0,3649472,5372236,1040001,48612792,43889967,0,4154882,6116229,1184029,55345107,79.3,0,7.51,11.05,2.14,11.7,55.35,43.89,0,4.15,6.12,1.18
"Franklin",2009,39503410,0,3885502,5783884,1367611,50540407,45134759,0,4439394,6608397,1562569,57745119,78.16,0,7.69,11.44,2.71,16.5,57.75,45.13,0,4.44,6.61,1.56
"Franklin",2010,40896948,0,4008191,5892912,1589678,52387729,45972869,0,4505667,6624310,1786981,58889827,78.07,0,7.65,11.25,3.03,18.9,58.89,45.97,0,4.51,6.62,1.79
"Franklin",2011,43109509,0,4017375,5669630,1493721,54290235,46977193,0,4377804,6178296,1627734,59161028,79.41,0,7.4,10.44,2.75,19.4,59.16,46.98,0,4.38,6.18,1.63
"Franklin",2012,44702223,0,4228889,5635932,1846161,56413205,47725154,0,4514862,6017055,1971005,60228076,79.24,0,7.5,9.99,3.27,21.6,60.23,47.73,0,4.51,6.02,1.97
"Franklin",2013,46138667,0,4440014,5837176,2074076,58489933,48547629,0,4671833,6141943,2182366,61543771,78.88,0,7.59,9.98,3.55,24.2,61.54,48.55,0,4.67,6.14,2.18
"Franklin",2014,48717234,0,4708175,5885559,2196831,61507799,50442554,0,4874915,6093996,2274632,63686096,79.2,0,7.65,9.57,3.57,28.5,63.69,50.44,0,4.87,6.09,2.27
"Franklin",2015,52719194,0,4880498,6112569,2074708,65786969,54521527,0,5047350,6321542,2145637,68036056,80.14,0,7.42,9.29,3.15,37.3,68.04,54.52,0,5.05,6.32,2.15
"Franklin",2016,54031057,0,4958269,6602737,2077956,67670019,63065006,0,5787288,7706709,2425389,78984391,79.84,0,7.33,9.76,3.07,59.4,78.98,63.07,0,5.79,7.71,2.43
"Franklin",2017,56488747,0,5242016,6655989,2370808,70757560,56488747,0,5242016,6655989,2370808,70757560,79.83,0,7.41,9.41,3.35,42.8,70.76,56.49,0,5.24,6.66,2.37
"Freetown",2003,7846028,0,809703,651708,511686,9819125,10452274,0,1078665,868188,681655,13080782,79.91,0,8.25,6.64,5.21,0,13.08,10.45,0,1.08,0.87,0.68
"Freetown",2004,8559412,0,841501,622998,519673,10543584,11106845,0,1091947,808413,674337,13681542,81.18,0,7.98,5.91,4.93,4.6,13.68,11.11,0,1.09,0.81,0.67
"Freetown",2005,9026529,0,791404,923947,566151,11308031,11329149,0,993287,1159641,710573,14192650,79.82,0,7,8.17,5.01,8.5,14.19,11.33,0,0.99,1.16,0.71
"Freetown",2006,9640394,0,814139,1065922,554313,12074768,11721495,0,989890,1296026,673974,14681385,79.84,0,6.74,8.83,4.59,12.2,14.68,11.72,0,0.99,1.3,0.67
"Freetown",2007,9968043,0,818266,1316663,543385,12646357,11784234,0,967355,1556561,642391,14950541,78.82,0,6.47,10.41,4.3,14.3,14.95,11.78,0,0.97,1.56,0.64
"Freetown",2008,10327597,0,870421,1431245,592339,13221602,11757851,0,990964,1629456,674371,15052642,78.11,0,6.58,10.83,4.48,15.1,15.05,11.76,0,0.99,1.63,0.67
"Freetown",2009,10433548,0,1002544,1597049,776091,13809232,11920887,0,1145460,1824714,886725,15777786,75.55,0,7.26,11.57,5.62,20.6,15.78,11.92,0,1.15,1.82,0.89
"Freetown",2010,10744686,0,1053758,1631443,894742,14324629,12078262,0,1184545,1833929,1005793,16102529,75.01,0,7.36,11.39,6.25,23.1,16.1,12.08,0,1.18,1.83,1.01
"Freetown",2011,11017171,0,1108335,1649652,1049147,14824305,12005606,0,1207772,1797655,1143274,16154307,74.32,0,7.48,11.13,7.08,23.5,16.15,12.01,0,1.21,1.8,1.14
"Freetown",2012,11311922,0,1167518,1729486,1099397,15308323,12076876,0,1246470,1846440,1173742,16343529,73.89,0,7.63,11.3,7.18,24.9,16.34,12.08,0,1.25,1.85,1.17
"Freetown",2013,11638504,0,1237046,1811747,1140591,15827888,12246166,0,1301634,1906341,1200143,16654283,73.53,0,7.82,11.45,7.21,27.3,16.65,12.25,0,1.3,1.91,1.2
"Freetown",2014,11662181,0,1209075,1731348,1085974,15688578,12075197,0,1251894,1792664,1124434,16244189,74.34,0,7.71,11.04,6.92,24.2,16.24,12.08,0,1.25,1.79,1.12
"Freetown",2015,12311890,0,1262458,2183471,1106696,16864515,12732802,0,1305618,2258118,1144531,17441069,73,0,7.49,12.95,6.56,33.3,17.44,12.73,0,1.31,2.26,1.14
"Freetown",2016,12809581,0,1282327,2327930,1154533,17574371,14951333,0,1496731,2717158,1347570,20512792,72.89,0,7.3,13.25,6.57,56.8,20.51,14.95,0,1.5,2.72,1.35
"Freetown",2017,13547252,0,1358769,2466753,1304743,18677517,13547252,0,1358769,2466753,1304743,18677517,72.53,0,7.27,13.21,6.99,42.8,18.68,13.55,0,1.36,2.47,1.3
"Gardner",2003,11003384,0,1215812,742386,398346,13359928,14658421,0,1619673,988987,530666,17797748,82.36,0,9.1,5.56,2.98,0,17.8,14.66,0,1.62,0.99,0.53
"Gardner",2004,11504586,0,1256497,788151,426653,13975887,14928555,0,1630453,1022719,553633,18135360,82.32,0,8.99,5.64,3.05,1.9,18.14,14.93,0,1.63,1.02,0.55
"Gardner",2005,12617715,0,1049838,633377,293552,14594482,15836428,0,1317646,794948,368436,18317457,86.46,0,7.19,4.34,2.01,2.9,18.32,15.84,0,1.32,0.79,0.37
"Gardner",2006,13277936,0,1032331,640487,331186,15281940,16144284,0,1255183,778751,402680,18580898,86.89,0,6.76,4.19,2.17,4.4,18.58,16.14,0,1.26,0.78,0.4
"Gardner",2007,13951796,0,1068595,586091,308811,15915293,16493833,0,1263294,692878,365077,18815081,87.66,0,6.71,3.68,1.94,5.7,18.82,16.49,0,1.26,0.69,0.37
"Gardner",2008,14392588,0,1185199,667925,339694,16585406,16385797,0,1349335,760425,386738,18882295,86.78,0,7.15,4.03,2.05,6.1,18.88,16.39,0,1.35,0.76,0.39
"Gardner",2009,14786416,0,1267914,716693,404393,17175416,16894271,0,1448660,818860,462041,19623832,86.09,0,7.38,4.17,2.35,10.3,19.62,16.89,0,1.45,0.82,0.46
"Gardner",2010,15124584,0,1463138,812815,463516,17864053,17001770,0,1644735,913697,521045,20081248,84.66,0,8.19,4.55,2.59,12.8,20.08,17,0,1.64,0.91,0.52
"Gardner",2011,15440062,0,1699889,1045728,611305,18796984,16825308,0,1852399,1139548,666150,20483405,82.14,0,9.04,5.56,3.25,15.1,20.48,16.83,0,1.85,1.14,0.67
"Gardner",2012,16292027,0,1797950,1037861,627444,19755282,17393754,0,1919534,1108045,669874,21091208,82.47,0,9.1,5.25,3.18,18.5,21.09,17.39,0,1.92,1.11,0.67
"Gardner",2013,16931086,0,1950829,1075913,669163,20626991,17815081,0,2052684,1132088,704101,21703954,82.08,0,9.46,5.22,3.24,21.9,21.7,17.82,0,2.05,1.13,0.7
"Gardner",2014,17365025,0,2093953,1177384,802781,21439143,17980007,0,2168110,1219081,831211,22198410,81,0,9.77,5.49,3.74,24.7,22.2,17.98,0,2.17,1.22,0.83
"Gardner",2015,17917748,0,2218364,1256718,1218271,22611101,18530310,0,2294204,1299682,1259921,23384116,79.24,0,9.81,5.56,5.39,31.4,23.38,18.53,0,2.29,1.3,1.26
"Gardner",2016,18515893,0,2390198,1198836,1210835,23315762,21611735,0,2789837,1399280,1413286,27214138,79.41,0,10.25,5.14,5.19,52.9,27.21,21.61,0,2.79,1.4,1.41
"Gardner",2017,19441958,0,2458994,1229476,1389204,24519632,19441958,0,2458994,1229476,1389204,24519632,79.29,0,10.03,5.01,5.67,37.8,24.52,19.44,0,2.46,1.23,1.39
"Georgetown",2003,8124741,0,419703,440657,137627,9122728,10823568,0,559117,587032,183343,12153060,89.06,0,4.6,4.83,1.51,0,12.15,10.82,0,0.56,0.59,0.18
"Georgetown",2004,8616451,0,421384,433774,137844,9609453,11180860,0,546795,562873,178869,12469397,89.67,0,4.39,4.51,1.43,2.6,12.47,11.18,0,0.55,0.56,0.18
"Georgetown",2005,9126972,0,400178,411612,125365,10064127,11455214,0,502261,516612,157345,12631433,90.69,0,3.98,4.09,1.25,3.9,12.63,11.46,0,0.5,0.52,0.16
"Georgetown",2006,10151407,0,408449,427188,143137,11130181,12342822,0,496622,519406,174036,13532887,91.21,0,3.67,3.84,1.29,11.4,13.53,12.34,0,0.5,0.52,0.17
"Georgetown",2007,10605423,0,439250,452593,146584,11643850,12537746,0,519282,535056,173292,13765376,91.08,0,3.77,3.89,1.26,13.3,13.77,12.54,0,0.52,0.54,0.17
"Georgetown",2008,11082498,0,451165,481757,152667,12168087,12617297,0,513646,548475,173810,13853228,91.08,0,3.71,3.96,1.25,14,13.85,12.62,0,0.51,0.55,0.17
"Georgetown",2009,11352924,0,468704,500539,199261,12521428,12971323,0,535519,571893,227666,14306401,90.67,0,3.74,4,1.59,17.7,14.31,12.97,0,0.54,0.57,0.23
"Georgetown",2010,11779387,0,470157,533536,228251,13011331,13241385,0,528510,599756,256580,14626231,90.53,0,3.61,4.1,1.75,20.4,14.63,13.24,0,0.53,0.6,0.26
"Georgetown",2011,11990828,0,504814,577617,247285,13320544,13066617,0,550105,629439,269471,14515632,90.02,0,3.79,4.34,1.86,19.4,14.52,13.07,0,0.55,0.63,0.27
"Georgetown",2012,13495342,0,570058,594528,288006,14947934,14407947,0,608607,634732,307482,15958769,90.28,0,3.81,3.98,1.93,31.3,15.96,14.41,0,0.61,0.63,0.31
