"Municipal","F_year","Total.Budget","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property"
"Edgartown",2007,27525875.63,16760629,12842,1026082,12203,211102,18022858,18831235,14428,1152844,13711,237182,20249399,93,0.07,5.69,0.07,1.17
"Edgartown",2008,30043295.16,17825902,0,1065720,11108,232714,19135444,19287556,0,1153105,12019,251796,20704475,93.16,0,5.57,0.06,1.22
"Edgartown",2009,32295305.77,18589318,0,1156124,11721,259281,20016444,20185384,0,1255388,12727,281543,21735042,92.87,0,5.78,0.06,1.3
"Edgartown",2010,30487249.31,19319144,0,1229780,12013,291790,20852727,20639330,0,1313818,12834,311730,22277712,92.65,0,5.9,0.06,1.4
"Edgartown",2011,31787589.22,20617225,0,1354271,13199,332768,22317463,21352131,0,1402544,13669,344630,23112974,92.38,0,6.07,0.06,1.49
"Edgartown",2012,32954537.3,21213564,0,1291556,12954,348152,22866226,21524292,0,1310474,13144,353252,23201161,92.77,0,5.65,0.06,1.52
"Edgartown",2013,34208068.26,21716528,0,1323826,13074,369437,23422865,21716528,0,1323826,13074,369437,23422865,92.72,0,5.65,0.06,1.58
"Egremont",2003,3087887.1,2095810,0,109741,0,58197,2263748,2653444,0,138940,0,73682,2866065,92.58,0,4.85,0,2.57
"Egremont",2004,3086491.96,2310358,0,121040,0,54329,2485727,2849201,0,149270,0,67000,3065471,92.94,0,4.87,0,2.19
"Egremont",2005,3334791.97,2382916,0,118614,0,48698,2550228,2842381,0,141485,0,58088,3041953,93.44,0,4.65,0,1.91
"Egremont",2006,3230122.77,2320933,0,117343,0,39107,2477383,2681932,0,135595,0,45190,2862717,93.68,0,4.74,0,1.58
"Egremont",2007,3573445.63,2377613,0,120216,0,52932,2550761,2671343,0,135067,0,59471,2865882,93.21,0,4.71,0,2.08
"Egremont",2008,3737012.34,2617918,0,128528,0,50757,2797203,2832577,0,139067,0,54919,3026563,93.59,0,4.59,0,1.81
"Egremont",2009,3886167.35,2733026,0,126651,0,51210,2910887,2967682,0,137525,0,55607,3160814,93.89,0,4.35,0,1.76
"Egremont",2010,3869877.02,2878973,0,139535,36,56135,3074679,3075710,0,149070,38,59971,3284789,93.63,0,4.54,0,1.83
"Egremont",2011,3775346.02,2747445,0,118971,37,57266,2923719,2845378,0,123212,38,59307,3027936,93.97,0,4.07,0,1.96
"Egremont",2012,4130628.08,2883389,0,121201,39,61190,3065819,2925624,0,122976,40,62086,3110726,94.05,0,3.95,0,2
"Egremont",2013,3975471.31,2843011,0,113360,39,65596,3022006,2843011,0,113360,39,65596,3022006,94.08,0,3.75,0,2.17
"Erving",2003,7121416.72,455446,2095,54330,3434440,1620588,5566899,576627,2652,68786,4348244,2051779,7048087,8.18,0.04,0.98,61.69,29.11
"Erving",2004,7596756.09,482158,2146,54902,3524192,1667230,5730628,594611,2647,67707,4346137,2056077,7067178,8.41,0.04,0.96,61.5,29.09
"Erving",2005,7642060.98,571620,2542,69652,3579742,1668842,5892398,681838,3032,83082,4269974,1990622,7028548,9.7,0.04,1.18,60.75,28.32
"Erving",2006,7526912.2,716677,3042,77634,3208128,2053018,6058499,828149,3515,89709,3707122,2372346,7000842,11.83,0.05,1.28,52.95,33.89
"Erving",2007,8537191.97,785961,3193,76933,3276840,2076191,6219118,883059,3587,86437,3681660,2332683,6987427,12.64,0.05,1.24,52.69,33.38
"Erving",2008,9496845.22,804907,3151,79288,3357600,2129408,6374354,870906,3409,85789,3632910,2304011,6897026,12.63,0.05,1.24,52.67,33.41
"Erving",2009,9776085.28,840172,3587,87157,3488580,2282923,6702419,912309,3895,94640,3788107,2478933,7277884,12.54,0.05,1.3,52.05,34.06
"Erving",2010,9784156.84,853755,3639,87739,3588966,2356302,6890401,912097,3888,93735,3834220,2517321,7361261,12.39,0.05,1.27,52.09,34.2
"Erving",2011,11405944.07,881027,3758,92442,3700468,2520568,7198263,912431,3892,95737,3832372,2610414,7454847,12.24,0.05,1.28,51.41,35.02
"Erving",2012,10126106.26,914052,3902,89878,3836320,2653515,7497667,927441,3959,91194,3892513,2692383,7607490,12.19,0.05,1.2,51.17,35.39
"Erving",2013,11168214.75,975238,4577,94121,5690268,1309926,8074130,975238,4577,94121,5690268,1309926,8074130,12.08,0.06,1.17,70.48,16.22
"Essex",2003,8134955.39,5257913,0,498397,120206,89098,5965614,6656889,0,631006,152189,112804,7552889,88.14,0,8.35,2.01,1.49
"Essex",2004,9613452.38,5570221,0,496268,125797,71544,6263830,6869359,0,612012,155137,88230,7724738,88.93,0,7.92,2.01,1.14
"Essex",2005,10872747.4,6029008,0,503789,136689,76927,6746413,7191498,0,600928,163045,91760,8047231,89.37,0,7.47,2.03,1.14
"Essex",2006,12115764.04,6878027,0,598163,147292,89955,7713437,7947840,0,691202,170202,103947,8913190,89.17,0,7.75,1.91,1.17
"Essex",2007,12384781.03,7269618,0,654838,177936,90278,8192670,8167706,0,735737,199918,101431,9204791,88.73,0,7.99,2.17,1.1
"Essex",2008,12997199.52,7746997,0,693131,185119,96402,8721649,8382220,0,749965,200298,104307,9436790,88.82,0,7.95,2.12,1.11
"Essex",2009,14195282.81,8677282,0,742458,208800,125031,9753571,9422307,0,806205,226727,135766,10591006,88.97,0,7.61,2.14,1.28
"Essex",2010,14656311.99,9136140,0,708724,193520,135658,10174042,9760464,0,757155,206744,144928,10869292,89.8,0,6.97,1.9,1.33
"Essex",2011,15353052.51,9459437,0,763659,207097,154436,10584629,9796621,0,790880,214479,159941,10961920,89.37,0,7.21,1.96,1.46
"Essex",2012,15216996.07,9639095,0,790491,214366,167603,10811555,9780285,0,802070,217506,170058,10969918,89.16,0,7.31,1.98,1.55
"Essex",2013,16037838.67,10214214,0,820903,224609,190366,11450092,10214214,0,820903,224609,190366,11450092,89.21,0,7.17,1.96,1.66
"Everett",2003,101181822.82,15675580,0,6655378,23595609,3879705,49806272,19846392,0,8426179,29873708,4911981,63058259,31.47,0,13.36,47.37,7.79
"Everett",2004,103289510.08,17569016,0,8769974,24549383,4948710,55837083,21666624,0,10815388,30275016,6102894,68859922,31.46,0,15.71,43.97,8.86
"Everett",2005,110394885.28,22733261,0,9258770,25009110,4680203,61681344,27116602,0,11044011,29831271,5582622,73574505,36.86,0,15.01,40.55,7.59
"Everett",2006,113525967.8,24052244,0,8813509,24018133,4781777,61665663,27793346,0,10184368,27753930,5525538,71257182,39,0,14.29,38.95,7.75
"Everett",2007,124445938.6,27162037,0,8767519,23933413,4750415,64613384,30517631,0,9850657,26890143,5337281,72595712,42.04,0,13.57,37.04,7.35
"Everett",2008,136508170.82,29732490,0,9637182,23622541,5019608,68011821,32170437,0,10427393,25559497,5431196,73588523,43.72,0,14.17,34.73,7.38
"Everett",2009,150487577.41,27944822,0,13906656,25592671,6044985,73489134,30344145,0,15100672,27790040,6564003,79798861,38.03,0,18.92,34.83,8.23
"Everett",2010,145811046.32,27479885,0,15467434,27278727,8201677,78427723,29357741,0,16524411,29142837,8762144,83787133,35.04,0,19.72,34.78,10.46
"Everett",2011,153276682.02,29679438,0,17127615,24734162,10348936,81890151,30737368,0,17738133,25615817,10717826,84809143,36.24,0,20.92,30.2,12.64
"Everett",2012,156207075.87,31824634,0,16214582,25865749,10260746,84165711,32290788,0,16452087,26244620,10411041,85398536,37.81,0,19.27,30.73,12.19
"Everett",2013,169794446.34,31862483,0,17545937,26554493,11299132,87262045,31862483,0,17545937,26554493,11299132,87262045,36.51,0,20.11,30.43,12.95
"Fairhaven",2003,36212750.76,12270146,0,3395791,298732,398692,16363361,15534872,0,4299311,378216,504772,20717171,74.99,0,20.75,1.83,2.44
"Fairhaven",2004,36615151.38,12673352,0,3403070,294326,501225,16871973,15629148,0,4196765,362971,618125,20807010,75.11,0,20.17,1.74,2.97
"Fairhaven",2005,38242272.15,13211028,0,3522702,326721,471039,17531490,15758328,0,4201936,389718,561863,20911845,75.36,0,20.09,1.86,2.69
"Fairhaven",2006,42911035.68,13953317,0,3493812,353732,459980,18260841,16123625,0,4037242,408752,531526,21101145,76.41,0,19.13,1.94,2.52
"Fairhaven",2007,43089904.11,14707690,0,3504049,346325,483948,19042012,16524676,0,3936939,389110,543735,21394459,77.24,0,18.4,1.82,2.54
"Fairhaven",2008,47450867.83,15164251,0,4014028,398181,507829,20084289,16407660,0,4343163,430830,549469,21731122,75.5,0,19.99,1.98,2.53
"Fairhaven",2009,50761893.28,15637714,0,4231374,412513,604221,20885822,16980357,0,4594677,447931,656099,22679064,74.87,0,20.26,1.98,2.89
"Fairhaven",2010,48686057.57,16148650,0,4450253,447634,694873,21741410,17252179,0,4754364,478223,742358,23227124,74.28,0,20.47,2.06,3.2
"Fairhaven",2011,49174622.85,16484088,0,4624115,509020,766618,22383841,17071667,0,4788943,527164,793944,23181718,73.64,0,20.66,2.27,3.42
"Fairhaven",2012,49119105.83,17097203,0,4637738,460957,806507,23002405,17347636,0,4705670,467709,818320,23339335,74.33,0,20.16,2,3.51
"Fairhaven",2013,52526015.74,17705782,0,4737639,491317,747754,23682492,17705782,0,4737639,491317,747754,23682492,74.76,0,20,2.07,3.16
"Fall River",2003,203150477.8,24577254,0,10242068,5553710,2523136,42896168,31116540,0,12967182,7031389,3194468,54309579,57.29,0,23.88,12.95,5.88
"Fall River",2004,201249734.03,27235183,0,10621354,5781639,2477915,46116091,33587224,0,13098564,7130086,3055837,56871711,59.06,0,23.03,12.54,5.37
"Fall River",2005,208256666.42,30742800,0,10832294,5856221,2105941,49537256,36670509,0,12920936,6985395,2512000,59088840,62.06,0,21.87,11.82,4.25
"Fall River",2006,220462764.04,32882617,0,11071195,5930647,1923614,51808073,37997201,0,12793216,6853104,2222814,59866336,63.47,0,21.37,11.45,3.71
"Fall River",2007,234547623.67,38054297,0,12173613,6465278,1964901,58658089,42755519,0,13677539,7263997,2207645,65904701,64.87,0,20.75,11.02,3.35
"Fall River",2008,240842463.94,41683792,0,12335506,6320611,2253938,62593847,45101699,0,13346969,6838876,2438752,67726297,66.59,0,19.71,10.1,3.6
"Fall River",2009,259389358.77,41191489,0,13176621,7010884,2878892,64257886,44728162,0,14307957,7612834,3126072,69775024,64.1,0,20.51,10.91,4.48
"Fall River",2010,241576081.96,43640696,0,14493570,7717239,3309043,69160548,46622912,0,15483998,8244602,3535169,73886679,63.1,0,20.96,11.16,4.78
"Fall River",2011,239791406.39,46233638,0,15032967,7816295,3497139,72580039,47881646,0,15568820,8094909,3621795,75167170,63.7,0,20.71,10.77,4.82
"Fall River",2012,251507699.07,46661107,0,16443448,8350809,4771525,76226889,47344580,0,16684305,8473128,4841416,77343430,61.21,0,21.57,10.96,6.26
"Fall River",2013,259130818.02,49146488,0,17540540,8741603,4005083,79433714,49146488,0,17540540,8741603,4005083,79433714,61.87,0,22.08,11,5.04
"Falmouth",2003,84327148.93,49868870,9969,2934611,325009,838198,53976657,63137513,12621,3715425,411484,1061218,68338261,92.39,0.02,5.44,0.6,1.55
"Falmouth",2004,87742063.14,52627154,9266,3027413,333431,912979,56910243,64901344,11427,3733494,411197,1125912,70183375,92.47,0.02,5.32,0.59,1.6
"Falmouth",2005,96091491.06,55268192,10672,3378730,391012,794638,59843244,65924794,12730,4030204,466405,947857,71381990,92.35,0.02,5.65,0.65,1.33
"Falmouth",2006,100956250.52,56790602,13740,3343268,384287,829571,61361468,65623851,15877,3863282,444059,958603,70905672,92.55,0.02,5.45,0.63,1.35
"Falmouth",2007,104617169.22,59984828,14580,3360251,394341,854549,64608549,67395345,16381,3775376,443058,960120,72590280,92.84,0.02,5.2,0.61,1.32
"Falmouth",2008,118079417.1,63887384,32389,3832062,468734,1011925,69232494,69125898,35045,4146276,507168,1094899,74909286,92.28,0.05,5.54,0.68,1.46
"Falmouth",2009,108228530.93,66266852,32326,4074294,489592,1173743,72036807,71956479,35101,4424110,531628,1274520,78221838,91.99,0.04,5.66,0.68,1.63
"Falmouth",2010,116016687.26,69449717,26174,4127059,515284,1318097,75436331,74195609,27963,4409084,550496,1408170,80591322,92.06,0.03,5.47,0.68,1.75
"Falmouth",2011,117327001.7,73411389,25229,4252219,518809,1318279,79525925,76028154,26128,4403790,537302,1365269,82360644,92.31,0.03,5.35,0.65,1.66
"Falmouth",2012,120427987.95,75921637,25790,4423859,550577,1389462,82311325,77033706,26168,4488658,558642,1409814,83516988,92.24,0.03,5.37,0.67,1.69
"Falmouth",2013,121734230.93,78657215,26445,4622844,583202,1454421,85344127,78657215,26445,4622844,583202,1454421,85344127,92.16,0.03,5.42,0.68,1.7
"Fitchburg",2003,100843769,20034069,0,3651258,2135719,1318376,27139422,25364547,0,4622751,2703971,1669157,34360426,73.82,0,13.45,7.87,4.86
"Fitchburg",2004,100028450,21260336,0,3603597,2125834,1359880,28349647,26218868,0,4444061,2621641,1677044,34961613,74.99,0,12.71,7.5,4.8
"Fitchburg",2005,103882928.98,23008256,0,3543575,1959124,1239452,29750407,27444620,0,4226834,2336875,1478438,35486767,77.34,0,11.91,6.59,4.17
"Fitchburg",2006,110297953,24624399,0,3581624,1950768,1259673,31416464,28454495,0,4138712,2254192,1455603,36303002,78.38,0,11.4,6.21,4.01
"Fitchburg",2007,114487022,26175846,0,3887260,1983665,1316970,33363741,29409606,0,4367492,2228727,1479668,37485493,78.46,0,11.65,5.95,3.95
"Fitchburg",2008,117953703.05,27473948,0,4073883,2051149,1419512,35018492,29726704,0,4407925,2219335,1535906,37889871,78.46,0,11.63,5.86,4.05
"Fitchburg",2009,120873268.3,28259805,0,4375359,2215581,1680356,36531101,30686173,0,4751024,2405809,1824630,39667636,77.36,0,11.98,6.06,4.6
"Fitchburg",2010,116896217,28785470,0,4750126,2368021,1938912,37842529,30752544,0,5074729,2529841,2071409,40428523,76.07,0,12.55,6.26,5.12
"Fitchburg",2011,118998647,29498838,0,4918310,2465720,2427284,39310152,30550331,0,5093624,2553611,2513805,40711371,75.04,0,12.51,6.27,6.17
"Fitchburg",2012,118994648,30273150,0,5181304,2613298,2715552,40783304,30716579,0,5257198,2651577,2755328,41380681,74.23,0,12.7,6.41,6.66
"Fitchburg",2013,129083290,31142760,0,5354599,2774394,3040423,42312176,31142760,0,5354599,2774394,3040423,42312176,73.6,0,12.65,6.56,7.19
"Florida",2003,2275167.69,325745,1212,9366,868090,118883,1323296,412416,1534,11858,1099063,150514,1675386,24.62,0.09,0.71,65.6,8.98
"Florida",2004,2141307.25,335941,1215,9424,865803,120374,1332757,414292,1498,11622,1067734,148449,1643595,25.21,0.09,0.71,64.96,9.03
"Florida",2005,2274543.33,346841,1229,11277,927924,127253,1414524,413718,1466,13451,1106843,151789,1687267,24.52,0.09,0.8,65.6,9
"Florida",2006,2415266.48,382142,0,22497,992838,267139,1664616,441581,0,25996,1147265,308690,1923531,22.96,0,1.35,59.64,16.05
"Florida",2007,2630774.7,390781,0,24498,1000804,295842,1711925,439058,0,27524,1124443,332390,1923416,22.83,0,1.43,58.46,17.28
"Florida",2008,2648905.12,433743,0,22663,1027496,298162,1782064,469308,0,24521,1111747,322610,1928186,24.34,0,1.27,57.66,16.73
"Florida",2009,2738727.41,431938,0,22904,1010931,309516,1775289,469024,0,24871,1097729,336091,1927714,24.33,0,1.29,56.94,17.43
"Florida",2010,3055406.97,496482,0,25487,1069598,332149,1923716,530409,0,27229,1142690,354847,2055174,25.81,0,1.32,55.6,17.27
"Florida",2011,2958860.72,487759,0,27205,1097588,339328,1951880,505145,0,28175,1136712,351423,2021455,24.99,0,1.39,56.23,17.38
"Florida",2012,3046844.75,487581,0,23631,1313738,208153,2033103,494723,0,23977,1332981,211202,2062883,23.98,0,1.16,64.62,10.24
"Florida",2013,3259416.25,517728,0,27069,1323873,220707,2089377,517728,0,27069,1323873,220707,2089377,24.78,0,1.3,63.36,10.56
"Foxborough",2003,41147803.79,17598791,0,3159592,802478,535363,22096224,22281313,0,4000267,1015994,677807,27975381,79.65,0,14.3,3.63,2.42
"Foxborough",2004,42873158.98,18062586,0,3665803,788203,482271,22998863,22275309,0,4520775,972035,594751,28362870,78.54,0,15.94,3.43,2.1
"Foxborough",2005,43901018.49,18989952,0,3689372,797718,620547,24097589,22651522,0,4400743,951531,740199,28743994,78.8,0,15.31,3.31,2.58
"Foxborough",2006,46477947.49,20749986,0,3835608,768978,578107,25932679,23977453,0,4432201,888585,668026,29966265,80.01,0,14.79,2.97,2.23
"Foxborough",2007,52094897.75,21425418,0,4331728,818512,591246,27166904,24072311,0,4866869,919631,664288,30523099,78.87,0,15.94,3.01,2.18
"Foxborough",2008,52358595.5,22366864,0,4606301,874083,706823,28554071,24200859,0,4984000,945754,764780,30895393,78.33,0,16.13,3.06,2.48
"Foxborough",2009,56270131.75,22655311,0,5489689,900031,781083,29826114,24600480,0,5961030,977307,848146,32386964,75.96,0,18.41,3.02,2.62
"Foxborough",2010,60436362.5,23946318,0,7174549,763480,1007233,32891580,25582705,0,7664827,815653,1076063,35139248,72.8,0,21.81,2.32,3.06
"Foxborough",2011,62372515.37,25652373,0,6958331,804365,1179869,34594938,26566757,0,7206362,833037,1221926,35828082,74.15,0,20.11,2.33,3.41
"Foxborough",2012,63205052.27,26520139,0,7594905,883369,1409745,36408158,26908595,0,7706152,896308,1430394,36941450,72.84,0,20.86,2.43,3.87
"Foxborough",2013,66213165.72,28105874,0,7750754,895112,1508317,38260057,28105874,0,7750754,895112,1508317,38260057,73.46,0,20.26,2.34,3.94
"Framingham",2003,181242468.42,64387263,0,37629697,7228498,5625600,114871058,81518824,0,47641855,9151789,7122407,145434875,56.05,0,32.76,6.29,4.9
"Framingham",2004,186615973.83,67689993,0,38549632,7329874,7059619,120629118,83477277,0,47540533,9039415,8706128,148763353,56.11,0,31.96,6.08,5.85
"Framingham",2005,196421166.19,70865677,0,40835502,7528195,6313392,125542766,84529726,0,48709248,8979753,7530716,149749443,56.45,0,32.53,6,5.03
"Framingham",2006,202459159.12,75641991,0,41708749,7580455,6590375,131521570,87407397,0,48196156,8759524,7615446,151978524,57.51,0,31.71,5.76,5.01
"Framingham",2007,213306232.73,80600383,0,40796516,7629202,6681657,135707758,90557742,0,45836512,8571712,7507108,152473074,59.39,0,30.06,5.62,4.92
"Framingham",2008,224909058.87,85320578,0,41135118,7780739,7041917,141278352,92316530,0,44508036,8418729,7619327,152862622,60.39,0,29.12,5.51,4.98
"Framingham",2009,238719132.33,85088579,0,46044064,8446157,7426904,147005704,92394226,0,49997376,9171338,8064573,159627513,57.88,0,31.32,5.75,5.05
"Framingham",2010,237954432.07,86852254,0,48238246,8388683,9088866,152568049,92787360,0,51534638,8961929,9709960,162993887,56.93,0,31.62,5.5,5.96
"Framingham",2011,243009622.71,90230017,0,48731956,9316718,9892008,158170699,93446286,0,50469017,9648814,10244611,163808728,57.05,0,30.81,5.89,6.25
"Framingham",2012,253095954.1,98528855,0,46247317,9498304,9448992,163723468,99972066,0,46924729,9637431,9587397,166121623,60.18,0,28.25,5.8,5.77
"Framingham",2013,268252318.06,99574028,0,48155839,9589795,9705846,167025508,99574028,0,48155839,9589795,9705846,167025508,59.62,0,28.83,5.74,5.81
"Franklin",2003,78397424.23,29224719,0,2443303,4748638,775496,37192156,37000559,0,3093394,6012111,981833,47087897,78.58,0,6.57,12.77,2.09
"Franklin",2004,88850978.71,29887605,0,2497339,4926910,1011717,38323571,36858268,0,3079791,6076009,1247679,47261748,77.99,0,6.52,12.86,2.64
"Franklin",2005,93375357.86,31651605,0,2998418,4789726,769247,40208996,37754547,0,3576562,5713263,917570,47961941,78.72,0,7.46,11.91,1.91
"Franklin",2006,97794917.27,33885538,0,3064779,4766718,812301,42529336,39156117,0,3541477,5508137,938647,49144378,79.68,0,7.21,11.21,1.91
"Franklin",2007,103566164.37,35367762,0,3076433,4671028,1112451,44227674,39737090,0,3456495,5248086,1249883,49691554,79.97,0,6.96,10.56,2.52
"Franklin",2008,105563857.54,38551083,0,3649472,5372236,1040001,48612792,41712120,0,3948714,5812738,1125277,52598850,79.3,0,7.51,11.05,2.14
"Franklin",2009,112403391.66,39503410,0,3885502,5783884,1367611,50540407,42895146,0,4219109,6280484,1485033,54879772,78.16,0,7.69,11.44,2.71
"Franklin",2010,108415551.03,40896948,0,4008191,5892912,1589678,52387729,43691668,0,4282093,6295608,1698310,55967679,78.07,0,7.65,11.25,3.03
"Franklin",2011,109664957.37,43109509,0,4017375,5669630,1493721,54290235,44646157,0,4160575,5871725,1546965,56225422,79.41,0,7.4,10.44,2.75
"Franklin",2012,107668119.32,44702223,0,4228889,5635932,1846161,56413205,45357003,0,4290832,5718485,1873203,57239523,79.24,0,7.5,9.99,3.27
"Franklin",2013,115364470.69,46138667,0,4440014,5837176,2074076,58489933,46138667,0,4440014,5837176,2074076,58489933,78.88,0,7.59,9.98,3.55
"Freetown",2003,15551151.07,7846028,0,809703,651708,511686,9819125,9933626,0,1025141,825108,647831,12431706,79.91,0,8.25,6.64,5.21
"Freetown",2004,15857416.92,8559412,0,841501,622998,519673,10543584,10555717,0,1037764,768299,640876,13002656,81.18,0,7.98,5.91,4.93
"Freetown",2005,17857354.18,9026529,0,791404,923947,566151,11308031,10766990,0,943999,1102099,675314,13488402,79.82,0,7,8.17,5.01
"Freetown",2006,18246904.04,9640394,0,814139,1065922,554313,12074768,11139867,0,940771,1231716,640531,13952886,79.84,0,6.74,8.83,4.59
"Freetown",2007,20525935.05,9968043,0,818266,1316663,543385,12646357,11199494,0,919354,1479323,610515,14208686,78.82,0,6.47,10.41,4.3
"Freetown",2008,21061724.42,10327597,0,870421,1431245,592339,13221602,11174419,0,941792,1548601,640908,14305721,78.11,0,6.58,10.83,4.48
"Freetown",2009,21135868.01,10433548,0,1002544,1597049,776091,13809232,11329365,0,1088622,1734171,842726,14994883,75.55,0,7.26,11.57,5.62
"Freetown",2010,21194325.75,10744686,0,1053758,1631443,894742,14324629,11478931,0,1125767,1742929,955885,15303512,75.01,0,7.36,11.39,6.25
"Freetown",2011,21734981.83,11017171,0,1108335,1649652,1049147,14824305,11409880,0,1147842,1708454,1086544,15352721,74.32,0,7.48,11.13,7.08
"Freetown",2012,20915903.07,11311922,0,1167518,1729486,1099397,15308323,11477614,0,1184619,1754819,1115501,15532553,73.89,0,7.63,11.3,7.18
"Freetown",2013,22130693.91,11638504,0,1237046,1811747,1140591,15827888,11638504,0,1237046,1811747,1140591,15827888,73.53,0,7.82,11.45,7.21
"Gardner",2003,46183050.9,11003384,0,1215812,742386,398346,13359928,13931062,0,1539304,939913,504334,16914613,82.36,0,9.1,5.56,2.98
"Gardner",2004,47260815.73,11504586,0,1256497,788151,426653,13975887,14187792,0,1549549,971971,526161,17235472,82.32,0,8.99,5.64,3.05
"Gardner",2005,49274038.51,12617715,0,1049838,633377,293552,14594482,15050615,0,1252264,755502,350154,17408534,86.46,0,7.19,4.34,2.01
"Gardner",2006,50178235.95,13277936,0,1032331,640487,331186,15281940,15343195,0,1192900,740109,382699,17658903,86.89,0,6.76,4.19,2.17
"Gardner",2007,54455398.3,13951796,0,1068595,586091,308811,15915293,15675399,0,1200609,658497,346961,17881466,87.66,0,6.71,3.68,1.94
"Gardner",2008,55688620.03,14392588,0,1185199,667925,339694,16585406,15572724,0,1282381,722692,367548,17945344,86.78,0,7.15,4.03,2.05
"Gardner",2009,57127185.79,14786416,0,1267914,716693,404393,17175416,16055968,0,1376776,778228,439114,18650085,86.09,0,7.38,4.17,2.35
"Gardner",2010,55314983.96,15124584,0,1463138,812815,463516,17864053,16158132,0,1563122,868359,495191,19084805,84.66,0,8.19,4.55,2.59
"Gardner",2011,54804230.15,15440062,0,1699889,1045728,611305,18796984,15990426,0,1760482,1083003,633095,19467007,82.14,0,9.04,5.56,3.25
"Gardner",2012,58612975.32,16292027,0,1797950,1037861,627444,19755282,16530666,0,1824286,1053063,636635,20044649,82.47,0,9.1,5.25,3.18
"Gardner",2013,57965863.99,16931086,0,1950829,1075913,669163,20626991,16931086,0,1950829,1075913,669163,20626991,82.08,0,9.46,5.22,3.24
"Georgetown",2003,18944366.59,8124741,0,419703,440657,137627,9122728,10286496,0,531374,557903,174246,11550018,89.06,0,4.6,4.83,1.51
"Georgetown",2004,18974731.88,8616451,0,421384,433774,137844,9609453,10626059,0,519663,534943,169993,11850658,89.67,0,4.39,4.51,1.43
"Georgetown",2005,19251382.32,9126972,0,400178,411612,125365,10064127,10886800,0,477339,490977,149537,12004654,90.69,0,3.98,4.09,1.25
"Georgetown",2006,22540944.58,10151407,0,408449,427188,143137,11130181,11730364,0,471979,493633,165401,12861377,91.21,0,3.67,3.84,1.29
"Georgetown",2007,22918157.63,10605423,0,439250,452593,146584,11643850,11915615,0,493515,508506,164693,13082330,91.08,0,3.77,3.89,1.26
"Georgetown",2008,24753069.02,11082498,0,451165,481757,152667,12168087,11991219,0,488159,521259,165185,13165822,91.08,0,3.71,3.96,1.25
"Georgetown",2009,24792689.07,11352924,0,468704,500539,199261,12521428,12327678,0,508947,543515,216369,13596509,90.67,0,3.74,4,1.59
"Georgetown",2010,24122224.96,11779387,0,470157,533536,228251,13011331,12584339,0,502285,569996,243849,13900469,90.53,0,3.61,4.1,1.75
"Georgetown",2011,24380153.62,11990828,0,504814,577617,247285,13320544,12418244,0,522808,598206,256100,13795358,90.02,0,3.79,4.34,1.86
"Georgetown",2012,27188579.05,13495342,0,570058,594528,288006,14947934,13693016,0,578408,603236,292225,15166885,90.28,0,3.81,3.98,1.93
"Georgetown",2013,27120906.94,13931995,0,575740,570692,277687,15356114,13931995,0,575740,570692,277687,15356114,90.73,0,3.75,3.72,1.81
"Gill",2003,2072914.03,1082601,0,115312,93144,34504,1325561,1370649,0,145993,117927,43685,1678254,81.67,0,8.7,7.03,2.6
"Gill",2004,2258949.83,1340450,0,134442,113601,44644,1633137,1653082,0,165798,140096,55056,2014032,82.08,0,8.23,6.96,2.73
"Gill",2005,2336069.26,1336646,0,118734,118827,31053,1605260,1594373,0,141628,141739,37041,1914780,83.27,0,7.4,7.4,1.93
"Gill",2006,2597227.68,1377364,0,129137,126385,35542,1668428,1591600,0,149223,146043,41070,1927936,82.55,0,7.74,7.58,2.13
"Gill",2007,2776423.26,1352180,0,121780,113341,30807,1618108,1519228,0,136825,127343,34613,1818009,83.57,0,7.53,7,1.9
"Gill",2008,2706053.58,1422978,0,133057,217305,27518,1800858,1539657,0,143967,235123,29774,1948521,79.02,0,7.39,12.07,1.53
"Gill",2009,2741381.81,1587851,0,145592,134146,46000,1913589,1724183,0,158092,145664,49950,2077888,82.98,0,7.61,7.01,2.4
"Gill",2010,2780403.39,1689258,0,158128,141771,51748,2040905,1804695,0,168934,151459,55284,2180372,82.77,0,7.75,6.95,2.54
"Gill",2011,2900658.09,1706219,0,160876,196315,52520,2115930,1767038,0,166610,203313,54392,2191353,80.64,0,7.6,9.28,2.48
"Gill",2012,2896299.41,1756929,0,169944,214359,68994,2210226,1782664,0,172433,217499,70005,2242600,79.49,0,7.69,9.7,3.12
"Gill",2013,2958305.44,1802784,0,174926,226285,84980,2288975,1802784,0,174926,226285,84980,2288975,78.76,0,7.64,9.89,3.71
"Gloucester",2003,77225405.86,37451773,0,2761220,1818109,744245,42775347,47416591,0,3495900,2301854,942267,54156611,87.55,0,6.46,4.25,1.74
"Gloucester",2004,78459592.82,39378787,0,2704634,1711454,676510,44471385,48563071,0,3335434,2110615,834292,54843412,88.55,0,6.08,3.85,1.52
"Gloucester",2005,80892301.65,41833490,0,2467274,1602935,662079,46565778,49899664,0,2943004,1912007,789739,55544413,89.84,0,5.3,3.44,1.42
