171,AT001_167,Num,8,BEST12.,BEST32.,AT001_167 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
172,AT001_168,Num,8,BEST12.,BEST32.,AT001_168 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
173,AT001_169,Num,8,BEST12.,BEST32.,AT001_169 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
174,AT001_170,Num,8,BEST12.,BEST32.,AT001_170 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
175,AT001_171,Char,4,$4.00 ,$4.00 ,AT001_171 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
176,AT001_172,Char,4,$4.00 ,$4.00 ,AT001_172 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
177,AT001_173,Num,8,BEST12.,BEST32.,AT001_173 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
178,AT001_174,Num,8,BEST12.,BEST32.,AT001_174 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
179,AT001_175,Char,8,,,AT001_175 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
180,AT001_176,Char,8,,,AT001_176 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
181,AT001_177,Char,4,$4.00 ,$4.00 ,AT001_177 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
182,AT001_178,Char,4,$4.00 ,$4.00 ,AT001_178 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
183,AT001_179,Num,8,BEST12.,BEST32.,AT001_179 Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
184,AT001_180,Num,8,BEST12.,BEST32.,AT001_180 Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
185,AT001_181,Char,8,,,AT001_181 Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
186,AT001_182,Char,8,,,AT001_182 Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
187,AT001_183,Char,4,$4.00 ,$4.00 ,AT001_183 Percent below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
188,AT001_184,Char,3,$3.00 ,$3.00 ,AT001_184 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
189,AT001_185,Num,8,BEST12.,BEST32.,"AT001_185 Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
190,AT001_186,Num,8,BEST12.,BEST32.,"AT001_186 Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
191,AT001_187,Num,8,BEST12.,BEST32.,"AT001_187 Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
192,AT001_188,Num,8,BEST12.,BEST32.,"AT001_188 Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
193,AT001_189,Char,3,$3.00 ,$3.00 ,"AT001_189 Percent below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
194,AT001_190,Char,3,$3.00 ,$3.00 ,"AT001_190 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
195,AT001_191,Num,8,BEST12.,BEST32.,AT001_191 Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
196,AT001_192,Num,8,BEST12.,BEST32.,AT001_192 Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
197,AT001_193,Num,8,BEST12.,BEST32.,AT001_193 Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
198,AT001_194,Num,8,BEST12.,BEST32.,AT001_194 Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
199,AT001_195,Char,4,$4.00 ,$4.00 ,AT001_195 Percent below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
200,AT001_196,Char,3,$3.00 ,$3.00 ,AT001_196 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
201,AT001_197,Num,8,BEST12.,BEST32.,AT001_197 Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
202,AT001_198,Num,8,BEST12.,BEST32.,AT001_198 Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
203,AT001_199,Num,8,BEST12.,BEST32.,AT001_199 Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
204,AT001_200,Num,8,BEST12.,BEST32.,AT001_200 Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
205,AT001_201,Char,4,$4.00 ,$4.00 ,AT001_201 Percent below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
206,AT001_202,Char,3,$3.00 ,$3.00 ,AT001_202 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
207,AT001_203,Num,8,BEST12.,BEST32.,AT001_203 Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
208,AT001_204,Num,8,BEST12.,BEST32.,AT001_204 Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
209,AT001_205,Char,3,$3.00 ,$3.00 ,AT001_205 Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
210,AT001_206,Char,3,$3.00 ,$3.00 ,AT001_206 Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
211,AT001_207,Char,3,$3.00 ,$3.00 ,AT001_207 Percent below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
212,AT001_208,Char,3,$3.00 ,$3.00 ,AT001_208 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
213,AT001_209,Num,8,BEST12.,BEST32.,AT001_209 Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
214,AT001_210,Num,8,BEST12.,BEST32.,AT001_210 Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
215,AT001_211,Char,3,$3.00 ,$3.00 ,AT001_211 Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
216,AT001_212,Char,3,$3.00 ,$3.00 ,AT001_212 Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
217,AT001_213,Char,3,$3.00 ,$3.00 ,AT001_213 Percent below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
218,AT001_214,Char,3,$3.00 ,$3.00 ,AT001_214 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
219,AT001_215,Num,8,BEST12.,BEST32.,AT001_215 Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
220,AT001_216,Num,8,BEST12.,BEST32.,AT001_216 Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
221,AT001_217,Char,3,$3.00 ,$3.00 ,AT001_217 Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
222,AT001_218,Char,3,$3.00 ,$3.00 ,AT001_218 Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
223,AT001_219,Char,3,$3.00 ,$3.00 ,AT001_219 Percent below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
224,AT001_220,Char,3,$3.00 ,$3.00 ,AT001_220 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
225,AT001_221,Char,8,,,AT001_221 Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
226,AT001_222,Char,8,,,AT001_222 Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
227,AT001_223,Char,3,$3.00 ,$3.00 ,AT001_223 Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
228,AT001_224,Char,3,$3.00 ,$3.00 ,AT001_224 Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
229,AT001_225,Char,3,$3.00 ,$3.00 ,AT001_225 Percent below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
230,AT001_226,Char,3,$3.00 ,$3.00 ,AT001_226 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 185 percent of poverty level
231,AT001_227,Num,8,BEST12.,BEST32.,AT001_227 Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
232,AT001_228,Num,8,BEST12.,BEST32.,AT001_228 Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
233,AT001_229,Char,3,$3.00 ,$3.00 ,AT001_229 Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
234,AT001_230,Char,3,$3.00 ,$3.00 ,AT001_230 Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
235,AT001_231,Char,3,$3.00 ,$3.00 ,AT001_231 Percent below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
236,AT001_232,Char,3,$3.00 ,$3.00 ,AT001_232 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 200 percent of poverty level
237,AT001_233,Num,8,BEST12.,BEST32.,AT001_233 Total; Estimate; Unrelated individuals for whom poverty status is determined
238,AT001_234,Num,8,BEST12.,BEST32.,AT001_234 Total; Margin of Error; Unrelated individuals for whom poverty status is determined
239,AT001_235,Num,8,BEST12.,BEST32.,AT001_235 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined
240,AT001_236,Num,8,BEST12.,BEST32.,AT001_236 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined
241,AT001_237,Char,4,$4.00 ,$4.00 ,AT001_237 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined
242,AT001_238,Char,3,$3.00 ,$3.00 ,AT001_238 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined
243,AT001_239,Num,8,BEST12.,BEST32.,AT001_239 Total; Estimate; Unrelated individuals for whom poverty status is determined - Male
244,AT001_240,Num,8,BEST12.,BEST32.,AT001_240 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Male
245,AT001_241,Num,8,BEST12.,BEST32.,AT001_241 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Male
246,AT001_242,Num,8,BEST12.,BEST32.,AT001_242 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Male
247,AT001_243,Char,4,$4.00 ,$4.00 ,AT001_243 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Male
248,AT001_244,Char,3,$3.00 ,$3.00 ,AT001_244 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Male
249,AT001_245,Num,8,BEST12.,BEST32.,AT001_245 Total; Estimate; Unrelated individuals for whom poverty status is determined - Female
250,AT001_246,Num,8,BEST12.,BEST32.,AT001_246 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Female
251,AT001_247,Num,8,BEST12.,BEST32.,AT001_247 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Female
252,AT001_248,Num,8,BEST12.,BEST32.,AT001_248 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Female
253,AT001_249,Char,4,$4.00 ,$4.00 ,AT001_249 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Female
254,AT001_250,Char,3,$3.00 ,$3.00 ,AT001_250 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Female
255,AT001_251,Char,4,$4.00 ,$4.00 ,AT001_251 Total; Estimate; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
256,AT001_252,Char,4,$4.00 ,$4.00 ,AT001_252 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
257,AT001_253,Char,3,$3.00 ,$3.00 ,AT001_253 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
258,AT001_254,Char,3,$3.00 ,$3.00 ,AT001_254 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
259,AT001_255,Char,3,$3.00 ,$3.00 ,AT001_255 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
260,AT001_256,Char,3,$3.00 ,$3.00 ,AT001_256 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Mean income deficit for unrelated individuals (dollars)
261,AT001_257,Num,8,BEST12.,BEST32.,"AT001_257 Total; Estimate; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
262,AT001_258,Num,8,BEST12.,BEST32.,"AT001_258 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
263,AT001_259,Num,8,BEST12.,BEST32.,"AT001_259 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
264,AT001_260,Num,8,BEST12.,BEST32.,"AT001_260 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
265,AT001_261,Char,3,$3.00 ,$3.00 ,"AT001_261 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
266,AT001_262,Char,3,$3.00 ,$3.00 ,"AT001_262 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked full-time, year-round in the past 12 months"
267,AT001_263,Num,8,BEST12.,BEST32.,"AT001_263 Total; Estimate; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
268,AT001_264,Num,8,BEST12.,BEST32.,"AT001_264 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
269,AT001_265,Char,8,,,"AT001_265 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
270,AT001_266,Char,8,,,"AT001_266 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
271,AT001_267,Char,4,$4.00 ,$4.00 ,"AT001_267 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
272,AT001_268,Char,4,$4.00 ,$4.00 ,"AT001_268 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Worked less than full-time, year-round in the past 12 months"
273,AT001_269,Num,8,BEST12.,BEST32.,AT001_269 Total; Estimate; Unrelated individuals for whom poverty status is determined - Did not work
274,AT001_270,Num,8,BEST12.,BEST32.,AT001_270 Total; Margin of Error; Unrelated individuals for whom poverty status is determined - Did not work
275,AT001_271,Char,8,,,AT001_271 Below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Did not work
276,AT001_272,Char,8,,,AT001_272 Below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Did not work
277,AT001_273,Char,4,$4.00 ,$4.00 ,AT001_273 Percent below poverty level; Estimate; Unrelated individuals for whom poverty status is determined - Did not work
278,AT001_274,Char,4,$4.00 ,$4.00 ,AT001_274 Percent below poverty level; Margin of Error; Unrelated individuals for whom poverty status is determined - Did not work
279,AT001_275,Char,4,$4.00 ,$4.00 ,AT001_275 Total; Estimate; PERCENT IMPUTED - Poverty status for individuals
280,AT001_276,Char,3,$3.00 ,$3.00 ,AT001_276 Total; Margin of Error; PERCENT IMPUTED - Poverty status for individuals
281,AT001_277,Char,3,$3.00 ,$3.00 ,AT001_277 Below poverty level; Estimate; PERCENT IMPUTED - Poverty status for individuals
282,AT001_278,Char,3,$3.00 ,$3.00 ,AT001_278 Below poverty level; Margin of Error; PERCENT IMPUTED - Poverty status for individuals
283,AT001_279,Char,3,$3.00 ,$3.00 ,AT001_279 Percent below poverty level; Estimate; PERCENT IMPUTED - Poverty status for individuals
284,AT001_280,Char,3,$3.00 ,$3.00 ,AT001_280 Percent below poverty level; Margin of Error; PERCENT IMPUTED - Poverty status for individuals
2,County,Char,18,,,County
1,Municipal,Char,21,,,Municipal
4,Region,Char,60,,,Region
3,State,Char,3,,,State

