Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
City on a Hill Charter Public School Dudley Square (District): City on a Hill Charter Public School Dudley Square,35040505,Charter School,Principal,Sonya Pratt,2181 Washington Street,,Roxbury,MA,02119,617-516-5888,--,"09,10,11"
City on a Hill Charter Public School New Bedford (District): City on a Hill Charter Public School New Bedford,35070505,Charter School,Principal,Kimberly Wall,384 Acushnet Ave,,New Bedford,MA,02740,508-985-6400,--,"09,10"
Clarksburg: Clarksburg Elementary,00630010,Public School,Principal,Linda Reardon,777 W Crossroad,,Clarksburg,MA,01247,413-663-8735,413-663-8629,"K,01,02,03,04,05,06,07,08"
Clinton: Clinton Elementary,00640050,Public School,Principal,Robert Rouleau,100 Church Street,,Clinton,MA,01510,978-365-4230,978-368-7209,"PK,K,01,02,03"
Clinton: Clinton Middle School,00640305,Public School,Principal,Annmarie Sargent,100 West Boylston Street,,Clinton,MA,01510,978-365-4220,978-368-7256,"04,05,06,07,08"
Clinton: Clinton Senior High,00640505,Public School,Principal,James Hastings,200 West Boylston Street,,Clinton,MA,01510,978-365-4208,978-365-4237,"PK,09,10,11,12"
Codman Academy Charter Public (District): Codman Academy Charter Public School,04380505,Charter School,Principal,Thabiti Brown,637 Washington Street,,Dorchester,MA,02124,617-287-0700,617-287-9064,"PK,K,01,02,03,05,06,07,09,10,11,12"
Cohasset: Cohasset Middle/High School,00650505,Public School,Principal,Carolyn Connolly,143 Pond Street,,Cohasset,MA,02025,781-383-6100,781-383-4168,"06,07,08,09,10,11,12"
Cohasset: Deer Hill,00650005,Public School,Principal,Jennifer Dechiara,208 Sohier St,,Cohasset,MA,02025,781-383-6115,781-383-6791,"03,04,05"
Cohasset: Joseph Osgood,00650010,Public School,Principal,Robert LeCount,210 Sohier St,,Cohasset,MA,02025,781-383-6117,781-383-0255,"PK,K,01,02"
Community Charter School of Cambridge (District): Community Charter School of Cambridge,04360305,Charter School,Principal,Caleb Hurst-Hiller,245 Bent Street,,Cambridge,MA,02141,617-354-0047,617-354-3624,"06,07,08,09,10,11,12"
Community Day Charter Public School - Gateway (District): Community Day Charter Public School - Gateway,04260205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,01841,978-722-2538,978-686-9382,"PK,K,01,02,03,04"
Community Day Charter Public School - Prospect (District): Community Day Charter Public School - Prospect,04400205,Charter School,Principal,Mary Chance,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-682-1013,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - R. Kingman Webster (District): Community Day Charter Public School - R. Kingman Webster,04310205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,01841,978-722-2538,978-686-9382,"PK,K,01,02,03,04"
Concord: Alcott,00670005,Public School,Principal,Sharon Young,93 Laurel Street,,Concord,MA,01742,978-318-9544,978-371-2000,"PK,K,01,02,03,04,05"
Concord: Concord Middle,00670305,Public School,Principal,Lynne Beattie,835 Old Marlboro Rd,,Concord,MA,01742,978-318-1380,978-318-1392,"06,07,08"
Concord: Thoreau,00670020,Public School,Principal,Angel Charles,29 Prairie Street,,Concord,MA,01742,978-318-1300,978-318-1308,"PK,K,01,02,03,04,05"
Concord: Willard,00670030,Public School,Principal,Patricia Fernandes,185 Powder Mill Rd,,Concord,MA,01742,978-318-1340,978-318-1348,"PK,K,01,02,03,04,05"
Concord-Carlisle: Concord Carlisle High,06400505,Public School,Principal,Peter Badalament,500 Walden Street,,Concord,MA,01742,978-318-1400,978-318-1435,"09,10,11,12"
Conservatory Lab Charter (District): Conservatory Lab Charter School,04390050,Charter School,Principal,Diana Lam,2120 Dorchester Avenue,,Dorchester,MA,02124,617-254-8904,617-254-8909,"PK,K,01,02,03,04,05,06,07,08"
Conway: Conway Grammar,00680005,Public School,Principal,Judith Siciliano,24 Fournier Rd.,,Conway,MA,01341,413-369-4239,413-369-4017,"PK,K,01,02,03,04,05,06"
Danvers: Danvers High,00710505,Public School,Principal,Susan Ambrozavitch,60 Cabot Road,,Danvers,MA,01923,978-777-8925,978-777-8931,"09,10,11,12"
Danvers: Great Oak,00710015,Public School,Principal,Sharon Burrill,76 Pickering Street,,Danvers,MA,01923,978-774-2533,978-777-1471,"K,01,02,03,04,05"
Danvers: Highlands,00710010,Public School,Principal,Elizabeth Matthews,190 Hobart,,Danvers,MA,01923,978-774-5011,978-777-5821,"K,01,02,03,04,05"
Danvers: Holten Richmond Middle School,00710305,Public School,Principal,Adam Federico,55 Conant Street,,Danvers,MA,01923,978-774-8590,978-762-8686,"06,07,08"
Danvers: Ivan G Smith,00710032,Public School,Principal,Tracey Mara,15 Lobao Drive,,Danvers,MA,01923,978-774-1350,978-774-1351,"K,01,02,03,04,05"
Danvers: Riverside,00710030,Public School,Principal,Violetta Powers,95 Liberty Street,,Danvers,MA,01923,978-774-5010,978-774-7850,"PK,K,01,02,03,04,05"
Danvers: Willis E Thorpe,00710045,Public School,Principal,Rita Ward,1 Avon Rd,,Danvers,MA,01923,978-774-6946,978-739-4417,"K,01,02,03,04,05"
Dartmouth: Andrew B. Cushman School,00720005,Public School,Principal,Melissa McHenry,746 Dartmouth Street,,Dartmouth,MA,02748,508-996-3926,508-910-1454,"PK,K"
Dartmouth: Dartmouth High,00720505,Public School,Principal,John Gould,555 Bakerville Road,,Dartmouth,MA,02748,508-961-2700,508-910-1410,"09,10,11,12"
Dartmouth: Dartmouth Middle,00720050,Public School,Principal,Darren Doane,366 Slocum Road,,North Dartmouth,MA,02747,508-997-9333,508-999-7720,"06,07,08"
Dartmouth: George H Potter,00720030,Public School,Principal,Heidi Brooks,185 Cross Rd,,North Dartmouth,MA,02747,508-996-8259,508-990-0250,"K,01,02,03,04,05"
Dartmouth: James M. Quinn School,00720040,Public School,Principal,Colin Grimsey,529 Hawthorn Street,,Dartmouth,MA,02747,508-997-3178,508-997-6257,"K,01,02,03,04,05"
Dartmouth: Joseph Demello,00720015,Public School,Principal,Cathy Maccini,654 Dartmouth Street,,South Dartmouth,MA,02748,508-996-6750,508-990-2519,"01,02,03,04,05"
Dedham: Avery,00730010,Public School,Principal,Clare Sullivan,336 High Street,,Dedham,MA,02026,781-310-5000,781-326-5899,"01,02,03,04,05"
Dedham: Dedham High,00730505,Public School,Principal,Ronald McCarthy,140 Whiting Avenue,,Dedham,MA,02026,781-310-1100,781-320-8126,"09,10,11,12"
Dedham: Dedham Middle School,00730305,Public School,Principal,Debra Gately,70 Whiting Avenue,,Dedham,MA,02026,781-310-7000,781-461-0354,"06,07,08"
Dedham: Early Childhood Center,00730005,Public School,Principal,Paul Sullivan,322 Sprague Street,,Dedham,MA,02026,781-310-8000,781-326-6445,"PK,K"
Dedham: Greenlodge,00730025,Public School,Principal,Philip Banios,191 Greenlodge Street,,Dedham,MA,02026,781-310-4000,781-461-0034,"01,02,03,04,05"
Dedham: Oakdale,00730030,Public School,Principal,Holli Armstrong,147 Cedar Street,,Dedham,MA,02026,781-310-6000,781-320-8915,"01,02,03,04,05"
Dedham: Riverdale,00730045,Public School,Principal,Edward Paris,143 Needham Street,,Dedham,MA,02026,781-310-2000,781-251-0732,"01,02,03,04,05"
Deerfield: Deerfield Elementary,00740015,Public School,Principal,Jeanine Heil,21 Pleasant Street,,South Deerfield,MA,01373,413-665-1131,413-665-2747,"PK,K,01,02,03,04,05,06"
Dennis-Yarmouth: Dennis-Yarmouth Regional High,06450505,Public School,Principal,Kenneth Jenks,210 Station Avenue,,South Yarmouth,MA,02664,508-398-7636,508-398-7635,"08,09,10,11,12"
Dennis-Yarmouth: Ezra H Baker Innovation School,06450005,Public School,Principal,Kevin Depin,810 Route 28,,West Dennis,MA,02670,508-398-7690,508-398-7693,"PK,K,01,02,03"
Dennis-Yarmouth: Marguerite E Small Elementary,06450015,Public School,Principal,Carole Eichner,440 Higgins Crowell Rd,,West Yarmouth,MA,02673,508-778-7975,508-778-4456,"PK,K,01,02,03"
Dennis-Yarmouth: Mattacheese Middle School,06450305,Public School,Principal,Ann Knell,400 Higgins Crowell Rd,,West Yarmouth,MA,02673,508-778-7979,508-778-7987,"06,07"
Dennis-Yarmouth: N H Wixon Innovation School,06450050,Public School,Principal,Sean Owen,901 Route 134/Drwr R,,South Dennis,MA,02660,508-398-7695,--,"04,05"
Dennis-Yarmouth: Station Avenue Elementary,06450025,Public School,Principal,Peter Crowell,276 Station Avenue,,South Yarmouth,MA,02664,508-760-5600,508-760-5601,"K,01,02,03"
Dighton-Rehoboth: Dighton Elementary,06500005,Public School,Principal,Paula Manchester,1250 Somerset Avenue,,Dighton,MA,02715,508-669-4245,508-669-4248,"K,01,02,03,04"
Dighton-Rehoboth: Dighton Middle School,06500305,Public School,Principal,Richard Wheeler,1250R Somerset Avenue,,Dighton,MA,02715,508-669-4200,508-669-4210,"05,06,07,08"
Dighton-Rehoboth: Dighton-Rehoboth Regional High School,06500505,Public School,Principal,Kevin Braga,2700 Regional Rd,,North Dighton,MA,02764,508-252-5025,508-252-5079,"PK,09,10,11,12"
Dighton-Rehoboth: Dorothy L Beckwith,06500310,Public School,Principal,Joseph Pirraglia,330R Winthrop Street,,Rehoboth,MA,02769,508-252-5080,508-252-5082,"05,06,07,08"
Dighton-Rehoboth: Palmer River,06500010,Public School,Principal,Arlene Miguel,326 Winthrop Street,,Rehoboth,MA,02769,508-252-5100,508-252-5110,"K,01,02,03,04"
Dorchester Collegiate Academy Charter (District): Dorchester Collegiate Academy Charter,04750505,Charter School,Principal,Robert Flynn,131 HANCOCK ST,,DORCHESTER,MA,02125,617-379-3029,--,"04,05,06,07,08"
Douglas: Douglas Elementary School,00770015,Public School,Principal,Samuel Cederbaum,19 Davis Street,,Douglas,MA,01516,508-476-4200,508-476-2562,"02,03,04,05"
Douglas: Douglas High School,00770505,Public School,Principal,Kevin Maines,33 Davis Street,,Douglas,MA,01516,508-476-4100,508-476-7310,"09,10,11,12"
Douglas: Douglas Middle School,00770305,Public School,Principal,Beverly Bachelder,19 Davis Street,,Douglas,MA,01516,508-476-3332,508-476-2562,"06,07,08"
Douglas: Douglas Primary School,00770005,Public School,Principal,Cindy Socha,17 Gleason Court,,Douglas,MA,01516,508-476-2154,508-476-4041,"PK,K,01"
Dover: Chickering,00780005,Public School,Principal,Laura Dayal,29 Cross Street,,Dover,MA,02030,508-785-0480,508-785-9748,"PK,K,01,02,03,04,05"
Dover-Sherborn: Dover-Sherborn Regional High,06550505,Public School,Principal,John Smith,9 Junction Street,,Dover,MA,02030,508-785-1730,508-785-8141,"09,10,11,12"
Dover-Sherborn: Dover-Sherborn Regional Middle School,06550405,Public School,Principal,Scott Kellett,155 Farm Street,,Dover,MA,02030,508-785-0635,508-785-0796,"06,07,08"
Dracut: Brookside Elementary,00790035,Public School,Principal,Dawn Smith,1560 Lakeview Avenue,,Dracut,MA,01826,978-957-0716,978-957-9726,"K,01,02,03,04,05"
Dracut: Dracut Senior High,00790505,Public School,Principal,Richard Manley,1540 Lakeview Avenue,,Dracut,MA,01826,978-957-1500,978-957-9717,"09,10,11,12"
Dracut: George H. Englesby Elementary School,00790045,Public School,Principal,Andrew Allen,1580 Lakeview Ave,,Dracut,MA,01826,978-957-9745,978-957-8449,"K,01,02,03,04,05"
Dracut: Greenmont Avenue,00790030,Public School,Principal,Nicholas Botelho,37 Greenmont Avenue,,Dracut,MA,01826,978-453-1797,978-453-8739,"K,01,02,03,04,05"
Dracut: Joseph A Campbell Elementary,00790020,Public School,Principal,Christopher Snyder,1021 Methuen Street,,Dracut,MA,01826,978-459-6186,978-459-9780,"PK,K,01,02,03,04,05"
Dracut: Justus C. Richardson Middle School,00790410,Public School,Principal,Maria McGuinness,1570 Lakeview Ave,,Dracut,MA,01826,978-957-3330,978-957-4075,"06,07,08"
Dracut: Parker Avenue School,00790515,Public School,Principal,Richard Manley,77 Parker Avenue,,Dracut,MA,01826,978-957-1500,978-957-9717,"09,10,11,12"
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,04070405,Charter School,Principal,Dawn Lewis,6 Shirley Street,,Boston,MA,02119,617-227-8055,--,"PK,K,01,02,03,04"
Dudley-Charlton Reg: Charlton Elementary,06580020,Public School,Principal,Lori Pacheco,9 Burlingame Road,,Charlton,MA,01507,508-248-7774,508-248-7003,"PK,K,01"
Dudley-Charlton Reg: Charlton Middle School,06580310,Public School,Principal,Dean Packard,2 Oxford Road,,Charlton,MA,01507,508-248-1423,508-248-1418,"05,06,07,08"
Dudley-Charlton Reg: Dudley Elementary,06580005,Public School,Principal,Terri Caffelle,16 School Street,,Dudley,MA,01571,508-943-3351,508-949-3305,"02,03,04"
Dudley-Charlton Reg: Dudley Middle School,06580305,Public School,Principal,John Paire,70 Dudley-Oxford Road,,Dudley,MA,01571,508-943-2224,508-949-0720,"05,06,07,08"
Dudley-Charlton Reg: Heritage School,06580030,Public School,Principal,Kathleen Pastore,34 Oxford Rd,,Charlton,MA,01507,508-248-4884,508-248-1109,"02,03,04"
Dudley-Charlton Reg: Mason Road School,06580010,Public School,Principal,Theodora Dono,20 Mason Road,,Dudley,MA,01571,508-943-4312,508-949-1005,"PK,K,01"
Dudley-Charlton Reg: Shepherd Hill Regional High,06580505,Public School,Principal,Mary Pierangeli,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6700,508-943-5956,"09,10,11,12"
Duxbury: Alden School,00820004,Public School,Principal,Karen Whitaker,75 Alden Street,,Duxbury,MA,02332,781-934-7630,781-934-7636,"03,04,05"
Duxbury: Chandler Elementary,00820006,Public School,Principal,Suzanne Billingham,93 Chandler Street,,Duxbury,MA,02332,781-934-7680,781-934-7675,"PK,K,01,02"
Duxbury: Duxbury High,00820505,Public School,Principal,Andrew Stephens,130 St. George Street,,Duxbury,MA,02332,781-934-7650,781-934-7617,"09,10,11,12"
Duxbury: Duxbury Middle,00820305,Public School,Principal,Blake Dalton,71 Alden Street,,Duxbury,MA,02332,781-934-7640,781-934-7608,"06,07,08"
East Bridgewater: Central,00830005,Public School,Principal,Gina Williams,107 Central Street,,East Bridgewater,MA,02333,508-378-8204,508-378-8229,"PK,K,01,02"
East Bridgewater: East Bridgewater JR./SR. High School,00830505,Public School,Principal,Paul Vieira,143 Plymouth Street,,East Bridgewater,MA,02333,508-378-8214,508-378-8226,"07,08,09,10,11,12"
East Bridgewater: Gordon W Mitchell,00830010,Public School,Principal,Andrew Gentile,435 Central Street,,East Bridgewater,MA,02333,508-378-8209,508-378-8228,"03,04,05,06"
East Longmeadow: Birchland Park,00870305,Public School,Principal,Timothy Allen,50 Hanward Hill,,East Longmeadow,MA,01028,413-525-5480,413-525-5320,"06,07,08"
East Longmeadow: East Longmeadow High,00870505,Public School,Principal,Gina Flanagan,180 Maple Street,,East Longmeadow,MA,01028,413-525-5460,413-525-5496,"09,10,11,12"
East Longmeadow: Mapleshade,00870010,Public School,Principal,Michael Fredette,175 Mapleshade Avenue,,East Longmeadow,MA,01028,413-525-5485,413-525-5321,"03,04,05"
East Longmeadow: Meadow Brook,00870013,Public School,Principal,Lisa Dakin,607 Parker Street,,East Longmeadow,MA,01028,413-525-5470,--,"PK,K,01,02"
East Longmeadow: Mountain View,00870015,Public School,Principal,Elaine Santaniello,77 Hampden Rd,,East Longmeadow,MA,01028,413-525-5490,413-525-5447,"03,04,05"
Eastham: Eastham Elementary,00850005,Public School,Principal,William Crosby,200 Schoolhouse Road,,Eastham,MA,02642,508-255-0808,508-240-5403,"PK,K,01,02,03,04,05"
Easthampton: Center School,00860005,Public School,Principal,Allison Rebello,9 School Street,,Easthampton,MA,01027,413-529-1540,413-529-1547,"K,01,02,03,04"
Easthampton: Easthampton High,00860505,Public School,Principal,Kevin Burke,70 Williston Avenue,,Easthampton,MA,01027,413-529-1585,413-529-1591,"09,10,11,12"
Easthampton: Maple,00860010,Public School,Principal,Judy Averill,7 Chapel Street,,Easthampton,MA,01027,413-529-1550,413-529-1599,"PK,K,01,02,03,04"
Easthampton: Neil A Pepin,00860020,Public School,Principal,Allison Rebello,4 Park Street,,Easthampton,MA,01027,413-529-1545,413-529-1594,"K,01,02,03,04"
Easthampton: White Brook Middle School,00860305,Public School,Principal,Meredith Balise,200 Park Street,,Easthampton,MA,01027,413-529-1530,413-529-1534,"05,06,07,08"
Easton: Center School,00880003,Public School,Principal,Ann Weintrob,388 Depot Street,,South Easton,MA,02375,508-230-3233,508-230-3240,"PK,K,01,02"
Easton: Easton Middle School,00880405,Public School,Principal,R. Luke Carroll,98 Columbus Avenue,,North Easton,MA,02356,508-230-3222,508-230-3102,"06,07,08"
Easton: Moreau Hall,00880020,Public School,Principal,Thomas Higgins,360 Washington Street,,North Easton,MA,02356,508-230-3235,508-230-3237,"PK,K,01,02"
Easton: Oliver Ames High,00880505,Public School,Principal,Wesley Paul,100 Lothrop Street,,North Easton,MA,02356,508-230-3210,508-238-7325,"09,10,11,12"
Easton: Parkview Elementary,00880015,Public School,Principal,Christopher Getchell,50 Spooner Street,,North Easton,MA,02356,508-230-3230,508-230-3249,"PK,K,01,02"
Easton: Richardson Olmsted School,00880025,Public School,Principal,Deborah Hammett,101 Lothrop Street,,North Easton,MA,02356,508-230-3227,508-230-3066,"03,04,05"
Edgartown: Edgartown Elementary,00890005,Public School,Principal,John Stevens,35 Robinson Road,,Edgartown,MA,02539,508-627-3316,508-627-7983,"PK,K,01,02,03,04,05,06,07,08"
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District): Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,Charter School,Principal,Caren Walker Gregory,360 Huntington Avenue,c/o 102 Cahners Hall,Boston,MA,02115,617-373-8576,617-373-7850,"09,10,11,12"
Erving: Erving Elementary,00910030,Public School,Principal,James Trill,28 Northfield Road,,Erving,MA,01344,413-423-3326,413-423-3648,"PK,K,01,02,03,04,05,06"
Essex North Shore Agricultural and Technical School District: Essex Technical High School,08170505,Public School,Principal,Brad Morgan,P.O. Box 346,,Hathorne,MA,01937,978-762-0001,978-777-8403,"09,10,11,12"
Everett: Adams School,00930003,Public School,Principal,Michelle Massa,78 Tileston Street,,Everett,MA,02149,617-394-2400,--,PK
Everett: Devens School,00930030,Public School,Principal,Brian Wallace,22 Church Street,,Everett,MA,02149,617-394-2470,--,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Everett: Everett High,00930505,Public School,Principal,Erick Naumann,100 Elm Street,,Everett,MA,02149,617-394-2490,617-389-5841,"09,10,11,12"
Everett: George Keverian School,00930028,Public School,Principal,John Obremski,20 Nichols Street,,Everett,MA,02149,617-394-5020,617-394-5028,"K,01,02,03,04,05,06,07,08"
Everett: Lafayette School,00930038,Public School,Principal,Kevin Shaw,117 Edith Street,,Everett,MA,02149,617-394-2450,617-387-5207,"K,01,02,03,04,05,06,07,08"
Everett: Madeline English School,00930018,Public School,Principal,Theresa Tringale,105 Woodville Street,,Everett,MA,02149,617-394-5013,617-389-5116,"K,01,02,03,04,05,06,07,08"
Everett: Parlin School,00930058,Public School,Principal,Michael McLucas,587 Broadway Street,,Everett,MA,02149,617-394-2480,617-389-5827,"K,01,02,03,04,05,06,07,08"
Everett: Sumner G. Whittier School,00930010,Public School,Principal,David Brady,337 Broadway,,Everett,MA,02149,617-394-2410,617-389-5073,"K,01,02,03,04,05,06,07,08"
Everett: Webster School,00930015,Public School,Principal,Denise Hanlon,30 Darmouth Street,,Everett,MA,02149,617-394-5040,617-394-5043,"PK,K,01,02,03,04"
Excel Academy Charter (District): Excel Academy Charter School,04100205,Charter School,Principal,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-516-1603,"05,06,07,08,09"
Fairhaven: East Fairhaven,00940010,Public School,Principal,Wendy Williams,2 New Boston Road,,Fairhaven,MA,02719,508-979-4058,508-979-4143,"PK,K,01,02,03,04,05"
Fairhaven: Fairhaven High,00940505,Public School,Principal,Tara Quirk,12 Huttleston Avenue,,Fairhaven,MA,02719,508-979-4052,508-979-4140,"09,10,11,12"
Fairhaven: Hastings Middle,00940305,Public School,Principal,Wayne Miller,30 School Street,,Fairhaven,MA,02719,508-979-4063,508-979-4068,"06,07,08"
Fairhaven: Leroy Wood,00940030,Public School,Principal,Amy Hartley,60 Sconticut Neck Road,,Fairhaven,MA,02719,508-979-4073,508-979-4111,"K,01,02,03,04,05"
Fall River: ACESE,00950055,Public School,Principal,Mary Shaw,803 Bedford Street,,Fall River,MA,02723,508-675-4730,508-235-2616,"03,04,05"
Fall River: B M C Durfee High,00950505,Public School,Principal,Maria Pontes,360 Elsbree Street,,Fall River,MA,02720,508-675-8100,508-675-8186,"09,10,11,12"
Fall River: Carlton M. Viveiros Elementary School,00950009,Public School,Principal,Kyle Grandfield,525 Slade Street,,Fall River,MA,02724,508-675-8300,508-672-7514,"K,01,02,03,04,05"
Fall River: Fall River Gateway to College @ BCC,00950515,Public School,Principal,Maria Pontes,360 Elsbree Street,,Fall River,MA,02720,508-675-8100,508-675-8167,"09,10,11,12"
Fall River: Henry Lord Community School,00950017,Public School,Principal,Tracy Curley,151 Amity Street,,Fall River,MA,02721,508-675-8208,--,"PK,K,01,02,03,04,05,06,07"
Fall River: James Tansey,00950140,Public School,Principal,Nicholas Bretz,711 Ray Street,,Fall River,MA,02720,508-675-8206,508-675-4530,"K,01,02,03,04,05"
Fall River: John J Doran,00950045,Public School,Principal,Eric Bradley,101 Fountain Street,,Fall River,MA,02721,508-675-8225,508-235-2608,"PK,K,01,02,03,04,05,06,07,08"
Fall River: Letourneau Elementary School,00950013,Public School,Principal,Brian Raposo,323 Anthony Street,,Fall River,MA,02721,508-676-2170,508-679-1940,"PK,K,01,02,03,04,05"
Fall River: Mary Fonseca Elementary School,00950011,Public School,Principal,Michael Ward,160 Wall Street,,Fall River,MA,02720,508-675-8210,508-675-0889,"K,01,02,03,04,05"
Fall River: Matthew J Kuss Middle,00950320,Public School,Principal,Margaret Christ,52 Globe Mills Avenue,,Fall River,MA,02724,508-675-8335,508-677-1984,"06,07,08"
Fall River: Morton Middle,00950315,Public School,Principal,Sheryl Rabbitt,1135 North Main Street,,Fall River,MA,02720,508-675-8340,508-675-8414,"06,07,08"
Fall River: North End Elementary,00950005,Public School,Principal,Jean Facchiano,1899 Meridian Street,,Fall River,MA,02720,508-675-8245,508-675-8314,"PK,K,01,02,03,04,05"
Fall River: Resiliency Middle School,00950335,Public School,Principal,Joyce Paulo,290 Rock Street,,Fall River,MA,02720,508-675-8107,508-675-8462,"07,08"
Fall River: Resiliency Preparatory School,00950325,Public School,Principal,Magdalana Reis,290 Rock Street,,Fall River,MA,02720,508-675-8230,508-235-2661,"09,10,11,12"
Fall River: Samuel Watson,00950145,Public School,Principal,Cathy Carvalho,935 Eastern Avenue,,Fall River,MA,02723,508-675-8240,508-235-2674,"K,01,02,03,04,05"
Fall River: Spencer Borden,00950130,Public School,Principal,Kathleen Cobb,1400 President Avenue,,Fall River,MA,02720,508-675-8202,508-675-8259,"PK,K,01,02,03,04,05"
Fall River: Stone Day School,00950340,Public School,Principal,Mary Shaw,1207 Globe Street,,Fall River,MA,02721,508-675-8405,508-675-8462,"01,04,05,06,07,08"
Fall River: Stone Therapeutic Day Middle School,00950326,Public School,Principal,Mary Shaw,1207 Globe Street,,Fall River,MA,02721,508-675-8405,508-675-8371,"06,07,08"
Fall River: Talbot Innovation School,00950305,Public School,Principal,Vayanda Lewis,124 Melrose Street,,Fall River,MA,02723,508-675-8350,508-675-8356,"06,07,08"
Fall River: William S Greene,00950065,Public School,Principal,Joel Jocelyn,409 Cambridge Street,,Fall River,MA,02721,508-675-8325,508-675-8328,"PK,K,01,02,03,04,05"
Falmouth: East Falmouth Elementary,00960005,Public School,Principal,Justine Dale,33 Davisville Rd,,East Falmouth,MA,02536,508-548-1052,508-548-0301,"PK,K,01,02,03,04"
Falmouth: Falmouth High,00960505,Public School,Principal,Mary Gans,874 Gifford Street,,Falmouth,MA,02540,508-540-2200,508-548-7515,"09,10,11,12"
Falmouth: Lawrence,00960405,Public School,Principal,Thomas Bushy,113 Lakeview Avenue,,Falmouth,MA,02540,508-548-0606,508-457-9778,"07,08"
Falmouth: Morse Pond School,00960305,Public School,Principal,Timothy Mclaughlin,323 Jones Road,,Falmouth,MA,02540,508-548-7300,508-457-1810,"05,06"
Falmouth: Mullen-Hall,00960020,Public School,Principal,Nancy Ashworth-Durfee,130 Katherine Bates,,Falmouth,MA,02540,508-548-0220,508-457-5404,"K,01,02,03,04"
Falmouth: North Falmouth Elementary,00960030,Public School,Principal,Timothy Adams,62 Old Main Road,,North Falmouth,MA,02556,508-563-2334,508-564-7525,"K,01,02,03,04"
Falmouth: Teaticket,00960015,Public School,Principal,Debra Pincince,45 Maravista Ext,,Teaticket,MA,02536,508-548-1550,508-540-4383,"PK,K,01,02,03,04"
Farmington River Reg: Farmington River Elementary,06620020,Public School,Principal,Thomas Nadolny,555 N Main Street,PO Box 679,Otis,MA,01253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg: Arthur M Longsjo Middle School,00970315,Public School,Principal,Craig Chalifoux,98 Academy Street,,Fitchburg,MA,01420,978-343-2146,978-348-2323,"05,06,07,08"
Fitchburg: Crocker Elementary,00970016,Public School,Principal,Adam Renda,200 Bigelow Dr,,Fitchburg,MA,01420,978-345-3290,978-345-3233,"PK,K,01,02,03,04"
Fitchburg: Fitchburg High,00970505,Public School,Principal,Jeremy Roche,140 Arn-How Farm Rd,,Fitchburg,MA,01420,978-345-3240,978-348-2303,"PK,09,10,11,12"
Fitchburg: Goodrich Academy,00970510,Public School,Principal,Raymond Dewar,111 Goodrich Street,,Fitchburg,MA,01420,978-345-3244,978-345-3204,"09,10,11,12"
Fitchburg: McKay Arts Academy,00970340,Public School,Principal,Maria Ramirez,67 Rindge Road,,Fitchburg,MA,01420,978-665-3187,978-665-3523,"PK,K,01,02,03,04,05,06,07,08"
Fitchburg: Memorial Intermediate,00970048,Public School,Principal,Francis Thomas,615 Rollstone Street,,Fitchburg,MA,01420,978-345-3295,978-343-2121,"05,06,07,08"
Fitchburg: Reingold Elementary,00970043,Public School,Principal,Martha Clark,70 Reingold Avenue,,Fitchburg,MA,01420,978-345-3287,978-343-2132,"K,01,02,03,04"
Fitchburg: South Street Elementary,00970060,Public School,Principal,Jonathan Thompson,376 South Street,,Fitchburg,MA,01420,978-348-2300,978-345-3292,"PK,K,01,02,03,04"
Florida: Abbott Memorial,00980005,Public School,Principal,Heidi Dugal,56 North County Rd,,Florida,MA,01247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Principal,Peter Garbus,248 Colrain Road,,Greenfield,MA,01301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough: Charles Taylor Elementary,00990050,Public School,Principal,Peter Regan,196 South Street,,Foxborough,MA,02035,508-543-1607,508-543-3261,"K,01,02,03,04"
Foxborough: Foxborough High,00990505,Public School,Principal,Diana Myers-Pachla,120 South Street,,Foxborough,MA,02035,508-543-1616,508-698-6517,"09,10,11,12"
Foxborough: John J Ahern,00990405,Public School,Principal,Susan Abrams,111 Mechanic Street,,Foxborough,MA,02035,508-543-1610,508-543-1613,"05,06,07,08"
Foxborough: Mabelle M Burrell,00990015,Public School,Principal,Michele McCarthy,16 Morse Street,,Foxborough,MA,02035,508-543-1605,508-698-2196,"PK,K,01,02,03,04"
Foxborough: Vincent M Igo Elementary,00990020,Public School,Principal,Michael Stanton,70 Carpenter Street,,Foxborough,MA,02035,508-543-1680,508-543-1699,"K,01,02,03,04"
