"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed"
"Mansfield","Bristol","MA",2017,2741091571,0,282749485,397561100,148533420,3569935576,76.78,23.22,2741091571,0,282749485,397561100,148533420,3569935576
"New Bedford","Bristol","MA",2003,2916107960,0,372966340,196738400,119119740,3604932440,80.89,19.11,3803730017,0,486492024,256622789,155378106,4702222935
"New Bedford","Bristol","MA",2004,3725567919,0,455411981,223124800,130603700,4534708400,82.16,17.84,4733522390,0,578623946,283491339,165938604,5761576278
"New Bedford","Bristol","MA",2005,4315305448,0,503177052,237504100,124280790,5180267390,83.3,16.7,5303141396,0,618361571,291872230,152730464,6366105660
"New Bedford","Bristol","MA",2006,4868946193,0,579567007,259330000,125647630,5833490830,83.47,16.53,5796533576,0,689980846,308735195,149584875,6944834492
"New Bedford","Bristol","MA",2007,5622704536,0,626340164,292782900,135710960,6677538560,84.2,15.8,6508514665,0,725014824,338908400,157091088,7729528977
"New Bedford","Bristol","MA",2008,5657198843,0,629659057,289760200,149591760,6726209860,84.11,15.89,6306309353,0,701906528,323007465,166756011,7497979359
"New Bedford","Bristol","MA",2009,5497681345,0,637580655,292122100,167447410,6594831510,83.36,16.64,6150370363,0,713274728,326803064,187326897,7377775051
"New Bedford","Bristol","MA",2010,5383751302,0,645622398,280345900,175044950,6484764550,83.02,16.98,5925716324,0,710615140,308567425,192666165,7137565054
"New Bedford","Bristol","MA",2011,4900928982,0,639983918,277269600,189461030,6007643530,81.58,18.42,5229227756,0,682854553,295843073,202152465,6410077846
"New Bedford","Bristol","MA",2012,4565293028,0,643561772,275829200,190843230,5675527230,80.44,19.56,4772347203,0,672749855,288339150,199498729,5932934937
"New Bedford","Bristol","MA",2013,4381853008,0,635661832,278138700,183916080,5479569620,79.97,20.03,4514461445,0,654898927,286556038,189481950,5645398360
"New Bedford","Bristol","MA",2014,4130253323,0,619997827,279247500,196935110,5226433760,79.03,20.97,4187321359,0,628564386,283105885,199656178,5298647808
"New Bedford","Bristol","MA",2015,4159548043,0,617099037,272483400,188082010,5237212490,79.42,20.58,4212021278,0,624883821,275920813,190454689,5303280600
"New Bedford","Bristol","MA",2016,4235421917,0,632951083,273241100,193375530,5334989630,79.39,20.61,4235421917,0,632951083,273241100,193375530,5334989630
"New Bedford","Bristol","MA",2017,4423238525,0,632504675,278142100,206010660,5539895960,79.84,20.16,4423238525,0,632504675,278142100,206010660,5539895960
"North Attleborough","Bristol","MA",2003,1693024349,0,496195063,61425092,40053013,2290697517,73.91,26.09,2208357038,0,647229829,80122022,52244584,2987953473
"North Attleborough","Bristol","MA",2004,1742150147,0,503485165,62901792,52760250,2361297354,73.78,26.22,2213489838,0,639703356,79919907,67034565,3000147666
"North Attleborough","Bristol","MA",2005,2701386267,0,584830433,76606600,50658790,3413482090,79.14,20.86,3319772728,0,718706594,94142961,62255321,4194877604
"North Attleborough","Bristol","MA",2006,2915465444,0,644926756,87513100,53111730,3701017030,78.77,21.23,3470893427,0,767792341,104185301,63230094,4406101162
"North Attleborough","Bristol","MA",2007,3301066571,0,682247429,94134000,54405820,4131853820,79.89,20.11,3821122033,0,789729812,108964025,62977002,4782792873
"North Attleborough","Bristol","MA",2008,3211146109,0,690440991,110657800,53525680,4065770580,78.98,21.02,3579595009,0,769662619,123354745,59667250,4532279623
"North Attleborough","Bristol","MA",2009,3023680503,0,684160797,110572600,59991740,3878405640,77.96,22.04,3382654211,0,765384901,123699865,67114006,4338852983
"North Attleborough","Bristol","MA",2010,2913608466,0,668142014,107821520,59509100,3749081100,77.72,22.28,3206912110,0,735401733,118675568,65499691,4126489102
"North Attleborough","Bristol","MA",2011,2666007741,0,613057059,99912400,68082390,3447059590,77.34,22.66,2844595734,0,654123943,106605237,72643028,3677967942
"North Attleborough","Bristol","MA",2012,2661486303,0,558922197,93381100,63339750,3377129350,78.81,21.19,2782195280,0,584271539,97616304,66212459,3530295582
"North Attleborough","Bristol","MA",2013,2651282178,0,550390622,93814300,59750790,3355237890,79.02,20.98,2731518184,0,567047146,96653411,61559034,3456777776
"North Attleborough","Bristol","MA",2014,2668839074,0,524008626,92198400,59939060,3344985160,79.79,20.21,2705714634,0,531248895,93472313,60767243,3391203084
"North Attleborough","Bristol","MA",2015,2810668626,0,523910974,92344700,59985430,3486909730,80.61,19.39,2846125573,0,530520178,93509640,60742154,3530897546
"North Attleborough","Bristol","MA",2016,2900970668,0,522129132,91563500,60436640,3575099940,81.14,18.86,2900970668,0,522129132,91563500,60436640,3575099940
"North Attleborough","Bristol","MA",2017,3007618672,0,530401728,92318000,64490400,3694828800,81.4,18.6,3007618672,0,530401728,92318000,64490400,3694828800
"Norton","Bristol","MA",2003,1362101886,0,102561314,75640400,29850950,1570154550,86.75,13.25,1776706453,0,133779529,98664269,38937157,2048087408
"Norton","Bristol","MA",2004,1405209014,0,107499666,75585220,31572060,1619865960,86.75,13.25,1785389094,0,136583760,96034843,40113898,2058121596
"Norton","Bristol","MA",2005,1674952079,0,112576491,76208700,35885410,1899622680,88.17,11.83,2058372881,0,138346881,93653976,44100100,2334473838
"Norton","Bristol","MA",2006,1965188956,0,145269114,104940300,35015720,2250414090,87.33,12.67,2339578898,0,172944465,124932572,41686597,2679142532
"Norton","Bristol","MA",2007,2011590493,0,146588647,104921300,36252570,2299353010,87.49,12.51,2328499771,0,169682464,121450774,41963860,2661596868
"Norton","Bristol","MA",2008,2040540935,0,149441555,109413600,40875810,2340271900,87.19,12.81,2274673870,0,166588572,121967784,45565926,2608796152
"Norton","Bristol","MA",2009,1904088601,0,160198149,123734010,57680310,2245701070,84.79,15.21,2130143485,0,179216998,138423808,64528161,2512312453
"Norton","Bristol","MA",2010,1855653803,0,157807957,123533350,70537670,2207532780,84.06,15.94,2042456535,0,173693979,135969057,77638472,2429758043
"Norton","Bristol","MA",2011,1750194974,0,150255406,129417500,63805130,2093673010,83.59,16.41,1867435372,0,160320572,138086797,68079247,2233921988
"Norton","Bristol","MA",2012,1695167807,0,147942263,125200780,59128970,2027439820,83.61,16.39,1772050401,0,154652032,130879133,61810704,2119392270
"Norton","Bristol","MA",2013,1634232860,0,140311230,116357000,56401730,1947302820,83.92,16.08,1683689806,0,144557482,119878323,58108621,2006234232
"Norton","Bristol","MA",2014,1638385652,0,139468748,115371000,52513460,1945738860,84.2,15.8,1661023356,0,141395799,116965090,53239043,1972623287
"Norton","Bristol","MA",2015,1726244048,0,141193502,111545800,50807990,2029791340,85.05,14.95,1748020839,0,142974676,112952965,51448939,2055397419
"Norton","Bristol","MA",2016,1771819520,0,142824330,119249160,51690610,2085583620,84.96,15.04,1771819520,0,142824330,119249160,51690610,2085583620
"Norton","Bristol","MA",2017,1890087636,0,146277904,123770000,53370010,2213505550,85.39,14.61,1890087636,0,146277904,123770000,53370010,2213505550
"Raynham","Bristol","MA",2003,733301200,0,209606500,59184700,18436000,1020528400,71.86,28.14,956507723,0,273407757,77199686,24047658,1331162824
"Raynham","Bristol","MA",2004,1089471200,0,250899100,84860100,37885600,1463116000,74.46,25.54,1384228239,0,318779991,107819047,48135570,1858962847
"Raynham","Bristol","MA",2005,1206627200,0,254607500,84832800,34687700,1580755200,76.33,23.67,1482841651,0,312890846,104252257,42628217,1942612971
"Raynham","Bristol","MA",2006,1401097300,0,299319000,97601100,40988000,1839005400,76.19,23.81,1668021625,0,356342536,116195175,48796661,2189355997
"Raynham","Bristol","MA",2007,1638831272,0,346251078,117339500,40738100,2143159950,76.47,23.53,1897015448,0,400800043,135825358,47156047,2480796897
"Raynham","Bristol","MA",2008,1570140582,0,341648718,114289000,43187600,2069265900,75.88,24.12,1750299488,0,380849704,127402591,48142972,2306694755
"Raynham","Bristol","MA",2009,1474159993,0,339480267,118366000,46892290,1978898550,74.49,25.51,1649173417,0,379783629,132418504,52459379,2213834930
"Raynham","Bristol","MA",2010,1370551650,0,336957440,123581600,45818240,1876908930,73.02,26.98,1508520700,0,370877868,136022164,50430616,2065851348
"Raynham","Bristol","MA",2011,1305521518,0,317428172,117080800,46138960,1786169450,73.09,26.91,1392974553,0,338691749,124923697,49229673,1905819672
"Raynham","Bristol","MA",2012,1280945609,0,320710341,116040000,35883710,1753579660,73.05,26.95,1339041581,0,335255829,121302875,37511179,1833111464
"Raynham","Bristol","MA",2013,1237956662,0,334503888,120488300,34314340,1727263190,71.67,28.33,1275421063,0,344627011,124134649,35352798,1779535521
"Raynham","Bristol","MA",2014,1247590374,0,335312326,117984300,33765690,1734652690,71.92,28.08,1264828429,0,339945363,119614498,34232233,1758620523
"Raynham","Bristol","MA",2015,1317516816,0,347442144,118700800,92703880,1876363640,70.22,29.78,1334137460,0,351825171,120198226,93873351,1900034209
"Raynham","Bristol","MA",2016,1416915886,0,370198331,121782480,36675280,1945571977,72.83,27.17,1416915886,0,370198331,121782480,36675280,1945571977
"Raynham","Bristol","MA",2017,1457719783,0,371064151,123364780,37500230,1989648944,73.27,26.73,1457719783,0,371064151,123364780,37500230,1989648944
"Rehoboth","Bristol","MA",2003,797418775,0,37594825,9619000,30468900,875101500,91.12,8.88,1040141782,0,49038158,12546888,39743203,1141470031
"Rehoboth","Bristol","MA",2004,1160791388,0,58392129,11208683,33571366,1263963566,91.84,8.16,1474844143,0,74190152,14241198,42654118,1605929611
"Rehoboth","Bristol","MA",2005,1335008934,0,61787517,13211049,40313985,1450321485,92.05,7.95,1640611824,0,75931575,16235250,49542440,1782321089
"Rehoboth","Bristol","MA",2006,1539699551,0,64026282,13543267,44207193,1661476293,92.67,7.33,1833029118,0,76223987,16123407,52629146,1978005658
"Rehoboth","Bristol","MA",2007,1774413563,0,80816846,17633691,46058418,1918922518,92.47,7.53,2053957597,0,93548865,20411732,53314537,2221232730
"Rehoboth","Bristol","MA",2008,1767720980,0,80322912,17510908,45316141,1910870941,92.51,7.49,1970550384,0,89539213,19520120,50515743,2130125460
"Rehoboth","Bristol","MA",2009,1652206799,0,81616301,16489200,51442577,1801754877,91.7,8.3,1848358079,0,91305852,18446811,57549880,2015660622
"Rehoboth","Bristol","MA",2010,1641143221,0,74025379,16920300,53660797,1785749697,91.9,8.1,1806351859,0,81477277,18623612,59062658,1965515407
"Rehoboth","Bristol","MA",2011,1555464908,0,74954092,16902500,54234203,1701555703,91.41,8.59,1659660913,0,79975045,18034749,57867192,1815537900
"Rehoboth","Bristol","MA",2012,1481118499,0,73465301,15883000,51528691,1621995491,91.31,8.69,1548293107,0,76797244,16603357,53865722,1695559430
"Rehoboth","Bristol","MA",2013,1428272255,0,67846545,14859700,50588162,1561566662,91.46,8.54,1471496195,0,69899791,15309401,52119116,1608824503
"Rehoboth","Bristol","MA",2014,1388434747,0,68518653,14990800,46879366,1518823566,91.42,8.58,1407618860,0,69465381,15197929,47527102,1539809271
"Rehoboth","Bristol","MA",2015,1452761896,0,70320704,15215600,49808646,1588106846,91.48,8.52,1471088675,0,71207809,15407547,50436988,1608141019
"Rehoboth","Bristol","MA",2016,1528437610,0,70913390,16442800,53858568,1669652368,91.54,8.46,1528437610,0,70913390,16442800,53858568,1669652368
"Rehoboth","Bristol","MA",2017,1535848238,0,72159162,16693300,55875105,1680575805,91.39,8.61,1535848238,0,72159162,16693300,55875105,1680575805
"Seekonk","Bristol","MA",2003,1003982454,0,271760146,26934400,29539896,1332216896,75.36,24.64,1309580526,0,354480094,35132851,38531423,1737724894
"Seekonk","Bristol","MA",2004,1020362497,0,284364103,27700800,38177380,1370604780,74.45,25.55,1296422138,0,361298969,35195267,48506291,1741422665
"Seekonk","Bristol","MA",2005,1401403424,0,318373676,30794200,50892379,1801463679,77.79,22.21,1722204975,0,391254024,37843439,62542382,2213844819
"Seekonk","Bristol","MA",2006,1618330730,0,359987070,34145500,49725985,2062189285,78.48,21.52,1926640394,0,428568535,40650590,59199328,2455058848
"Seekonk","Bristol","MA",2007,1800234329,0,407537271,37148300,55016454,2299936354,78.27,21.73,2083846209,0,471741364,43000704,63683837,2662272113
"Seekonk","Bristol","MA",2008,1818971818,0,429241982,40311200,58736383,2347261383,77.49,22.51,2027681775,0,478493474,44936532,65475832,2616587613
"Seekonk","Bristol","MA",2009,1749669638,0,459049362,42671700,75236200,2326626900,75.2,24.8,1957391782,0,513548060,47737718,84168300,2602845861
"Seekonk","Bristol","MA",2010,1643105133,0,440549767,40728600,76129340,2200512840,74.67,25.33,1808511271,0,484898503,44828618,83793037,2422031429
"Seekonk","Bristol","MA",2011,1586259721,0,424315101,39389700,84250170,2134214692,74.33,25.67,1692518580,0,452738718,42028300,89893840,2277179438
"Seekonk","Bristol","MA",2012,1542303298,0,403543302,37424300,74301580,2057572480,74.96,25.04,1612252880,0,421845594,39121641,77671452,2150891566
"Seekonk","Bristol","MA",2013,1527162727,0,399264073,36679600,70850000,2033956400,75.08,24.92,1573379399,0,411347040,37789638,72994140,2095510217
"Seekonk","Bristol","MA",2014,1505354446,0,398703692,35641700,72051830,2011751668,74.83,25.17,1526154047,0,404212612,36134164,73047376,2039548200
"Seekonk","Bristol","MA",2015,1568299200,0,403765400,36616000,73214100,2081894700,75.33,24.67,1588083497,0,408858953,37077916,74137705,2108158070
"Seekonk","Bristol","MA",2016,1629888100,0,423251300,37296200,78395720,2168831320,75.15,24.85,1629888100,0,423251300,37296200,78395720,2168831320
"Seekonk","Bristol","MA",2017,1678299300,0,424448200,37570100,88442470,2228760070,75.3,24.7,1678299300,0,424448200,37570100,88442470,2228760070
"Somerset","Bristol","MA",2003,1157188400,0,93687600,183943500,344628300,1779447800,65.03,34.97,1509420197,0,122204782,239933302,449528285,2321086566
"Somerset","Bristol","MA",2004,1395647400,0,109759600,188632300,367929400,2061968700,67.69,32.31,1773240580,0,139455121,239666874,467472904,2619835478
"Somerset","Bristol","MA",2005,1686901540,0,114096060,189591700,409013900,2399603200,70.3,29.7,2073057747,0,140214301,232991987,502643109,2948907144
"Somerset","Bristol","MA",2006,1936714586,0,130594116,194900800,451743830,2713953332,71.36,28.64,2305679849,0,155473720,232031529,537805959,3230991058
"Somerset","Bristol","MA",2007,2051007585,0,153539515,193842300,471656080,2870045480,71.46,28.54,2374126696,0,177728383,224380535,545961555,3322197169
"Somerset","Bristol","MA",2008,1969278530,0,141793670,194735800,473525510,2779333510,70.85,29.15,2195234772,0,158063164,217079907,527858121,3098235964
"Somerset","Bristol","MA",2009,1890463810,0,149593090,193352000,459081220,2692490120,70.21,29.79,2114901148,0,167352898,216306900,513583701,3012144647
"Somerset","Bristol","MA",2010,1801875627,0,146331220,193723200,426149010,2568079057,70.16,29.84,1983264683,0,161061916,213224695,469048068,2826599361
"Somerset","Bristol","MA",2011,1683262235,0,144608765,192699000,402205510,2422775510,69.48,30.52,1796019006,0,154295680,205607338,429148071,2585070094
"Somerset","Bristol","MA",2012,1638437870,0,140941630,131601200,637141170,2548121870,64.3,35.7,1712747536,0,147333893,137569837,666038053,2663689320
"Somerset","Bristol","MA",2013,1620601475,0,147813125,97421000,430619310,2296454910,70.57,29.43,1669645893,0,152286408,100369261,443651183,2365952745
"Somerset","Bristol","MA",2014,1578260465,0,141576035,95765700,280489090,2096091290,75.3,24.7,1600067414,0,143532202,97088902,284364630,2125053149
"Somerset","Bristol","MA",2015,1592616956,0,135253444,92336200,209991490,2030198090,78.45,21.55,1612708024,0,136959684,93501033,212640560,2055809301
"Somerset","Bristol","MA",2016,1667166262,0,136526238,92366300,174348830,2070407630,80.52,19.48,1667166262,0,136526238,92366300,174348830,2070407630
"Somerset","Bristol","MA",2017,1667990757,0,136233943,87387800,185516870,2077129370,80.3,19.7,1667990757,0,136233943,87387800,185516870,2077129370
"Swansea","Bristol","MA",2003,906175599,91400,196333835,14269200,28097776,1144967810,79.15,20.85,1182002647,119221,256095080,18612543,36650342,1493479832
"Swansea","Bristol","MA",2004,929379863,91400,194970537,14211300,35183894,1173836994,79.18,20.82,1180824102,116128,247719924,18056175,44702916,1491419245
"Swansea","Bristol","MA",2005,1647088641,0,232723959,16007400,46316129,1942136129,84.81,15.19,2024131098,0,285997846,19671726,56918562,2386719232
"Swansea","Bristol","MA",2006,1841187895,0,244708305,16920700,46890785,2149707685,85.65,14.35,2191954281,0,291327908,20144278,55823991,2559250458
"Swansea","Bristol","MA",2007,1929777487,0,257522813,16370800,48707320,2252378420,85.68,14.32,2233797809,0,298093381,18949883,56380751,2607221824
"Swansea","Bristol","MA",2008,1956154354,0,248181314,15046500,45722110,2265104278,86.36,13.64,2180604720,0,276657792,16772945,50968293,2525003750
"Swansea","Bristol","MA",2009,1879932587,0,253021352,14733200,52822800,2200509939,85.43,14.57,2103119650,0,283060244,16482337,59093964,2461756196
"Swansea","Bristol","MA",2010,1756920399,0,251293588,13774800,54953740,2076942527,84.59,15.41,1933783956,0,276590510,15161465,60485757,2286021687
"Swansea","Bristol","MA",2011,1710984995,0,210535405,9096400,56839680,1987456480,86.09,13.91,1825598832,0,224638551,9705741,60647202,2120590326
"Swansea","Bristol","MA",2012,1646746918,0,231886782,9353400,51761920,1939749020,84.89,15.11,1721433433,0,242403769,9777614,54109529,2027724344
"Swansea","Bristol","MA",2013,1601141675,0,228698425,9143800,62267154,1901251054,84.22,15.78,1649597179,0,235619547,9420520,64151551,1958788797
"Swansea","Bristol","MA",2014,1562792921,0,247999579,15860200,58610147,1885262847,82.9,17.1,1584386154,0,251426209,16079342,59419968,1911311673
"Swansea","Bristol","MA",2015,1596257687,0,239031713,14896400,59993229,1910179029,83.57,16.43,1616394683,0,242047129,15084320,60750051,1934276184
"Swansea","Bristol","MA",2016,1661183217,0,241877683,14896400,62032608,1979989908,83.9,16.1,1661183217,0,241877683,14896400,62032608,1979989908
"Swansea","Bristol","MA",2017,1795041295,0,245628905,14944300,62391214,2118005714,84.75,15.25,1795041295,0,245628905,14944300,62391214,2118005714
"Taunton","Bristol","MA",2003,2181668287,0,448059563,172818400,47773022,2850319272,76.54,23.46,2845737286,0,584442563,225421879,62314455,3717916182
"Taunton","Bristol","MA",2004,3438710628,0,529800408,198653100,109466540,4276630676,80.41,19.59,4369055700,0,673138203,252398807,139082773,5433675483
"Taunton","Bristol","MA",2005,4035751681,0,615474029,210740900,60045110,4922011720,81.99,18.01,4959593721,0,756364953,258982546,73790306,6048731525
"Taunton","Bristol","MA",2006,4687377008,0,714170370,256320700,62958010,5720826088,81.94,18.06,5580373480,0,850227619,305152591,74952198,6810705887
"Taunton","Bristol","MA",2007,4941468046,0,729981848,257108000,78879180,6007437074,82.26,17.74,5719955056,0,844984390,297613218,91305936,6953858600
"Taunton","Bristol","MA",2008,4743781591,0,758805952,258626100,136876560,5898090203,80.43,19.57,5288086038,0,845871818,288301019,152581862,6574840738
"Taunton","Bristol","MA",2009,4476697250,0,773045254,256335100,140035200,5646112804,79.29,20.71,5008174240,0,864821790,286767403,156660288,6316423721
"Taunton","Bristol","MA",2010,4030415720,0,713834971,240618300,136641510,5121510501,78.7,21.3,4436144778,0,785694454,264840575,150396774,5637076580
"Taunton","Bristol","MA",2011,3650416831,0,669578097,227742700,157296300,4705033928,77.59,22.41,3894947485,0,714431158,242998512,167833115,5020210270
"Taunton","Bristol","MA",2012,3600627624,0,637256064,216705300,155590390,4610179378,78.1,21.9,3763930391,0,666158158,226533746,162647032,4819269327
"Taunton","Bristol","MA",2013,3454481491,0,623631529,195341500,157286460,4430740980,77.97,22.03,3559024795,0,642504550,201253139,162046435,4564828919
"Taunton","Bristol","MA",2014,3452063689,0,617044305,193296800,160578250,4422983044,78.05,21.95,3499761125,0,625570055,195967597,162796972,4484095750
"Taunton","Bristol","MA",2015,3478810733,0,626968094,190990800,155919810,4452689437,78.13,21.87,3522696379,0,634877377,193400174,157886758,4508860688
"Taunton","Bristol","MA",2016,3504082238,0,661857987,192559175,155847720,4514347120,77.62,22.38,3504082238,0,661857987,192559175,155847720,4514347120
"Taunton","Bristol","MA",2017,3662334340,0,651128339,210252920,168115520,4691831119,78.06,21.94,3662334340,0,651128339,210252920,168115520,4691831119
"Westport","Bristol","MA",2003,1597646275,0,132488305,5738700,26530190,1762403470,90.65,9.35,2083947226,0,172815873,7485479,34605605,2298854183
"Westport","Bristol","MA",2004,1707087990,0,137657540,6328600,28970570,1880044700,90.8,9.2,2168941595,0,174900864,8040806,36808574,2388691839
"Westport","Bristol","MA",2005,2359984150,0,186509720,6825800,31474380,2584794050,91.3,8.7,2900218719,0,229204498,8388325,38679322,3176490863
"Westport","Bristol","MA",2006,2838302688,0,234446112,8416600,33148210,3114313610,91.14,8.86,3379030324,0,279110655,10020054,39463306,3707624338
"Westport","Bristol","MA",2007,3015892232,0,242102058,8520600,33846730,3300361620,91.38,8.62,3491020859,0,280243215,9862949,39179000,3820306023
"Westport","Bristol","MA",2008,2993101378,0,245188492,8428700,37998040,3284716610,91.12,8.88,3336531690,0,273321572,9395814,42357959,3661607035
"Westport","Bristol","MA",2009,3067817148,0,248761522,8636200,49555180,3374770050,90.9,9.1,3432030793,0,278294684,9661496,55438410,3775425383
"Westport","Bristol","MA",2010,2823173785,0,232689045,8619500,51180140,3115662470,90.61,9.39,3107373659,0,256113107,9487197,56332281,3429306244
"Westport","Bristol","MA",2011,2709210825,0,234300365,8563600,51952480,3004027270,90.19,9.81,2890692866,0,249995455,9137250,55432623,3205258194
"Westport","Bristol","MA",2012,2767343443,0,162101677,8458900,49365690,2987269710,92.64,7.36,2892853462,0,169453632,8842545,51604620,3122754259
"Westport","Bristol","MA",2013,2723333667,0,164611113,8143600,48781000,2944869380,92.48,7.52,2805750175,0,169592755,8390051,50257264,3033990244
"Westport","Bristol","MA",2014,2709814290,0,162970840,8131200,48526200,2929442530,92.5,7.5,2747256008,0,165222621,8243549,49196690,2969918869
"Westport","Bristol","MA",2015,2721766503,0,163674307,8042000,48191040,2941673850,92.52,7.48,2756101938,0,165739079,8143451,48798976,2978783445
"Westport","Bristol","MA",2016,2847447717,0,166817043,8684100,53187700,3076136560,92.57,7.43,2847447717,0,166817043,8684100,53187700,3076136560
"Westport","Bristol","MA",2017,2933166248,0,169187892,8688200,55112620,3166154960,92.64,7.36,2933166248,0,169187892,8688200,55112620,3166154960
"Aquinnah","Dukes","MA",2003,406134300,0,1828800,0,4976083,412939183,98.35,1.65,529755842,0,2385461,0,6490732,538632035
"Aquinnah","Dukes","MA",2004,404059700,0,1802500,0,5193999,411056199,98.3,1.7,513378276,0,2290167,0,6599238,522267682
"Aquinnah","Dukes","MA",2005,548930700,0,2342500,0,4447926,555721126,98.78,1.22,674588892,0,2878732,0,5466121,682933744
"Aquinnah","Dukes","MA",2006,554446600,0,2827200,0,4641216,561915016,98.67,1.33,660074728,0,3365812,0,5525418,668965959
"Aquinnah","Dukes","MA",2007,557825900,0,2817700,0,5043896,565687496,98.61,1.39,645706711,0,3261605,0,5838520,654806835
"Aquinnah","Dukes","MA",2008,719061625,0,7007275,0,6539999,732608899,98.15,1.85,801567203,0,7811294,0,7290403,816668899
"Aquinnah","Dukes","MA",2009,704203360,0,6922840,0,6722201,717848401,98.1,1.9,787806932,0,7744725,0,7520266,803071923
"Aquinnah","Dukes","MA",2010,696049084,0,6807115,0,7121450,709977649,98.04,1.96,766118119,0,7492365,0,7838344,781448828
"Aquinnah","Dukes","MA",2011,702889834,0,6808815,0,6895983,716594632,98.09,1.91,749974350,0,7264917,0,7357925,764597192
"Aquinnah","Dukes","MA",2012,701540179,0,8561570,0,7452982,717554731,97.77,2.23,733357813,0,8949871,0,7791004,750098689
"Aquinnah","Dukes","MA",2013,704700525,0,10366182,0,7938341,723005048,97.47,2.53,726026944,0,10679895,0,8178580,744885419
"Aquinnah","Dukes","MA",2014,713008265,0,10676682,0,8659925,732344872,97.36,2.64,722859956,0,10824203,0,8779580,742463739
"Aquinnah","Dukes","MA",2015,683660034,0,9989351,84400,8482337,702216122,97.36,2.64,692284493,0,10115368,85465,8589343,711074669
"Aquinnah","Dukes","MA",2016,680760076,0,10169121,80400,8043699,699053296,97.38,2.62,680760076,0,10169121,80400,8043699,699053296
"Aquinnah","Dukes","MA",2017,689288916,0,10198921,80400,8201484,707769721,97.39,2.61,689288916,0,10198921,80400,8201484,707769721
"Chilmark","Dukes","MA",2003,2470886840,0,24824960,884700,19664192,2516260692,98.2,1.8,3222989879,0,32381327,1153990,25649694,3282174891
"Chilmark","Dukes","MA",2004,2431981600,0,24702800,882200,20441692,2478008292,98.14,1.86,3089955574,0,31386156,1120880,25972203,3148434813
"Chilmark","Dukes","MA",2005,2490055580,0,25364320,875700,24301450,2540597050,98.01,1.99,3060065384,0,31170580,1076160,29864404,3122176529
"Chilmark","Dukes","MA",2006,2738601079,0,31244421,964600,23507400,2794317500,98.01,1.99,3260334470,0,37196824,1148367,27985816,3326665477
"Chilmark","Dukes","MA",2007,2847928682,0,30711918,1131900,24843700,2904616200,98.05,1.95,3296596055,0,35550324,1310221,28757617,3362214218
"Chilmark","Dukes","MA",2008,2861818570,0,30669430,1134500,27119950,2920742450,97.98,2.02,3190185411,0,34188459,1264673,30231710,3255870254
"Chilmark","Dukes","MA",2009,3045723716,0,29268184,1139600,30864900,3106996400,98.03,1.97,3407314412,0,32742926,1274894,34529205,3475861436
"Chilmark","Dukes","MA",2010,2993327596,0,28388504,1133800,37734026,3060583926,97.8,2.2,3294656310,0,31246284,1247936,41532590,3368683120
"Chilmark","Dukes","MA",2011,3006763156,0,28913544,1133800,39731600,3076542100,97.73,2.27,3208177349,0,30850377,1209750,42393103,3282630579
"Chilmark","Dukes","MA",2012,3128476092,0,31416808,1165600,35234970,3196293470,97.88,2.12,3270364911,0,32841685,1218465,36833016,3341258077
"Chilmark","Dukes","MA",2013,3076661482,0,29399618,1100400,37139290,3144300790,97.85,2.15,3169770783,0,30289341,1133702,38263240,3239457066
"Chilmark","Dukes","MA",2014,3071562410,0,25160960,881200,41129206,3138733776,97.86,2.14,3114002430,0,25508611,893376,41697491,3182101908
"Chilmark","Dukes","MA",2015,3044487440,0,24999550,833000,44175700,3114495690,97.75,2.25,3082894041,0,25314923,843508,44732982,3153785455
"Chilmark","Dukes","MA",2016,3056622348,0,24871522,830000,44632970,3126956840,97.75,2.25,3056622348,0,24871522,830000,44632970,3126956840
"Chilmark","Dukes","MA",2017,3085345622,0,26240278,830000,47043000,3159458900,97.65,2.35,3085345622,0,26240278,830000,47043000,3159458900
"Edgartown","Dukes","MA",2003,3348230932,3539000,215798818,2299400,57076590,3626944740,92.41,7.59,4367385116,4616222,281484929,2999305,74449897,4730935469
"Edgartown","Dukes","MA",2004,4039730238,3275400,239524112,2655000,60334180,4345518930,93.04,6.96,5132681499,4161561,304327494,3373312,76657626,5521201492
"Edgartown","Dukes","MA",2005,5053342983,5846200,289316287,3359600,64267360,5416132430,93.41,6.59,6210126417,7184480,355544977,4128661,78979090,6655963626
"Edgartown","Dukes","MA",2006,5539651760,4242000,331343010,3759100,70109270,5949105140,93.19,6.81,6595015873,5050147,394467469,4475250,83465851,7082474590
"Edgartown","Dukes","MA",2007,5880922481,4506100,360028854,4281600,74070940,6323809975,93.07,6.93,6807412690,5215998,416748392,4956130,85740198,7320073409
"Edgartown","Dukes","MA",2008,6529634432,0,390373533,4068800,85243350,7009320115,93.16,6.84,7278848744,0,435165235,4535657,95024225,7813573860
"Edgartown","Dukes","MA",2009,6388081949,0,397293461,4027800,89099895,6878503105,92.87,7.13,7146480021,0,444460451,4505984,99677904,7695124360
"Edgartown","Dukes","MA",2010,6252150137,0,397987193,3887800,94430335,6748455465,92.65,7.35,6881534092,0,438051291,4279172,103936335,7427800890
