Municipal,Fiscal_Year,Total_Budget,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total_Levy,Inflation_Adjusted_Residential,Inflation_Adjusted_Open_Space,Inflation_Adjusted_Commercial,Inflation_Adjusted_Industrial,Inflation_Adjusted_Personal_Property,Inflation_Adjusted_Total_Levy,Percentage_of_Residential,Percentage_of_Open_Space,Percentage_of_Commercial,Percentage_of_Industrial,Percentage_of_Personal_Property,Total_Levy_Pct_Change,Total_Levy_Million,Residential_Million,Open_Space_Million,Commercial_Million,Industrial_Million,Personal_Property_Million
Dedham,2014,102953966,51682067,0,22880308,1272596,4038711,79873682,54819414,0,24269251,1349849,4283880,84722394,64.7,0,28.65,1.59,5.06,45.3,84.72,54.82,0,24.27,1.35,4.28
Dedham,2015,106206724,52854766,0,22453600,1153672,3809047,80271085,55996835,0,23788404,1222255,4035484,85042977,65.85,0,27.97,1.44,4.75,45.8,85.04,56,0,23.79,1.22,4.04
Dedham,2016,110336301,54023311,0,22832881,1072691,3584924,81513807,64596092,0,27301453,1282625,4286521,97466692,66.28,0,28.01,1.32,4.4,67.1,97.47,64.6,0,27.3,1.28,4.29
Dedham,2017,121435610,54766789,0,22570601,1243092,3529901,82110383,56104455,0,23121883,1273454,3616118,84115910,66.7,0,27.49,1.51,4.3,44.2,84.12,56.1,0,23.12,1.27,3.62
Dedham,2018,119509173,57171348,0,22506033,1221689,3638141,84537211,57171348,0,22506033,1221689,3638141,84537211,67.63,0,26.62,1.45,4.3,45,84.54,57.17,0,22.51,1.22,3.64
Deerfield,2003,9998178.88,3718371,0,610859,778975,161333,5269538,5074505,0,833647,1063076,220173,7191402,70.56,0,11.59,14.78,3.06,0,7.19,5.07,0,0.83,1.06,0.22
Deerfield,2004,10345440.6,3913902,0,638947,822206,305214,5680269,5202796,0,849360,1092968,405725,7550849,68.9,0,11.25,14.47,5.37,5,7.55,5.2,0,0.85,1.09,0.41
Deerfield,2005,10679314.35,4892971,0,743908,882529,162470,6681878,6291138,0,956480,1134712,208896,8591225,73.23,0,11.13,13.21,2.43,19.5,8.59,6.29,0,0.96,1.13,0.21
Deerfield,2006,11369066.96,5380466,0,737140,865689,161265,7144560,6701749,0,918160,1078277,200867,8899053,75.31,0,10.32,12.12,2.26,23.7,8.9,6.7,0,0.92,1.08,0.2
Deerfield,2007,11803418.27,5624717,0,749916,866264,146032,7386929,6811962,0,908206,1049112,176856,8946135,76.14,0,10.15,11.73,1.98,24.4,8.95,6.81,0,0.91,1.05,0.18
Deerfield,2008,12776029.66,5751572,0,799253,913640,148056,7612521,6708035,0,932165,1065575,172677,8878452,75.55,0,10.5,12,1.94,23.5,8.88,6.71,0,0.93,1.07,0.17
Deerfield,2009,13596408.73,5981230,0,792174,903491,177199,7854094,7000791,0,927208,1057500,207404,9192904,76.15,0,10.09,11.5,2.26,27.8,9.19,7,0,0.93,1.06,0.21
Deerfield,2010,13098333.52,6173762,0,813604,957397,187467,8132230,7109526,0,936923,1102511,215882,9364842,75.92,0,10,11.77,2.31,30.2,9.36,7.11,0,0.94,1.1,0.22
Deerfield,2011,13357148.71,6294518,0,814068,962733,274807,8346126,7026783,0,908772,1074731,306776,9317062,75.42,0,9.75,11.54,3.29,29.6,9.32,7.03,0,0.91,1.07,0.31
Deerfield,2012,13621991.11,6372677,0,846818,966964,325720,8512179,6969798,0,926165,1057569,356240,9309772,74.87,0,9.95,11.36,3.83,29.5,9.31,6.97,0,0.93,1.06,0.36
Deerfield,2013,14472729.72,6553998,0,864548,996385,337966,8752897,7064629,0,931906,1074015,364297,9434847,74.88,0,9.88,11.38,3.86,31.2,9.43,7.06,0,0.93,1.07,0.36
Deerfield,2014,14822282,6814493,0,838938,1015882,376304,9045617,7228165,0,889866,1077551,399147,9594729,75.33,0,9.27,11.23,4.16,33.4,9.59,7.23,0,0.89,1.08,0.4
Deerfield,2015,15556992,7433906,0,918146,1117927,397031,9867010,7875831,0,972727,1184385,420633,10453576,75.34,0,9.31,11.33,4.02,45.4,10.45,7.88,0,0.97,1.18,0.42
Deerfield,2016,16327182,7594790,0,921096,1111423,436374,10063683,9081149,0,1101362,1328937,521776,12033224,75.47,0,9.15,11.04,4.34,67.3,12.03,9.08,0,1.1,1.33,0.52
Deerfield,2017,17648016,7834408,0,966029,1122656,483245,10406338,8025762,0,989624,1150077,495048,10660510,75.28,0,9.28,10.79,4.64,48.2,10.66,8.03,0,0.99,1.15,0.5
Deerfield,2018,17985634,8153790,0,999419,1166571,557206,10876986,8153790,0,999419,1166571,557206,10876986,74.96,0,9.19,10.73,5.12,51.2,10.88,8.15,0,1,1.17,0.56
Dennis,2003,36483952.23,20932885,4125,1328197,86110,583755,22935072,28567358,5629,1812606,117515,796657,31299767,91.27,0.02,5.79,0.38,2.55,0,31.3,28.57,0.01,1.81,0.12,0.8
Dennis,2004,40680944.76,22847921,4123,1284629,81442,419275,24637390,30372011,5481,1707672,108262,557347,32750773,92.74,0.02,5.21,0.33,1.7,4.6,32.75,30.37,0.01,1.71,0.11,0.56
Dennis,2005,41758704.89,23847875,3735,1374069,91244,245647,25562570,30662408,4802,1766709,117317,315841,32867078,93.29,0.01,5.38,0.36,0.96,5,32.87,30.66,0,1.77,0.12,0.32
Dennis,2006,42684403.21,24778128,4901,1483229,101604,243727,26611589,30862904,6105,1847466,126555,303579,33146609,93.11,0.02,5.57,0.38,0.92,5.9,33.15,30.86,0.01,1.85,0.13,0.3
Dennis,2007,45139292.11,26043990,4181,1546496,99800,251510,27945977,31541261,5064,1872925,120865,304598,33844713,93.19,0.01,5.53,0.36,0.9,8.1,33.84,31.54,0.01,1.87,0.12,0.3
Dennis,2008,49244454.24,27142368,3097,1631483,107261,280738,29164947,31656032,3612,1902792,125098,327424,34014957,93.07,0.01,5.59,0.37,0.96,8.7,34.01,31.66,0,1.9,0.13,0.33
Dennis,2009,50429431.52,30988145,3260,1899381,125065,371417,33387268,36270388,3816,2223150,146384,434729,39078465,92.81,0.01,5.69,0.37,1.11,24.9,39.08,36.27,0,2.22,0.15,0.43
Dennis,2010,50733426.75,30784609,3144,1951814,125569,396147,33261283,35450668,3621,2247653,144602,456191,38302734,92.55,0.01,5.87,0.38,1.19,22.4,38.3,35.45,0,2.25,0.14,0.46
Dennis,2011,50327531.89,31248405,3455,2066435,132764,432336,33883395,34883649,3857,2306831,148209,482631,37825178,92.22,0.01,6.1,0.39,1.28,20.8,37.83,34.88,0,2.31,0.15,0.48
Dennis,2012,50657911.72,31740416,3548,2108860,145136,448127,34446087,34714499,3880,2306461,158735,490117,37673692,92.15,0.01,6.12,0.42,1.3,20.4,37.67,34.71,0,2.31,0.16,0.49
Dennis,2013,52709438.65,32795223,3625,2161129,145514,466856,35572347,35350344,3907,2329506,156851,503229,38343837,92.19,0.01,6.08,0.41,1.31,22.5,38.34,35.35,0,2.33,0.16,0.5
Dennis,2014,55970785,34483955,4265,2274562,160253,481014,37404049,36577295,4524,2412639,169981,510214,39674652,92.19,0.01,6.08,0.43,1.29,26.8,39.67,36.58,0,2.41,0.17,0.51
Dennis,2015,56231968,35891670,4502,2337877,204907,504121,38943077,38025330,4770,2476857,217088,534090,41258134,92.16,0.01,6,0.53,1.29,31.8,41.26,38.03,0,2.48,0.22,0.53
Dennis,2016,57906468,36959549,4777,2405521,190934,519662,40080443,44192820,5712,2876300,228301,621364,47924497,92.21,0.01,6,0.48,1.3,53.1,47.92,44.19,0.01,2.88,0.23,0.62
Dennis,2017,59351376,36744499,4059,2266625,240207,606335,39861725,37641975,4158,2321987,246074,621145,40835339,92.18,0.01,5.69,0.6,1.52,30.5,40.84,37.64,0,2.32,0.25,0.62
Dennis,2018,61385689,39029002,4454,2343616,255621,653361,42286054,39029002,4454,2343616,255621,653361,42286054,92.3,0.01,5.54,0.6,1.55,35.1,42.29,39.03,0,2.34,0.26,0.65
Dighton,2003,10526830.39,5539158,0,602937,1069385,390650,7602130,7559355,0,822835,1459402,533125,10374718,72.86,0,7.93,14.07,5.14,0,10.37,7.56,0,0.82,1.46,0.53
Dighton,2004,11218312.24,6165204,0,562605,841405,318401,7887615,8195478,0,747877,1118490,423254,10485100,78.16,0,7.13,10.67,4.04,1.1,10.49,8.2,0,0.75,1.12,0.42
Dighton,2005,11847155.11,6744401,0,579759,830203,400553,8554916,8671614,0,745425,1067434,515011,10999484,78.84,0,6.78,9.7,4.68,6,11,8.67,0,0.75,1.07,0.52
Dighton,2006,13042331.22,7591216,0,598143,777320,366108,9332787,9455394,0,745029,968207,456013,11624644,81.34,0,6.41,8.33,3.92,12,11.62,9.46,0,0.75,0.97,0.46
Dighton,2007,13472026.97,8029277,0,643541,937614,367638,9978070,9724068,0,779377,1135522,445238,12084205,80.47,0,6.45,9.4,3.68,16.5,12.08,9.72,0,0.78,1.14,0.45
Dighton,2008,14396365.75,8587157,0,671681,922754,395220,10576812,10015166,0,783379,1076204,460943,12335692,81.19,0,6.35,8.72,3.74,18.9,12.34,10.02,0,0.78,1.08,0.46
Dighton,2009,14364193.23,8883862,0,700078,942293,517995,11044228,10398206,0,819413,1102916,606292,12926828,80.44,0,6.34,8.53,4.69,24.6,12.93,10.4,0,0.82,1.1,0.61
Dighton,2010,14925557.91,9073451,0,768847,1279495,569934,11691727,10448724,0,885382,1473430,656320,13463856,77.61,0,6.58,10.94,4.87,29.8,13.46,10.45,0,0.89,1.47,0.66
Dighton,2011,15664183.03,9270516,0,789693,1466534,705300,12232043,10348990,0,881561,1637141,787350,13655043,75.79,0,6.46,11.99,5.77,31.6,13.66,10.35,0,0.88,1.64,0.79
Dighton,2012,16538147.96,9845930,0,813405,1524901,750921,12935157,10768495,0,889621,1667785,821282,14147184,76.12,0,6.29,11.79,5.81,36.4,14.15,10.77,0,0.89,1.67,0.82
Dighton,2013,16963507.66,10028744,0,782317,986251,1342611,13139923,10810097,0,843268,1063091,1447216,14163672,76.32,0,5.95,7.51,10.22,36.5,14.16,10.81,0,0.84,1.06,1.45
Dighton,2014,17655332,10509735,0,843555,1069751,1460090,13883131,11147726,0,894763,1134690,1548724,14725903,75.7,0,6.08,7.71,10.52,41.9,14.73,11.15,0,0.89,1.13,1.55
Dighton,2015,18090566,10664218,0,805837,1028551,1443374,13941980,11298176,0,853742,1089695,1529179,14770792,76.49,0,5.78,7.38,10.35,42.4,14.77,11.3,0,0.85,1.09,1.53
Dighton,2016,19583466,11156422,0,840183,846952,1804818,14648375,13339820,0,1004613,1012707,2158035,17515176,76.16,0,5.74,5.78,12.32,68.8,17.52,13.34,0,1,1.01,2.16
Dighton,2017,21699853,11527834,0,838783,836070,1904655,15107342,11809399,0,859270,856491,1951176,15476335,76.31,0,5.55,5.53,12.61,49.2,15.48,11.81,0,0.86,0.86,1.95
Dighton,2018,22186019,12456424,0,828112,827149,2020678,16132363,12456424,0,828112,827149,2020678,16132363,77.21,0,5.13,5.13,12.53,55.5,16.13,12.46,0,0.83,0.83,2.02
Douglas,2003,17520674.35,7660408,0,175093,195808,134342,8165651,10454250,0,238952,267222,183338,11143762,93.81,0,2.14,2.4,1.65,0,11.14,10.45,0,0.24,0.27,0.18
Douglas,2004,18970092.47,8668625,0,188200,219538,167974,9244337,11523306,0,250176,291834,223290,12288606,93.77,0,2.04,2.37,1.82,10.3,12.29,11.52,0,0.25,0.29,0.22
Douglas,2005,20070914.35,8658220,0,185609,156129,118848,9118806,11132307,0,238647,200743,152809,11724506,94.95,0,2.04,1.71,1.3,5.2,11.72,11.13,0,0.24,0.2,0.15
Douglas,2006,22842806.04,9820545,0,208309,202849,123366,10355069,12232181,0,259464,252663,153661,12897968,94.84,0,2.01,1.96,1.19,15.7,12.9,12.23,0,0.26,0.25,0.15
Douglas,2007,23618232.16,9996682,0,214205,184130,113128,10508145,12106746,0,259419,222995,137007,12726166,95.13,0,2.04,1.75,1.08,14.2,12.73,12.11,0,0.26,0.22,0.14
Douglas,2008,24002381.24,9745813,0,219144,250887,132667,10348511,11366501,0,255587,292608,154729,12069426,94.18,0,2.12,2.42,1.28,8.3,12.07,11.37,0,0.26,0.29,0.15
Douglas,2009,25414490.21,10086648,0,216161,212308,179906,10695023,11806019,0,253008,248498,210573,12518098,94.31,0,2.02,1.99,1.68,12.3,12.52,11.81,0,0.25,0.25,0.21
Douglas,2010,24298367.43,10416003,0,234415,210763,193182,11054363,11994769,0,269946,242709,222463,12729886,94.23,0,2.12,1.91,1.75,14.2,12.73,11.99,0,0.27,0.24,0.22
Douglas,2011,26213227.02,10631702,0,245968,229209,218258,11325137,11868528,0,274582,255874,243649,12642633,93.88,0,2.17,2.02,1.93,13.5,12.64,11.87,0,0.27,0.26,0.24
Douglas,2012,26864423.24,11267254,0,263829,219919,256993,12007995,12322998,0,288550,240525,281073,13133146,93.83,0,2.2,1.83,2.14,17.9,13.13,12.32,0,0.29,0.24,0.28
Douglas,2013,27507408.05,12780843,0,297759,247370,306295,13632267,13776616,0,320958,266643,330159,14694376,93.75,0,2.18,1.81,2.25,31.9,14.69,13.78,0,0.32,0.27,0.33
Douglas,2014,28052504,13067067,0,303324,257981,290916,13919288,13860300,0,321737,273642,308576,14764255,93.88,0,2.18,1.85,2.09,32.5,14.76,13.86,0,0.32,0.27,0.31
Douglas,2015,29154012,13446189,0,320480,284180,381643,14432492,14245527,0,339532,301074,404331,15290463,93.17,0,2.22,1.97,2.64,37.2,15.29,14.25,0,0.34,0.3,0.4
Douglas,2016,29802030,13835296,0,325937,275242,435382,14871857,16542971,0,389725,329109,520590,17782395,93.03,0,2.19,1.85,2.93,59.6,17.78,16.54,0,0.39,0.33,0.52
Douglas,2017,30469331,14263004,0,332608,284285,399502,15279399,14611375,0,340732,291229,409260,15652595,93.35,0,2.18,1.86,2.61,40.5,15.65,14.61,0,0.34,0.29,0.41
Douglas,2018,31918031,14811853,0,326212,286666,356747,15781478,14811853,0,326212,286666,356747,15781478,93.86,0,2.07,1.82,2.26,41.6,15.78,14.81,0,0.33,0.29,0.36
Dover,2003,18883517.91,15483581,0,121631,37979,132743,15775934,21130628,0,165991,51830,181156,21529606,98.15,0,0.77,0.24,0.84,0,21.53,21.13,0,0.17,0.05,0.18
Dover,2004,21736050.11,17073380,0,140216,41313,154068,17408977,22695846,0,186391,54918,204804,23141959,98.07,0,0.81,0.24,0.88,7.5,23.14,22.7,0,0.19,0.05,0.2
Dover,2005,22977081.7,18326040,0,149245,41861,154396,18671542,23562708,0,191892,53823,198515,24006938,98.15,0,0.8,0.22,0.83,11.5,24.01,23.56,0,0.19,0.05,0.2
Dover,2006,25081563.3,20635897,0,180976,58661,163026,21038560,25703463,0,225418,73066,203060,26205008,98.09,0,0.86,0.28,0.77,21.7,26.21,25.7,0,0.23,0.07,0.2
Dover,2007,26857139.9,21387738,0,182551,59031,171226,21800546,25902184,0,221083,71491,207368,26402126,98.11,0,0.84,0.27,0.79,22.6,26.4,25.9,0,0.22,0.07,0.21
Dover,2008,28642744.69,22382830,0,195954,72492,245290,22896566,26105002,0,228540,84547,286081,26704170,97.76,0,0.86,0.32,1.07,24,26.7,26.11,0,0.23,0.08,0.29
Dover,2009,29283986.86,23268531,0,164656,72223,310520,23815930,27234887,0,192723,84534,363451,27875596,97.7,0,0.69,0.3,1.3,29.5,27.88,27.23,0,0.19,0.08,0.36
Dover,2010,31911373.17,24390905,0,189552,80512,363531,25024500,28087863,0,218283,92715,418632,28817492,97.47,0,0.76,0.32,1.45,33.9,28.82,28.09,0,0.22,0.09,0.42
Dover,2011,30770257.31,25107003,0,190275,83465,405537,25786280,28027795,0,212410,93175,452715,28786095,97.37,0,0.74,0.32,1.57,33.7,28.79,28.03,0,0.21,0.09,0.45
Dover,2012,31176914.77,25794659,0,187133,84911,413637,26480340,28211623,0,204667,92867,452395,28961553,97.41,0,0.71,0.32,1.56,34.5,28.96,28.21,0,0.2,0.09,0.45
Dover,2013,32780211.37,26622720,0,203507,89368,443695,27359290,28696933,0,219363,96331,478264,29490890,97.31,0,0.74,0.33,1.62,37,29.49,28.7,0,0.22,0.1,0.48
Dover,2014,33440735,27613499,0,215923,85759,432722,28347903,29289770,0,229031,90965,458990,30068755,97.41,0,0.76,0.3,1.53,39.7,30.07,29.29,0,0.23,0.09,0.46
Dover,2015,34763298,28738840,0,213811,86323,399172,29438146,30447284,0,226521,91455,422902,31188162,97.62,0,0.73,0.29,1.36,44.9,31.19,30.45,0,0.23,0.09,0.42
Dover,2016,36572686,29687354,0,215052,90504,489878,30482788,35497400,0,257139,108216,585751,36448506,97.39,0,0.71,0.3,1.61,69.3,36.45,35.5,0,0.26,0.11,0.59
Dover,2017,36282174,30687327,0,228476,92123,527647,31535573,31436858,0,234056,94373,540535,32305822,97.31,0,0.72,0.29,1.67,50.1,32.31,31.44,0,0.23,0.09,0.54
Dover,2018,39024234,31142704,0,239511,95784,601981,32079980,31142704,0,239511,95784,601981,32079980,97.08,0,0.75,0.3,1.88,49,32.08,31.14,0,0.24,0.1,0.6
Dracut,2003,55215701.23,23291148,0,1137436,370676,472428,25271688,31785708,0,1552273,505866,644728,34488575,92.16,0,4.5,1.47,1.87,0,34.49,31.79,0,1.55,0.51,0.64
Dracut,2004,59525795.06,24268828,0,1183736,431255,500547,26384366,32260840,0,1573554,573272,665383,35073049,91.98,0,4.49,1.63,1.9,1.7,35.07,32.26,0,1.57,0.57,0.67
Dracut,2005,60933249.75,25553222,0,1223637,453840,488992,27719691,32855058,0,1573291,583525,628722,35640596,92.18,0,4.41,1.64,1.76,3.3,35.64,32.86,0,1.57,0.58,0.63
Dracut,2006,65241675.94,27356129,0,1218449,460824,472056,29507458,34073986,0,1517664,573989,587979,36753617,92.71,0,4.13,1.56,1.6,6.6,36.75,34.07,0,1.52,0.57,0.59
Dracut,2007,67707690.48,28680525,0,1224771,483071,529545,30917912,34734307,0,1483291,585036,641319,37443953,92.76,0,3.96,1.56,1.71,8.6,37.44,34.73,0,1.48,0.59,0.64
Dracut,2008,71287424,30042611,0,1351721,506691,655271,32556294,35038573,0,1576507,590952,764240,37970271,92.28,0,4.15,1.56,2.01,10.1,37.97,35.04,0,1.58,0.59,0.76
Dracut,2009,73830696.45,30712922,0,1610984,555567,835753,33715226,35948250,0,1885593,650269,978216,39462327,91.1,0,4.78,1.65,2.48,14.4,39.46,35.95,0,1.89,0.65,0.98
Dracut,2010,71782026.15,31582051,0,1729367,592876,969190,34873484,36368979,0,1991489,682739,1116091,40159298,90.56,0,4.96,1.7,2.78,16.4,40.16,36.37,0,1.99,0.68,1.12
Dracut,2011,73614530.57,32541056,0,1801968,628934,1031782,36003740,36326679,0,2011598,702100,1151813,40192191,90.38,0,5,1.75,2.87,16.5,40.19,36.33,0,2.01,0.7,1.15
Dracut,2012,76553879.59,33608223,0,1855068,642925,1053778,37159994,36757320,0,2028888,703167,1152517,40641892,90.44,0,4.99,1.73,2.84,17.8,40.64,36.76,0,2.03,0.7,1.15
Dracut,2013,80019818.08,34717854,0,1967022,682217,1142039,38509132,37422770,0,2120275,735369,1231017,41509431,90.15,0,5.11,1.77,2.97,20.4,41.51,37.42,0,2.12,0.74,1.23
Dracut,2014,83114228,36296369,0,2070193,725074,1167251,40258887,38499731,0,2195864,769089,1238109,42702793,90.16,0,5.14,1.8,2.9,23.8,42.7,38.5,0,2.2,0.77,1.24
Dracut,2015,86711319,39100069,0,2237396,769974,1260405,43367844,41424459,0,2370403,815747,1335333,45945941,90.16,0,5.16,1.78,2.91,33.2,45.95,41.42,0,2.37,0.82,1.34
Dracut,2016,92324815,40580868,0,2217174,761112,1320437,44879591,48522859,0,2651092,910068,1578857,53662875,90.42,0,4.94,1.7,2.94,55.6,53.66,48.52,0,2.65,0.91,1.58
Dracut,2017,92154989,42105715,0,2267344,794129,1322663,46489851,43134137,0,2322723,813525,1354969,47625355,90.57,0,4.88,1.71,2.85,38.1,47.63,43.13,0,2.32,0.81,1.35
Dracut,2018,95357403,43953376,0,2380647,772667,1243413,48350103,43953376,0,2380647,772667,1243413,48350103,90.91,0,4.92,1.6,2.57,40.2,48.35,43.95,0,2.38,0.77,1.24
Dudley,2003,12619286.29,5548875,0,246187,149292,104562,6048916,7572616,0,335974,203741,142697,8255028,91.73,0,4.07,2.47,1.73,0,8.26,7.57,0,0.34,0.2,0.14
Dudley,2004,12926494.73,6151052,0,243464,166660,105772,6666948,8176666,0,323640,221543,140604,8862453,92.26,0,3.65,2.5,1.59,7.4,8.86,8.18,0,0.32,0.22,0.14
Dudley,2005,14081544.94,6873438,0,234519,126514,87814,7322285,8837524,0,301533,162665,112907,9414629,93.87,0,3.2,1.73,1.2,14,9.41,8.84,0,0.3,0.16,0.11
Dudley,2006,13748257.07,7051749,0,216072,136603,88831,7493255,8783450,0,269133,170149,110645,9333377,94.11,0,2.88,1.82,1.19,13.1,9.33,8.78,0,0.27,0.17,0.11
Dudley,2007,15163965.77,7341536,0,222187,140857,79378,7783958,8891161,0,269085,170589,96133,9426968,94.32,0,2.85,1.81,1.02,14.2,9.43,8.89,0,0.27,0.17,0.1
Dudley,2008,14966038.19,7562887,0,237619,157528,74561,8032595,8820564,0,277134,183724,86960,9368382,94.15,0,2.96,1.96,0.93,13.5,9.37,8.82,0,0.28,0.18,0.09
Dudley,2009,15274136.61,7587469,0,257314,171362,96874,8113019,8880830,0,301176,200572,113387,9495965,93.52,0,3.17,2.11,1.19,15,9.5,8.88,0,0.3,0.2,0.11
Dudley,2010,15648725.89,8060105,0,300995,202057,124929,8688086,9281784,0,346617,232683,143865,10004949,92.77,0,3.46,2.33,1.44,21.2,10,9.28,0,0.35,0.23,0.14
Dudley,2011,16114888.85,8376770,0,334316,226004,135762,9072852,9351271,0,373208,252296,151556,10128331,92.33,0,3.68,2.49,1.5,22.7,10.13,9.35,0,0.37,0.25,0.15
Dudley,2012,15805447.7,8398484,0,330632,225499,142107,9096722,9185423,0,361612,246628,155422,9949087,92.32,0,3.63,2.48,1.56,20.5,9.95,9.19,0,0.36,0.25,0.16
Dudley,2013,15999381.76,8631724,0,353931,242406,151599,9379660,9304233,0,381506,261292,163410,10110442,92.03,0,3.77,2.58,1.62,22.5,10.11,9.3,0,0.38,0.26,0.16
Dudley,2014,16422538,8909048,0,356320,247340,145755,9658463,9449870,0,377950,262355,154603,10244778,92.24,0,3.69,2.56,1.51,24.1,10.24,9.45,0,0.38,0.26,0.15
Dudley,2015,17250293,9612225,0,385381,265237,173950,10436793,10183645,0,408291,281005,184291,11057231,92.1,0,3.69,2.54,1.67,33.9,11.06,10.18,0,0.41,0.28,0.18
Dudley,2016,18023728,9894125,0,394562,264079,167686,10720452,11830482,0,471781,315761,200503,12818528,92.29,0,3.68,2.46,1.56,55.3,12.82,11.83,0,0.47,0.32,0.2
Dudley,2017,19301418,10099462,0,393110,270896,175391,10938859,10346139,0,402712,277513,179675,11206038,92.33,0,3.59,2.48,1.6,35.7,11.21,10.35,0,0.4,0.28,0.18
Dudley,2018,19233960,10464297,0,397697,281981,169839,11313814,10464297,0,397697,281981,169839,11313814,92.49,0,3.52,2.49,1.5,37.1,11.31,10.46,0,0.4,0.28,0.17
Dunstable,2003,6493697.93,4845497,0,63450,22814,121670,5053431,6612708,0,86591,31135,166045,6896478,95.89,0,1.26,0.45,2.41,0,6.9,6.61,0,0.09,0.03,0.17
Dunstable,2004,6673711.77,5006050,0,53984,22815,108570,5191419,6654601,0,71762,30328,144323,6901015,96.43,0,1.04,0.44,2.09,0.1,6.9,6.65,0,0.07,0.03,0.14
Dunstable,2005,6667399.93,5233626,0,57164,41506,99000,5431296,6729135,0,73499,53366,127289,6983290,96.36,0,1.05,0.76,1.82,1.3,6.98,6.73,0,0.07,0.05,0.13
Dunstable,2006,7395590.22,5517835,0,60781,46124,90557,5715297,6872852,0,75707,57451,112795,7118805,96.55,0,1.06,0.81,1.58,3.2,7.12,6.87,0,0.08,0.06,0.11
Dunstable,2007,7226144.99,5665516,0,59983,48184,85150,5858833,6861373,0,72644,58355,103123,7095494,96.7,0,1.02,0.82,1.45,2.9,7.1,6.86,0,0.07,0.06,0.1
Dunstable,2008,7731760.98,6009183,0,61574,51949,106588,6229294,7008485,0,71814,60588,124313,7265200,96.47,0,0.99,0.83,1.71,5.3,7.27,7.01,0,0.07,0.06,0.12
Dunstable,2009,8016309.99,6369126,0,66386,55224,135216,6625952,7454808,0,77702,64637,158265,7755412,96.12,0,1,0.83,2.04,12.5,7.76,7.45,0,0.08,0.06,0.16
Dunstable,2010,8322304.66,6521047,0,69111,56164,163951,6810273,7509450,0,79586,64677,188801,7842514,95.75,0,1.01,0.82,2.41,13.7,7.84,7.51,0,0.08,0.06,0.19
Dunstable,2011,8753303.86,6812672,0,66679,53383,154828,7087562,7605216,0,74436,59593,172840,7912085,96.12,0,0.94,0.75,2.18,14.7,7.91,7.61,0,0.07,0.06,0.17
Dunstable,2012,8089466.56,6586824,0,64379,46174,139618,6836995,7204011,0,70411,50501,152700,7477623,96.34,0,0.94,0.68,2.04,8.4,7.48,7.2,0,0.07,0.05,0.15
Dunstable,2013,8959239.21,6888460,0,66341,48191,139186,7142178,7425149,0,71510,51946,150030,7698635,96.45,0,0.93,0.67,1.95,11.6,7.7,7.43,0,0.07,0.05,0.15
Dunstable,2014,8902393,6954007,0,67667,46402,126198,7194274,7376148,0,71775,49219,133859,7631001,96.66,0,0.94,0.64,1.75,10.7,7.63,7.38,0,0.07,0.05,0.13
Dunstable,2015,9624488,7431869,0,74139,45654,128655,7680317,7873673,0,78546,48368,136303,8136890,96.77,0,0.97,0.59,1.68,18,8.14,7.87,0,0.08,0.05,0.14
Dunstable,2016,10010733,7668115,0,77287,49463,122829,7917694,9168825,0,92413,59143,146868,9467248,96.85,0,0.98,0.62,1.55,37.3,9.47,9.17,0,0.09,0.06,0.15
Dunstable,2017,11066176,8220188,0,80907,52733,134935,8488763,8420964,0,82883,54021,138231,8696099,96.84,0,0.95,0.62,1.59,26.1,8.7,8.42,0,0.08,0.05,0.14
Dunstable,2018,10976587,8688589,0,83834,54344,150612,8977379,8688589,0,83834,54344,150612,8977379,96.78,0,0.93,0.61,1.68,30.2,8.98,8.69,0,0.08,0.05,0.15
Duxbury,2003,48164784.67,29955093,0,855968,23955,223798,31058814,40880074,0,1168150,32692,305420,42386335,96.45,0,2.76,0.08,0.72,0,42.39,40.88,0,1.17,0.03,0.31
Duxbury,2004,49990638.5,31474965,0,837982,24875,238305,32576127,41840043,0,1113939,33067,316782,43303830,96.62,0,2.57,0.08,0.73,2.2,43.3,41.84,0,1.11,0.03,0.32
Duxbury,2005,52121649.8,32394898,0,797644,20314,223868,33436724,41651744,0,1025571,26119,287838,42991272,96.88,0,2.39,0.06,0.67,1.4,42.99,41.65,0,1.03,0.03,0.29
Duxbury,2006,55112370.75,34285483,0,824819,20098,226415,35356815,42704984,0,1027370,25033,282016,44039403,96.97,0,2.33,0.06,0.64,3.9,44.04,42.7,0,1.03,0.03,0.28
Duxbury,2007,57700709.88,36062629,0,860630,21248,251455,37195962,43674598,0,1042289,25733,304531,45047151,96.95,0,2.31,0.06,0.68,6.3,45.05,43.67,0,1.04,0.03,0.3
Duxbury,2008,58994349.07,37445382,0,973826,22871,300139,38742218,43672394,0,1135769,26674,350051,45184889,96.65,0,2.51,0.06,0.77,6.6,45.18,43.67,0,1.14,0.03,0.35
Duxbury,2009,65253140.25,39337675,0,1011756,23725,372910,40746066,46043179,0,1184220,27769,436476,47691645,96.54,0,2.48,0.06,0.92,12.5,47.69,46.04,0,1.18,0.03,0.44
Duxbury,2010,61513266.75,39851641,0,1056031,26378,428018,41362068,45892000,0,1216095,30376,492893,47631364,96.35,0,2.55,0.06,1.03,12.4,47.63,45.89,0,1.22,0.03,0.49
